"----------"," Entity 563455"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[563455] Report(A000000[00000])","Entity[563455] Report(A000000[00100])","Entity[563455] Report(A000000[00200])","Entity[563455] Report(A000000[00300])","Entity[563455] Report(A000000[00400])","Entity[563455] Report(A000000[00500])","Entity[563455] Report(A000000[00600])","Entity[563455] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", ,"28480328","28480328","15685183","44165511","-9908793","34256718", , , , , , , , , , , , 
"00101NEW CAPITAL-RESEARCH BUIL", , , ,"509983","509983","798693","1308676", , , , , , , , , , , , 
"00102ELMWOOD BUILDING", , , ,"1273695","1273695", ,"1273695", , , , , , , , , , , , 
"00103BUILDING-BAPTIST MOB", , , , , , , , , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", ,"15776450","15776450","20183238","35959688","18425214","54384902", , , , , , , , , , , , 
"00203MOVABLE EQUIP - BAPTIST MOB", , , , , ,"239570","239570", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", ,"1927192","1927192","-1927192", , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT", , , , , ,"7345783","7345783", , , , , , , , , , , , 
"00540NONPATIENT TELEPHONE", , , ,"55261","55261","1060570","1115831", , , , , , , , , , , , 
"00550DATA PROCESSING", , , , , ,"16125745","16125745", , , , , , , , , , , , 
"00560PURCH  RCVING  STORING","12409","39972","52381","85","52466","3174423","3226889", , , , , , , , , , , , 
"00570ADMITTING","335909","85777","421686","-1814","419872","1248","421120", , , , , , , , , , , , 
"00580CASHIERING  A/R", , , , , ,"35520099","35520099", , , , , , , , , , , , 
"00590OTHER ADMIN + GENERAL","19349390","280531522","299880912","25454456","325335368","-231710563","93624805", , , , , , , , , , , , 
"00600MAINTENANCE & REPAIRS","1560206","8035743","9595949","544955","10140904","15073326","25214230", , , , , , , , , , , , 
"00700OPERATION OF PLANT","516005","1570856","2086861","241566","2328427","-107","2328320", , , , , , , , , , , , 
"00800LAUNDRY & LINEN SERVICE", ,"3324600","3324600","25771","3350371","-50686","3299685", , , , , , , , , , , , 
"00900HOUSEKEEPING","855756","1708135","2563891","14900","2578791","7793138","10371929", , , , , , , , , , , , 
"01000DIETARY","4156260","12317049","16473309","-518193","15955116","-4744885","11210231", , , , , , , , , , , , 
"01100CAFETERIA", , , , , , , , , , , , , , , , , , , 
"01300NURSING ADMINISTRATION","3053587","1101920","4155507","-35795","4119712","-267593","3852119", , , , , , , , , , , , 
"01400CENTRAL SERVICES & SUPPLY", , , , , , , , , , , , , , , , , , , 
"01500PHARMACY", , , , , , , , , , , , , , , , , , , 
"01600MEDICAL RECORDS & LIBRARY","40184","10481","50665","-496","50169","13884062","13934231", , , , , , , , , , , , 
"01700SOCIAL SERVICE","5280208","1584422","6864630","-72843","6791787","-869902","5921885", , , , , , , , , , , , 
"02100I&R SERVICES-SALARY & FRINGES A","12423244","40056668","52479912","-3329812","49150100","-34848198","14301902", , , , , , , , , , , , 
"02200I&R SERVICES-OTHER PRGM COSTS A","96165","474531","570696","32417177","32987873","-48146","32939727", , , , , , , , , , , , 
"02300PARAMED ED PRGM-(SPECIFY)","64271","13476","77747","-77747", , , , , , , , , , , , , , , 
"02301RADIOLOGY TECH SCHOOL","184057","37872","221929","382547","604476","-223535","380941", , , , , , , , , , , , 
"02302PHARMACY PARAMEDICAL EDUC", , , ,"544751","544751","-175943","368808", , , , , , , , , , , , 
"02303CLINICAL PASTORAL ED","482003","182793","664796","-635728","29068","-29068", , , , , , , , , , , , , 
"02305RESPIRATORY TECH SCHOOL", ,"11663","11663","-1626","10037","-10037", , , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","47896947","20628826","68525773","-393243","68132530","-6569843","61562687", , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","11407522","7026927","18434449","-1909540","16524909","-1107841","15417068", , , , , , , , , , , , 
"03200CORONARY CARE UNIT","6804737","3810147","10614884","-1336121","9278763","-933609","8345154", , , , , , , , , , , , 
"02080PEDIATRIC INTENSIVE CAR","2637963","1062532","3700495","-286787","3413708","-404463","3009245", , , , , , , , , , , , 
"02060NEONATAL INTENSIVE CARE UNIT","10336379","3211920","13548299","-704040","12844259","-3187998","9656261", , , , , , , , , , , , 
"04000SUBPROVIDER - IPF","1221131","283872","1505003","117346","1622349","-110614","1511735", , , , , , , , , , , , 
"04100SUBPROVIDER - IRF","1465189","679972","2145161","115232","2260393","-344063","1916330", , , , , , , , , , , , 
"04300NURSERY", ,"73","73","2340732","2340805","-42353","2298452", , , , , , , , , , , , 
"04400SKILLED NURSING FACILITY","2234601","1027010","3261611","-126571","3135040","-480086","2654954", , , , , , , , , , , , 
"05000OPERATING ROOM","21511731","70251820","91763551","-46628236","45135315","-7771707","37363608", , , , , , , , , , , , 
"05001WOUND CARE","88258","19790","108048","-5241","102807","-1784","101023", , , , , , , , , , , , 
"05100RECOVERY ROOM","3429909","1373307","4803216","-333240","4469976","-2086550","2383426", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","4515578","2423076","6938654","-1149722","5788932","-941895","4847037", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","2534280","18577569","21111849","-12590176","8521673","-3946463","4575210", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","7622680","13212162","20834842","-5498097","15336745","-3088584","12248161", , , , , , , , , , , , 
"03631ULTRASOUND","2906837","1754594","4661431","-123944","4537487","-306609","4230878", , , , , , , , , , , , 
"03440MAMMOGRAPHY","1256631","1559390","2816021","-436217","2379804","-373581","2006223", , , , , , , , , , , , 
"03630PET IMAGINING","169144","2749041","2918185","-282565","2635620","-149934","2485686", , , , , , , , , , , , 
"03470NUCLEAR MEDICINE","880562","1781363","2661925","-927646","1734279","-207990","1526289", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","1825697","1956309","3782006","-314261","3467745","-754963","2712782", , , , , , , , , , , , 
"05700CT SCAN","1763656","3618269","5381925","-1351065","4030860","-1018467","3012393", , , , , , , , , , , , 
"05800MRI","1345182","2672273","4017455","-790516","3226939","-1005897","2221042", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","5546221","30014237","35560458","-24150508","11409950","-3676791","7733159", , , , , , , , , , , , 
"06000LABORATORY","14732115","23793919","38526034","1233040","39759074","-5872103","33886971", , , , , , , , , , , , 
"06250BLOOD CLOTTING FOR HEMOPHILIACS", , , , , , , , , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","2704194","12031386","14735580","-2416248","12319332","-1091525","11227807", , , , , , , , , , , , 
"06400INTRAVENOUS THERAPY","2708372","26361357","29069729","1210031","30279760","-2587103","27692657", , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","7568475","4302671","11871146","-970701","10900445","-428296","10472149", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","7778512","2961815","10740327","-78052","10662275","-1672407","8989868", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY","380597","66815","447412","-510","446902","-12890","434012", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","3486878","2583387","6070265","-1436493","4633772","-484781","4148991", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","130393","40784","171177","-138368","32809","-14632","18177", , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT","1217633","1410604","2628237","53303772","55932009","-1768863","54163146", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"48764287","48764287","-832933","47931354", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS","8873469","41436494","50309963","9320018","59629981","-9032472","50597509", , , , , , , , , , , , 
"07400RENAL DIALYSIS","1876194","2152183","4028377","-553188","3475189","-296071","3179118", , , , , , , , , , , , 
"03070ASC (NON-DISTINCT PART)", , , , , , , , , , , , , , , , , , , 
"03450DIAGNOSTIC CLINICS","522392","1108540","1630932","-266280","1364652","-211705","1152947", , , , , , , , , , , , 
"07503PAIN MANAGEMENT","261799","199791","461590","-181","461409","-154341","307068", , , , , , , , , , , , 
"03330ENDOSCOPY","3966709","4424124","8390833","-2241523","6149310","-971442","5177868", , , , , , , , , , , , 
"03620NUTRITION THERAPY","138197","70536","208733","702339","911072","-19499","891573", , , , , , , , , , , , 
"07506SLEEP LAB","1043340","470633","1513973","-173944","1340029","-388124","951905", , , , , , , , , , , , 
"03550PARTIAL HOSP PROGRAM","211734","93376","305110","259","305369","-125070","180299", , , , , , , , , , , , 
"03953EXTRACORP TECH","959069","7690650","8649719","-8649719", , , , , , , , , , , , , , , 
"09001AUDIOLOGY CLINIC","521269","176319","697588","-137090","560498","-23709","536789", , , , , , , , , , , , 
"09002CANCER CENTER CLINIC","1435910","1108257","2544167","-135789","2408378","-490034","1918344", , , , , , , , , , , , 
"09003CARDIOLOGY CLINIC","2513358","1671245","4184603","-502845","3681758","-481134","3200624", , , , , , , , , , , , 
"09004DERMATOLOGY CLINIC","533810","433835","967645","-164015","803630","-85026","718604", , , , , , , , , , , , 
"09005GI CLINIC","1139209","660130","1799339","-193129","1606210","-154012","1452198", , , , , , , , , , , , 
"09006NEUROLOGY CLINIC","1082518","1297757","2380275","-883815","1496460","-181988","1314472", , , , , , , , , , , , 
"09007OB GYN CLINIC","3085335","2682611","5767946","-563945","5204001","-630392","4573609", , , , , , , , , , , , 
"09008OPTHALMOLOGY CLINIC","2124955","3053997","5178952","-1820060","3358892","-343426","3015466", , , , , , , , , , , , 
"09009ORTHOPEDIC CLINIC","1334999","1648649","2983648","-874598","2109050","-322931","1786119", , , , , , , , , , , , 
"09010OTOLARANGOLOGY CLINIC","731753","595422","1327175","-158421","1168754","-97697","1071057", , , , , , , , , , , , 
"09011PEDIATRIC CLINIC","1403570","3805450","5209020","-2606928","2602092","-223885","2378207", , , , , , , , , , , , 
"09012PHYS MED & REHAB CLINIC","217359","512698","730057","-380348","349709","-57475","292234", , , , , , , , , , , , 
"09013PODIATRY","508781","705675","1214456","-547713","666743","-47462","619281", , , , , , , , , , , , 
