"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(L00A181)", ,"Entity[563455] Report(L00A181[00100])"
"Line(00100)", ,"5894456"
"Line(00200)", ,"589456"
"Line(00300)", ,"482"
"Line(00400)", ,"217"
"Line(00500)", ,"14"
"Line(00600)", ,"797520"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"474504"
