"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(S300004)", ,"Entity[563455] Report(S300004[00100])"
"Line(00100)", ,"14692202"
"Line(00300)", ,"102392"
"Line(00400)", ,"8511167"
"Line(00800)", ,"29499928"
"Line(01000)", ,"664318"
"Line(01100)", ,"1245966"
"Line(01200)", ,"155324"
"Line(01300)", ,"1468057"
"Line(01400)", ,"804854"
"Line(01500)", ,"5476522"
"Line(01700)", ,"37735530"
"Line(02300)", ,"340992"
