"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report D00B182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(D00B182)", ,"Entity[563455] Report(D00B182[00100])","Entity[563455] Report(D00B182[00200])","Entity[563455] Report(D00B182[00300])","Entity[563455] Report(D00B182[00400])","Entity[563455] Report(D00B182[00500])"
"Line(05000)", ,"6782616","445486070","0","41048","625"
"Line(05010)", ,"795","46914","0"
"Line(05100)", ,"623638","128033593","0","10547","51"
"Line(05200)", ,"643173","16807061","0"
"Line(05300)", ,"484247","125455087","0","53024","205"
"Line(05400)", ,"2195657","78147807","0","1278","36"
"Line(05401)", ,"912583","17124169","0","294","16"
"Line(05402)", ,"528846","10780972","0"
"Line(05403)", ,"15306","14364957","0"
"Line(05410)", ,"355651","7838441","0"
"Line(05500)", ,"653224","42447580","0"
"Line(05700)", ,"422453","104511297","0","5747","23"
"Line(05800)", ,"422442","51396746","0"
"Line(05900)", ,"1966230","162316195","0","633","8"
"Line(06000)", ,"3365375","314785039","0","127831","1367"
"Line(06300)", ,"316661","27388397","0","7403","86"
"Line(06400)", ,"1233587","176089168","0"
"Line(06500)", ,"399799","76639137","0","15097","79"
"Line(06600)", ,"1456976","61966644","0","13815","325"
"Line(06800)", ,"4339","4600227","0","574","1"
"Line(06900)", ,"1919049","18715344","0","80","8"
"Line(07000)", ,"1188","2918733","0"
"Line(07100)", ,"844227","113472323","0","1560","12"
"Line(07200)", ,"767819","155822122","0"
"Line(07300)", ,"1452296","224587372","0","160400","1037"
"Line(07400)", ,"67014","16150548","0","40013","166"
"Line(07501)", ,"137264","13907350","0"
"Line(07503)", ,"403960","8531664","0"
"Line(07504)", ,"458687","55002137","0"
"Line(07505)", ,"5351","646883","0","56"
"Line(07506)", ,"44371","7946320","0"
"Line(07600)", ,"77772","1862956","0","772","32"
"Line(09001)", ,"119206","1848935","0"
"Line(09002)", ,"1095020","3266957","0"
"Line(09003)", ,"1802096","9866108","0"
"Line(09004)", ,"363379","4984710","0"
"Line(09005)", ,"543185","2012002","0"
"Line(09006)", ,"495021","4801628","0"
"Line(09007)", ,"1466383","8709711","0","282","47"
"Line(09008)", ,"1275023","10290563","0"
"Line(09009)", ,"1073434","7543928","0"
"Line(09010)", ,"499408","5096815","0"
"Line(09011)", ,"1439344","10380664","0"
"Line(09012)", ,"313567","1540938","0"
"Line(09013)", ,"309196","4924309","0"
"Line(09014)", ,"7780773","38980236","0"
"Line(09015)", ,"382252","4846689","0"
"Line(09016)", ,"261679","1096828","0"
"Line(09017)", ,"293555","2100084","0"
"Line(09018)", ,"1432640","5117447","0"
"Line(09019)", ,"312651","1552791","0"
"Line(09020)", ,"286112","128538","2"
"Line(09021)", ,"29196","148843","0"
"Line(09022)", ,"304867","1458060","0"
"Line(09023)", ,"144701","390647","0"
"Line(09024)", ,"127538"
"Line(09025)", ,"777731","6727505","0"
"Line(09100)", ,"2195561","190893201","0","54284","624"
"Line(09200)", , ,"18294026"
