"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report D00A055 ","-------------","-------------","-----------",""
"applicable","","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","",""
"boxes:","","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","",""
"PART V - APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES COSTS","","","","","","","","",""
"","","","","Program Charges","","","Program Cost","",""
"","","","Cost to","","Cost Reimbursed","Cost Reimbursed","","Cost","Cost"
"","","","Charge","","Services","Services Not","PPS","Services","Services Not"
"","","","Ratio from","PPS Reimbursed","Subject to","Subject to"," Services","Subject to","Subject to"
"","","","\"Worksheet C","\"","Services","Ded. & Coins.","Ded. & Coins.","(see","Ded. & Coins.","Ded. & Coins."
"","","","\"Part I"," col. 9\"","(see instructions)","(see instructions)","(see instructions)","instructions)","(see instructions)","(see instructions)"
"(A)"," Cost Center Description","","1","2","3","4","5","6","7"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","",""
"Entity[563455] Report(D00A055)", , , ,"Entity[563455] Report(D00A055[00300])", , ,"Entity[563455] Report(D00A055[00600])"
"Line(05000)", , , ,"10444"
"Line(05100)", , , ,"1875"
"Line(05300)", , , ,"2083"
"Line(05400)", , , ,"7234"
"Line(05401)", , , ,"154"
"Line(05700)", , , ,"16686"
"Line(06400)", , , ,"44"
"Line(06500)", , , ,"206"
"Line(06900)", , , ,"1505"
"Line(07100)", , , ,"921"
"Line(07200)", , , ,"2038"
"Line(07300)", , , ,"7410"
"Line(07600)", , , ,"23253"
"Line(09015)", , , ,"5741"
"Line(09100)", , , ,"283655"
"Line(09200)", , , ,"14679"
"Line(20000)", , , ,"377928"
