"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[563455] Report(A000000)","Entity[563455] Report(A000000[00000])","Entity[563455] Report(A000000[00100])","Entity[563455] Report(A000000[00200])","Entity[563455] Report(A000000[00300])","Entity[563455] Report(A000000[00400])","Entity[563455] Report(A000000[00500])","Entity[563455] Report(A000000[00600])","Entity[563455] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", ,"28480328","28480328","15685183","44165511","-9908793","34256718"
"Line(00101)","00101NEW CAPITAL-RESEARCH BUIL", , , ,"509983","509983","798693","1308676"
"Line(00102)","00102ELMWOOD BUILDING", , , ,"1273695","1273695", ,"1273695"
"Line(00103)","00103BUILDING-BAPTIST MOB"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", ,"15776450","15776450","20183238","35959688","18425214","54384902"
"Line(00203)","00203MOVABLE EQUIP - BAPTIST MOB", , , , , ,"239570","239570"
"Line(00300)","00300OTHER CAP REL COSTS", ,"1927192","1927192","-1927192"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT", , , , , ,"7345783","7345783"
"Line(00501)","00540NONPATIENT TELEPHONE", , , ,"55261","55261","1060570","1115831"
"Line(00502)","00550DATA PROCESSING", , , , , ,"16125745","16125745"
"Line(00503)","00560PURCH  RCVING  STORING","12409","39972","52381","85","52466","3174423","3226889"
"Line(00504)","00570ADMITTING","335909","85777","421686","-1814","419872","1248","421120"
"Line(00505)","00580CASHIERING  A/R", , , , , ,"35520099","35520099"
"Line(00506)","00590OTHER ADMIN + GENERAL","19349390","280531522","299880912","25454456","325335368","-231710563","93624805"
"Line(00600)","00600MAINTENANCE & REPAIRS","1560206","8035743","9595949","544955","10140904","15073326","25214230"
"Line(00700)","00700OPERATION OF PLANT","516005","1570856","2086861","241566","2328427","-107","2328320"
"Line(00800)","00800LAUNDRY & LINEN SERVICE", ,"3324600","3324600","25771","3350371","-50686","3299685"
"Line(00900)","00900HOUSEKEEPING","855756","1708135","2563891","14900","2578791","7793138","10371929"
"Line(01000)","01000DIETARY","4156260","12317049","16473309","-518193","15955116","-4744885","11210231"
"Line(01100)","01100CAFETERIA"
"Line(01300)","01300NURSING ADMINISTRATION","3053587","1101920","4155507","-35795","4119712","-267593","3852119"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY"
"Line(01500)","01500PHARMACY"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","40184","10481","50665","-496","50169","13884062","13934231"
"Line(01700)","01700SOCIAL SERVICE","5280208","1584422","6864630","-72843","6791787","-869902","5921885"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A","12423244","40056668","52479912","-3329812","49150100","-34848198","14301902"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A","96165","474531","570696","32417177","32987873","-48146","32939727"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)","64271","13476","77747","-77747"
"Line(02301)","02301RADIOLOGY TECH SCHOOL","184057","37872","221929","382547","604476","-223535","380941"
"Line(02302)","02302PHARMACY PARAMEDICAL EDUC", , , ,"544751","544751","-175943","368808"
"Line(02303)","02303CLINICAL PASTORAL ED","482003","182793","664796","-635728","29068","-29068"
"Line(02305)","02305RESPIRATORY TECH SCHOOL", ,"11663","11663","-1626","10037","-10037"
"Line(03000)","03000ADULTS & PEDIATRICS","47896947","20628826","68525773","-393243","68132530","-6569843","61562687"
"Line(03100)","03100INTENSIVE CARE UNIT","11407522","7026927","18434449","-1909540","16524909","-1107841","15417068"
"Line(03200)","03200CORONARY CARE UNIT","6804737","3810147","10614884","-1336121","9278763","-933609","8345154"
"Line(03500)","02080PEDIATRIC INTENSIVE CAR","2637963","1062532","3700495","-286787","3413708","-404463","3009245"
"Line(03501)","02060NEONATAL INTENSIVE CARE UNIT","10336379","3211920","13548299","-704040","12844259","-3187998","9656261"
"Line(04000)","04000SUBPROVIDER - IPF","1221131","283872","1505003","117346","1622349","-110614","1511735"
"Line(04100)","04100SUBPROVIDER - IRF","1465189","679972","2145161","115232","2260393","-344063","1916330"
"Line(04300)","04300NURSERY", ,"73","73","2340732","2340805","-42353","2298452"
"Line(04400)","04400SKILLED NURSING FACILITY","2234601","1027010","3261611","-126571","3135040","-480086","2654954"
"Line(05000)","05000OPERATING ROOM","21511731","70251820","91763551","-46628236","45135315","-7771707","37363608"
"Line(05010)","05001WOUND CARE","88258","19790","108048","-5241","102807","-1784","101023"
"Line(05100)","05100RECOVERY ROOM","3429909","1373307","4803216","-333240","4469976","-2086550","2383426"
"Line(05200)","05200DELIVERY ROOM & LABOR ROOM","4515578","2423076","6938654","-1149722","5788932","-941895","4847037"
"Line(05300)","05300ANESTHESIOLOGY","2534280","18577569","21111849","-12590176","8521673","-3946463","4575210"
"Line(05400)","05400RADIOLOGY-DIAGNOSTIC","7622680","13212162","20834842","-5498097","15336745","-3088584","12248161"
"Line(05401)","03631ULTRASOUND","2906837","1754594","4661431","-123944","4537487","-306609","4230878"
"Line(05402)","03440MAMMOGRAPHY","1256631","1559390","2816021","-436217","2379804","-373581","2006223"
"Line(05403)","03630PET IMAGINING","169144","2749041","2918185","-282565","2635620","-149934","2485686"
