"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[563455] Report(D00A184)", , , ,"Entity[563455] Report(D00A184[00300])", ,"Entity[563455] Report(D00A184[00500])","Entity[563455] Report(D00A184[00600])","Entity[563455] Report(D00A184[00700])","Entity[563455] Report(D00A184[00800])","Entity[563455] Report(D00A184[00900])","Entity[563455] Report(D00A184[01000])","Entity[563455] Report(D00A184[01100])","Entity[563455] Report(D00A184[01200])","Entity[563455] Report(D00A184[01300])"
"Line(05000)", , , , , , , ,"445486070", , ,"59177431", ,"37764441"
"Line(05010)", , , , , , , ,"46914", , ,"816", ,"7240"
"Line(05100)", , , , , , , ,"128033593", , ,"8314145", ,"2845716"
"Line(05200)", , , , , , , ,"16807061", , ,"227044", ,"31854"
"Line(05300)", , , , , , , ,"125455087", , ,"11859253", ,"10751571"
"Line(05400)", , , ,"555933", ,"555933","555933","78147807","0","0","6878462","48933","9217165","65571"
"Line(05401)", , , , , , , ,"17124169", , ,"1140489", ,"2283002"
"Line(05402)", , , , , , , ,"10780972", , ,"3069", ,"273935"
"Line(05403)", , , , , , , ,"14364957", , ,"403355", ,"2793921"
"Line(05410)", , , , , , , ,"7838441", , ,"333168", ,"1295346"
"Line(05500)", , , , , , , ,"42447580", , ,"550430", ,"7501949"
"Line(05700)", , , , , , , ,"104511297", , ,"8881684", ,"14507881"
"Line(05800)", , , , , , , ,"51396746", , ,"3004172", ,"6097852"
"Line(05900)", , , , , , , ,"162316195", , ,"17887633", ,"23685040"
"Line(06000)", , , , , , , ,"314785039", , ,"33229359", ,"2789865"
"Line(06300)", , , , , , , ,"27388397", , ,"5301043", ,"730572"
"Line(06400)", , , , , , , ,"176089168", , ,"371218", ,"41029002"
"Line(06500)", , , , , , , ,"76639137", , ,"17615624", ,"581491"
"Line(06600)", , , , , , , ,"61966644", , ,"6499987", ,"73252"
"Line(06800)", , , , , , , ,"4600227", , ,"1093553", ,"9111"
"Line(06900)", , , , , , , ,"18715344", , ,"509902", ,"2170887"
"Line(07000)", , , , , , , ,"2918733", , ,"837401", ,"27790"
"Line(07100)", , , , , , , ,"113472323", , ,"19033026", ,"8751982"
"Line(07200)", , , , , , , ,"155822122", , ,"22438123", ,"17060346"
"Line(07300)", , , ,"430121", ,"430121","430121","224587372","0","0","50200615","96134","11732585","22468"
"Line(07400)", , , , , , , ,"16150548", , ,"5459018", ,"2011396"
"Line(07501)", , , , , , , ,"13907350", , ,"503888", ,"2870618"
"Line(07503)", , , , , , , ,"8531664", , ,"14082", ,"2076444"
"Line(07504)", , , , , , , ,"55002137", , ,"3019157", ,"8690913"
"Line(07505)", , , , , , , ,"646883", , ,"150424", ,"4421"
"Line(07506)", , , , , , , ,"7946320", , ,"3377", ,"1039783"
"Line(07600)", , , , , , , ,"1862956", , ,"3860", ,"183400"
"Line(09001)", , , , , , , ,"1848935", , , , ,"300890"
"Line(09002)", , , , , , , ,"3266957", , ,"12589", ,"810456"
"Line(09003)", , , , , , , ,"9866108", , ,"38992", ,"2973240"
"Line(09004)", , , , , , , ,"4984710", , ,"3119", ,"879133"
"Line(09005)", , , , , , , ,"2012002", , ,"4550", ,"417240"
"Line(09006)", , , , , , , ,"4801628", , ,"7512", ,"886381"
"Line(09007)", , , , , , , ,"8709711", , ,"4125", ,"674772"
"Line(09008)", , , , , , , ,"10290563", , ,"3807", ,"2307830"
"Line(09009)", , , , , , , ,"7543928", , ,"10503", ,"1430097"
"Line(09010)", , , , , , , ,"5096815", , ,"4932", ,"867740"
"Line(09011)", , , , , , , ,"10380664", , , , ,"3350"
"Line(09012)", , , , , , , ,"1540938", , ,"656", ,"273935"
"Line(09013)", , , , , , , ,"4924309", , ,"14965", ,"1127482"
"Line(09014)", , , , , , , ,"38980236", , ,"55413", ,"7882868"
"Line(09015)", , , , , , , ,"4846689", , ,"3212", ,"994722"
"Line(09016)", , , , , , , ,"1096828", , ,"3879", ,"260431"
"Line(09017)", , , , , , , ,"2100084", , ,"1150", ,"240404"
"Line(09018)", , , , , , , ,"5117447", , ,"16331", ,"1075359"
"Line(09019)", , , , , , , ,"1552791", , ,"27063", ,"818758"
"Line(09020)", , , , , , , ,"128538", , , , ,"1881"
"Line(09021)", , , , , , , ,"148843", , ,"4281", ,"63846"
"Line(09022)", , , , , , , ,"1458060", , ,"21758", ,"952236"
"Line(09023)", , , , , , , ,"390647", , ,"2352", ,"86264"
"Line(09025)", , , , , , , ,"6727505", , ,"9603", ,"1900124"
"Line(09100)", , , , , , , ,"190893201", , ,"15240509", ,"16356948"
"Line(09200)", , , , , , , ,"18294026", , ,"528478", ,"3388573"
