"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report D00A195 ","-------------","-------------","-----------",""
"applicable","","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","",""
"boxes:","","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","",""
"PART V - APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES COSTS","","","","","","","","",""
"","","","","Program Charges","","","Program Cost","",""
"","","","Cost to","","Cost Reimbursed","Cost Reimbursed","","Cost","Cost"
"","","","Charge","","Services","Services Not","PPS","Services","Services Not"
"","","","Ratio from","PPS Reimbursed","Subject to","Subject to"," Services","Subject to","Subject to"
"","","","\"Worksheet C","\"","Services","Ded. & Coins.","Ded. & Coins.","(see","Ded. & Coins.","Ded. & Coins."
"","","","\"Part I"," col. 9\"","(see instructions)","(see instructions)","(see instructions)","instructions)","(see instructions)","(see instructions)"
"(A)"," Cost Center Description","","1","2","3","4","5","6","7"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","",""
"Entity[563455] Report(D00A195)", , , ,"Entity[563455] Report(D00A195[00300])", , ,"Entity[563455] Report(D00A195[00600])"
"Line(05000)", , , ,"30740"
"Line(05100)", , , ,"566310"
"Line(05200)", , , ,"465320"
"Line(05300)", , , ,"761363"
"Line(05400)", , , ,"2151831"
"Line(05401)", , , ,"481854"
"Line(05402)", , , ,"54198"
"Line(05403)", , , ,"34602"
"Line(05410)", , , ,"84856"
"Line(05500)", , , ,"2751895"
"Line(05700)", , , ,"3290001"
"Line(05800)", , , ,"1690549"
"Line(05900)", , , ,"3081255"
"Line(06000)", , , ,"13752"
"Line(06300)", , , ,"186919"
"Line(06400)", , , ,"7318424"
"Line(06500)", , , ,"192545"
"Line(06600)", , , ,"1819"
"Line(06900)", , , ,"208777"
"Line(07000)", , , ,"8279"
"Line(07100)", , , ,"840105"
"Line(07200)", , , ,"1076060"
"Line(07300)", , , ,"1876833"
"Line(07400)", , , ,"39387"
"Line(07501)", , , ,"9831"
"Line(07504)", , , ,"23171"
"Line(07505)", , , ,"432"
"Line(07506)", , , ,"222095"
"Line(07600)", , , ,"56"
"Line(09001)", , , ,"107027"
"Line(09002)", , , ,"14769"
"Line(09003)", , , ,"28872"
"Line(09004)", , , ,"7732"
"Line(09005)", , , ,"3263"
"Line(09006)", , , ,"150744"
"Line(09007)", , , ,"483860"
"Line(09008)", , , ,"56442"
"Line(09009)", , , ,"110038"
"Line(09010)", , , ,"70074"
"Line(09011)", , , ,"138198"
"Line(09012)", , , ,"29077"
"Line(09013)", , , ,"18710"
"Line(09014)", , , ,"146311"
"Line(09015)", , , ,"245"
"Line(09016)", , , ,"17672"
"Line(09017)", , , ,"5189"
"Line(09018)", , , ,"39358"
"Line(09019)", , , ,"5209"
"Line(09021)", , , ,"174"
"Line(09022)", , , ,"1745"
"Line(09023)", , , ,"2105"
"Line(09025)", , , ,"35756"
"Line(09100)", , , ,"15166400"
"Line(09200)", , , ,"594059"
"Line(20000)", , , ,"44696288"
