"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A600VV0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A600VV0)","Entity[563455] Report(A600VV0[00000])","Entity[563455] Report(A600VV0[00100])", ,"Entity[563455] Report(A600VV0[00300])", ,"Entity[563455] Report(A600VV0[00500])", ,"Entity[563455] Report(A600VV0[00700])", ,"Entity[563455] Report(A600VV0[00900])"
"Line(00100)","DRUGS SOLD","VV", ,"73", ,"11178882", ,"50", ,"22450"
"Line(00200)","DRUGS SOLD","VV", ,"71", ,"4", ,"51", ,"53"
"Line(00300)","DRUGS SOLD","VV", , , , , ,"52", ,"1637"
"Line(00400)","DRUGS SOLD","VV", , , , , ,"53", ,"338116"
"Line(00500)","DRUGS SOLD","VV", , , , , ,"54", ,"94723"
"Line(00600)","DRUGS SOLD","VV", , , , , ,"54", ,"1065"
"Line(00700)","DRUGS SOLD","VV", , , , , ,"54", ,"1182"
"Line(00800)","DRUGS SOLD","VV", , , , , ,"54", ,"708"
"Line(00900)","DRUGS SOLD","VV", , , , , ,"54", ,"9471"
"Line(01000)","DRUGS SOLD","VV", , , , , ,"55", ,"62221"
"Line(01100)","DRUGS SOLD","VV", , , , , ,"57", ,"105803"
"Line(01200)","DRUGS SOLD","VV", , , , , ,"58", ,"143970"
"Line(01300)","DRUGS SOLD","VV", , , , , ,"59", ,"29373"
"Line(01400)","DRUGS SOLD","VV", , , , , ,"60", ,"9887"
"Line(01500)","DRUGS SOLD","VV", , , , , ,"63", ,"814997"
"Line(01600)","DRUGS SOLD","VV", , , , , ,"65", ,"274"
"Line(01700)","DRUGS SOLD","VV", , , , , ,"66", ,"1147"
"Line(01800)","DRUGS SOLD","VV", , , , , ,"69", ,"84188"
"Line(01900)","DRUGS SOLD","VV", , , , , ,"74", ,"1611"
"Line(02000)","DRUGS SOLD","VV", , , , , ,"75", ,"4804"
"Line(02100)","DRUGS SOLD","VV", , , , , ,"75", ,"166"
"Line(02200)","DRUGS SOLD","VV", , , , , ,"75", ,"15613"
"Line(02300)","DRUGS SOLD","VV", , , , , ,"50", ,"11751"
"Line(02400)","DRUGS SOLD","VV", , , , , ,"90", ,"12957"
"Line(02500)","DRUGS SOLD","VV", , , , , ,"90", ,"6718"
"Line(02600)","DRUGS SOLD","VV", , , , , ,"90", ,"46982"
"Line(02700)","DRUGS SOLD","VV", , , , , ,"90", ,"171"
"Line(02800)","DRUGS SOLD","VV", , , , , ,"90", ,"515499"
"Line(02900)","DRUGS SOLD","VV", , , , , ,"90", ,"238838"
"Line(03000)","DRUGS SOLD","VV", , , , , ,"90", ,"1688675"
"Line(03100)","DRUGS SOLD","VV", , , , , ,"90", ,"628439"
"Line(03200)","DRUGS SOLD","VV", , , , , ,"90", ,"24457"
"Line(03300)","DRUGS SOLD","VV", , , , , ,"90", ,"2492408"
"Line(03400)","DRUGS SOLD","VV", , , , , ,"90", ,"302184"
"Line(03500)","DRUGS SOLD","VV", , , , , ,"90", ,"6234"
"Line(03600)","DRUGS SOLD","VV", , , , , ,"90", ,"2697201"
"Line(03700)","DRUGS SOLD","VV", , , , , ,"90", ,"3717"
"Line(03800)","DRUGS SOLD","VV", , , , , ,"90", ,"56775"
"Line(03900)","DRUGS SOLD","VV", , , , , ,"90", ,"296110"
"Line(04000)","DRUGS SOLD","VV", , , , , ,"90", ,"17498"
"Line(04100)","DRUGS SOLD","VV", , , , , ,"90", ,"252"
"Line(04200)","DRUGS SOLD","VV", , , , , ,"90", ,"106409"
"Line(04300)","DRUGS SOLD","VV", , , , , ,"90", ,"277060"
"Line(04400)","DRUGS SOLD","VV", , , , , ,"91", ,"5092"
