"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[563455] Report(A810000)", ,"Entity[563455] Report(A810000[00100])","Entity[563455] Report(A810000[00200])","Entity[563455] Report(A810000[00300])","Entity[563455] Report(A810000[00400])","Entity[563455] Report(A810000[00500])","Entity[563455] Report(A810000[00600])","Entity[563455] Report(A810000[00700])"
"Line(00100)", ,"5","ADMITTING","BRENTHOUSE","30","401","-371"
"Line(00200)", ,"5","OTHER ADMIN + GENERAL","BRENTHOUSE","29592","42678","-13086"
"Line(00300)", ,"10","DIETARY","BRENTHOUSE","183","2408","-2225"
"Line(00301)", ,"13","NURSING ADMINISTRATION","BRENTHOUSE","16695","184779","-168084"
"Line(00302)", ,"17","SOCIAL SERVICE","BRENTHOUSE","259","2693","-2434"
"Line(00303)", ,"21","I&R SERVICES-SALARY & FRINGES APPRV","BRENTHOUSE","98067","187614","-89547"
"Line(00304)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","BRENTHOUSE","46","602","-556"
"Line(00305)", ,"23","CLINICAL PASTORAL ED","BRENTHOUSE","328","4315","-3987"
"Line(00306)", ,"30","ADULTS & PEDIATRICS","BRENTHOUSE","9118","100293","-91175"
"Line(00307)", ,"31","INTENSIVE CARE UNIT","BRENTHOUSE","800","8800","-8000"
"Line(00308)", ,"32","CORONARY CARE UNIT","BRENTHOUSE","1875","19928","-18053"
"Line(00309)", ,"35","PEDIATRIC INTENSIVE CAR","BRENTHOUSE","23","301","-278"
"Line(00310)", ,"35","NEONATAL INTENSIVE CARE UNIT","BRENTHOUSE","1159","13325","-12166"
"Line(00311)", ,"40","SUBPROVIDER - IPF","BRENTHOUSE","25508","35532","-10024"
"Line(00312)", ,"50","OPERATING ROOM","BRENTHOUSE","6220","26440","-20220"
"Line(00313)", ,"52","DELIVERY ROOM & LABOR ROOM","BRENTHOUSE","8","100","-92"
"Line(00314)", ,"53","ANESTHESIOLOGY","BRENTHOUSE","191","3129","-2938"
"Line(00315)", ,"54","RADIOLOGY-DIAGNOSTIC","BRENTHOUSE","3040","6725","-3685"
"Line(00316)", ,"54","PET IMAGINING","BRENTHOUSE","15","268","-253"
"Line(00317)", ,"57","CT SCAN","BRENTHOUSE","15","201","-186"
"Line(00318)", ,"58","MRI","BRENTHOUSE","15","178","-163"
"Line(00319)", ,"59","CARDIAC CATHETERIZATION","BRENTHOUSE","1791","16294","-14503"
"Line(00320)", ,"65","RESPIRATORY THERAPY","BRENTHOUSE","4025","44822","-40797"
"Line(00321)", ,"69","ELECTROCARDIOLOGY","BRENTHOUSE","15","201","-186"
"Line(00322)", ,"73","DRUGS CHARGED TO PATIENTS","BRENTHOUSE","4611","7723","-3112"
"Line(00323)", ,"74","RENAL DIALYSIS","BRENTHOUSE","587","6487","-5900"
"Line(00324)", ,"75","SLEEP LAB","BRENTHOUSE","15","201","-186"
"Line(00325)", ,"50","OPERATING ROOM","BRENTHOUSE","15","178","-163"
"Line(00326)", ,"76","PARTIAL HOSP PROGRAM","BRENTHOUSE","20236","28188","-7952"
"Line(00327)", ,"90","CANCER CENTER CLINIC","BRENTHOUSE","15","268","-253"
"Line(00328)", ,"90","GI CLINIC","BRENTHOUSE","8","100","-92"
"Line(00329)", ,"90","NEUROLOGY CLINIC","BRENTHOUSE","30","469","-439"
"Line(00330)", ,"90","OB GYN CLINIC","BRENTHOUSE","1082","15130","-14048"
"Line(00331)", ,"90","OPTHALMOLOGY CLINIC","BRENTHOUSE","2842","4048","-1206"
"Line(00332)", ,"90","ORTHOPEDIC CLINIC","BRENTHOUSE","137","1442","-1305"
"Line(00333)", ,"90","PEDIATRIC CLINIC","BRENTHOUSE","3013","4444","-1431"
"Line(00334)", ,"90","PRIMARY CARE CLINIC","BRENTHOUSE","35091","50554","-15463"
"Line(00335)", ,"90","PSYCHIATRY CLINIC","BRENTHOUSE","112858","157456","-44598"
"Line(00336)", ,"90","SURGERY CLINIC","BRENTHOUSE","91","1407","-1316"
"Line(00337)", ,"90","TRANSPLANT - HEART","BRENTHOUSE","1817","14856","-13039","9"
"Line(00338)", ,"90","TRANSPLANT - LIVER","BRENTHOUSE","38366","116978","-78612","9"
"Line(00339)", ,"90","TRANSPLANT - LUNG","BRENTHOUSE","9807","35949","-26142"
"Line(00340)", ,"90","TRANSPLANT - KIDNEY/PANCREAS","BRENTHOUSE","23","301","-278"
"Line(00341)", ,"90","TRANSPLANT - BONE MARROW","BRENTHOUSE","44270","135889","-91619"
"Line(00342)", ,"90","TRANSPLANT - MED SUPPORT","BRENTHOUSE","46288","193015","-146727"
"Line(00343)", ,"91","EMERGENCY","BRENTHOUSE","9232","106005","-96773"
"Line(00344)", ,"95","AMBULANCE SERVICES","BRENTHOUSE","175","1789","-1614"
"Line(00345)", ,"194","NON ALLOW OH","BRENTHOUSE","13922","20067","-6145"
"Line(00346)", ,"194","NON ALLOWABLE A&G","BRENTHOUSE","8","100","-92"
"Line(00347)", ,"194","NON ALLOWABLE O/P PHARMACY","BRENTHOUSE","30","401","-371"
"Line(00348)", ,"194","OCHSNER CLINIC","BRENTHOUSE","5326","55134","-49808"
"Line(00349)", ,"194","BOARD DESIGNATED/RESTRICT","BRENTHOUSE","9600","103182","-93582"
"Line(00350)", ,"1","CAP REL COSTS-BLDG & FIXT","HOME OFFICE FUNCTIONAL","3138857", ,"3138857","9"
"Line(00351)", ,"1","NEW CAPITAL-RESEARCH BUIL","HOME OFFICE FUNCTIONAL","775", ,"775","9"
"Line(00352)", ,"5","OTHER ADMIN + GENERAL","HOME OFFICE FUNCTIONAL","34943050","262427312","-227484262"
"Line(00353)", ,"10","DIETARY","HOME OFFICE FUNCTIONAL","907350", ,"907350"
"Line(00354)", ,"16","MEDICAL RECORDS & LIBRARY","HOME OFFICE FUNCTIONAL","13884062", ,"13884062"
"Line(00355)", ,"9","HOUSEKEEPING","HOME OFFICE FUNCTIONAL","7803359", ,"7803359"
"Line(00356)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE FUNCTIONAL","7348069", ,"7348069"
"Line(00357)", ,"5","DATA PROCESSING","HOME OFFICE FUNCTIONAL","16125745", ,"16125745"
"Line(00358)", ,"8","LAUNDRY & LINEN SERVICE","HOME OFFICE FUNCTIONAL","847", ,"847"
"Line(00359)", ,"5","CASHIERING  A/R","HOME OFFICE FUNCTIONAL","35520099", ,"35520099"
"Line(00361)", ,"6","MAINTENANCE & REPAIRS","HOME OFFICE FUNCTIONAL","14034426", ,"14034426"
"Line(00362)", ,"5","PURCH  RCVING  STORING","HOME OFFICE FUNCTIONAL","3174299", ,"3174299"
"Line(00363)", ,"5","NONPATIENT TELEPHONE","HOME OFFICE FUNCTIONAL","1060570", ,"1060570"
"Line(00364)", ,"13","NURSING ADMINISTRATION","HOME OFFICE FUNCTIONAL", ,"2174","-2174"
"Line(00400)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","HOME OFFICE FUNCTIONAL", ,"9646","-9646"
"Line(00401)", ,"55","RADIOLOGY-THERAPEUTIC","HOME OFFICE FUNCTIONAL", ,"164","-164"
"Line(00402)", ,"60","LABORATORY","HOME OFFICE FUNCTIONAL", ,"50164","-50164"
"Line(00403)", ,"194","NON ALLOW OH","HOME OFFICE FUNCTIONAL", ,"10130","-10130"
"Line(00404)", ,"194","OCHSNER CLINIC","HOME OFFICE FUNCTIONAL", ,"5198","-5198"
"Line(00405)", ,"5","OTHER ADMIN + GENERAL","HOME OFFICE FUNCTIONAL","3983108", ,"3983108"
"Line(00406)", ,"1","CAP REL COSTS-BLDG & FIXT","HOME OFFICE POOLED","4696596", ,"4696596","9"
"Line(00407)", ,"2","CAP REL COSTS-MVBLE EQUIP","HOME OFFICE POOLED","18298798", ,"18298798","9"
"Line(00408)", ,"6","MAINTENANCE & REPAIRS","HOME OFFICE POOLED","1125860", ,"1125860"
"Line(00500)", , , , ,"166604383","264268576","-97664193"
"Line(00600)", ,"E","OCHSNER CLINIC FOUNDATION","100","BRENTHOUSE","100","HOTEL"
