"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00B184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[572875] Report(D00B184)", , ,"Entity[572875] Report(D00B184[00200])","Entity[572875] Report(D00B184[00300])", ,"Entity[572875] Report(D00B184[00500])","Entity[572875] Report(D00B184[00600])","Entity[572875] Report(D00B184[00700])","Entity[572875] Report(D00B184[00800])","Entity[572875] Report(D00B184[00900])","Entity[572875] Report(D00B184[01000])","Entity[572875] Report(D00B184[01100])","Entity[572875] Report(D00B184[01200])"
"Line(05000)", , , ,"67988", ,"67988","67988","1089241927","0","0","106624","7"
"Line(05100)", , , ,"3516", ,"3516","3516","55809374","0","0","5818"
"Line(05200)", , ,"107880","3159", ,"111039","111039","50141149","0","0","779","2"
"Line(05300)", , , ,"10904", ,"10904","10904","173074758","0","0","95643","6","18"
"Line(05400)", , , ,"27429", ,"27429","27429","435384983","0","0","105064","7","963"
"Line(05500)", , , ,"542091", ,"542091","542091","302679781","0","0","21713","39"
"Line(05501)", , , ,"5650", ,"5650","5650","89682976","0","0","3501"
"Line(05700)", , , ,"15599", ,"15599","15599","247596590","0","0","103111","6","1641"
"Line(05800)", , , ,"13905", ,"13905","13905","220713264","0","0","206486","13","5"
"Line(05900)", , , ,"7975", ,"7975","7975","126582660","0","0","8221","1"
"Line(06000)", , , ,"45555", ,"45555","45555","723100261","0","0","569932","36"
"Line(06001)", , , ,"195", ,"195","195","3090038","0","0","133"
"Line(06300)", , , ,"7027", ,"7027","7027","111540752","0","0","50607","3"
"Line(06400)", , , ,"886", ,"886","886","14066636","0","0","18"
"Line(06500)", , , ,"4306", ,"4306","4306","68356795","0","0","60646","4"
"Line(06600)", , , ,"38522", ,"38522","38522","72657399","0","0","312820","166"
"Line(06900)", , , ,"1138", ,"1138","1138","18066384","0","0","15520","1"
"Line(06901)", , , ,"6204", ,"6204","6204","98471396","0","0","4036", ,"1"
"Line(07000)", , , ,"2250", ,"2250","2250","35713023","0","0","40770","3"
"Line(07100)", , , ,"6441", ,"6441","6441","102238303","0","0","8027","1"
"Line(07200)", , , ,"7337", ,"7337","7337","116456420","0","0","5444"
"Line(07300)", , , ,"314806", ,"314806","314806","590981759","0","0","440477","235","83"
"Line(07400)", , , ,"14675", ,"14675","14675","14816091","0","0","3382","3"
"Line(07600)", , , ,"366810", ,"366810","366810","57860875","0","0","320522","2032","1"
"Line(07697)", , , ,"129", ,"129","129","2050161","0","0","5"
"Line(09000)", , ,"15378","728952", ,"744330","744330","304472957","0","0","10332","25","5"
"Line(09100)", , , ,"13800", ,"13800","13800","219054107","0","0","504024","32"
"Line(09200)", , , , , , , ,"65340766"
"Line(09201)", , , ,"1754", ,"1754","1754","27847126","0","0","4408"
"Line(09400)", , , ,"1447", ,"1447","1447","22974513","0","0"
