"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AR0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AR0)","Entity[572875] Report(A600AR0[00000])","Entity[572875] Report(A600AR0[00100])", ,"Entity[572875] Report(A600AR0[00300])", ,"Entity[572875] Report(A600AR0[00500])", ,"Entity[572875] Report(A600AR0[00700])", ,"Entity[572875] Report(A600AR0[00900])"
"Line(00100)","FRINGE BENEFITS","AR", ,"4", ,"3923649", ,"5", ,"2862"
"Line(00200)","FRINGE BENEFITS","AR", , , , , ,"5", ,"14706"
"Line(00300)","FRINGE BENEFITS","AR", , , , , ,"5", ,"54468"
"Line(00400)","FRINGE BENEFITS","AR", , , , , ,"5", ,"99205"
"Line(00500)","FRINGE BENEFITS","AR", , , , , ,"5", ,"132689"
"Line(00600)","FRINGE BENEFITS","AR", , , , , ,"6", ,"71883"
"Line(00700)","FRINGE BENEFITS","AR", , , , , ,"6", ,"4055"
"Line(00800)","FRINGE BENEFITS","AR", , , , , ,"6", ,"3995"
"Line(00900)","FRINGE BENEFITS","AR", , , , , ,"7", ,"2312"
"Line(01000)","FRINGE BENEFITS","AR", , , , , ,"8", ,"3161"
"Line(01100)","FRINGE BENEFITS","AR", , , , , ,"9", ,"66362"
"Line(01200)","FRINGE BENEFITS","AR", , , , , ,"10", ,"75831"
"Line(01300)","FRINGE BENEFITS","AR", , , , , ,"13", ,"59784"
"Line(01400)","FRINGE BENEFITS","AR", , , , , ,"14", ,"29416"
"Line(01500)","FRINGE BENEFITS","AR", , , , , ,"14", ,"4411"
"Line(01600)","FRINGE BENEFITS","AR", , , , , ,"14", ,"4265"
"Line(01700)","FRINGE BENEFITS","AR", , , , , ,"15", ,"91068"
"Line(01800)","FRINGE BENEFITS","AR", , , , , ,"16", ,"24816"
"Line(01900)","FRINGE BENEFITS","AR", , , , , ,"17", ,"24470"
"Line(02000)","FRINGE BENEFITS","AR", , , , , ,"18", ,"22249"
"Line(02100)","FRINGE BENEFITS","AR", , , , , ,"21", ,"346828"
"Line(02200)","FRINGE BENEFITS","AR", , , , , ,"30", ,"646762"
"Line(02300)","FRINGE BENEFITS","AR", , , , , ,"31", ,"44184"
"Line(02400)","FRINGE BENEFITS","AR", , , , , ,"32", ,"27024"
"Line(02500)","FRINGE BENEFITS","AR", , , , , ,"33", ,"2354"
"Line(02600)","FRINGE BENEFITS","AR", , , , , ,"34", ,"31974"
"Line(02700)","FRINGE BENEFITS","AR", , , , , ,"35", ,"99050"
"Line(02800)","FRINGE BENEFITS","AR", , , , , ,"35", ,"48652"
"Line(02900)","FRINGE BENEFITS","AR", , , , , ,"40", ,"21624"
"Line(03000)","FRINGE BENEFITS","AR", , , , , ,"43", ,"20147"
"Line(03100)","FRINGE BENEFITS","AR", , , , , ,"50", ,"299957"
"Line(03200)","FRINGE BENEFITS","AR", , , , , ,"51", ,"71154"
"Line(03300)","FRINGE BENEFITS","AR", , , , , ,"52", ,"40614"
"Line(03400)","FRINGE BENEFITS","AR", , , , , ,"53", ,"60087"
"Line(03500)","FRINGE BENEFITS","AR", , , , , ,"54", ,"165343"
"Line(03600)","FRINGE BENEFITS","AR", , , , , ,"55", ,"72074"
"Line(03700)","FRINGE BENEFITS","AR", , , , , ,"55", ,"25470"
"Line(03800)","FRINGE BENEFITS","AR", , , , , ,"57", ,"20676"
"Line(03900)","FRINGE BENEFITS","AR", , , , , ,"58", ,"24507"
"Line(04000)","FRINGE BENEFITS","AR", , , , , ,"59", ,"19546"
"Line(04100)","FRINGE BENEFITS","AR", , , , , ,"60", ,"132993"
"Line(04200)","FRINGE BENEFITS","AR", , , , , ,"60", ,"2538"
"Line(04300)","FRINGE BENEFITS","AR", , , , , ,"63", ,"26229"
"Line(04400)","FRINGE BENEFITS","AR", , , , , ,"65", ,"32735"
"Line(04500)","FRINGE BENEFITS","AR", , , , , ,"66", ,"67501"
"Line(04600)","FRINGE BENEFITS","AR", , , , , ,"69", ,"1523"
"Line(04700)","FRINGE BENEFITS","AR", , , , , ,"69", ,"25857"
"Line(04800)","FRINGE BENEFITS","AR", , , , , ,"70", ,"17359"
"Line(04900)","FRINGE BENEFITS","AR", , , , , ,"71", ,"2030"
"Line(05000)","FRINGE BENEFITS","AR", , , , , ,"74", ,"15776"
"Line(05100)","FRINGE BENEFITS","AR", , , , , ,"76", ,"24984"
"Line(05200)","FRINGE BENEFITS","AR", , , , , ,"77", ,"3375"
"Line(05300)","FRINGE BENEFITS","AR", , , , , ,"90", ,"449896"
"Line(05400)","FRINGE BENEFITS","AR", , , , , ,"91", ,"111648"
"Line(05500)","FRINGE BENEFITS","AR", , , , , ,"92", ,"6583"
"Line(05600)","FRINGE BENEFITS","AR", , , , , ,"94", ,"3323"
"Line(05700)","FRINGE BENEFITS","AR", , , , , ,"105", ,"18185"
"Line(05800)","FRINGE BENEFITS","AR", , , , , ,"106", ,"1887"
"Line(05900)","FRINGE BENEFITS","AR", , , , , ,"107", ,"4545"
"Line(06000)","FRINGE BENEFITS","AR", , , , , ,"108", ,"1469"
"Line(06100)","FRINGE BENEFITS","AR", , , , , ,"109", ,"401"
"Line(06200)","FRINGE BENEFITS","AR", , , , , ,"110", ,"384"
"Line(06300)","FRINGE BENEFITS","AR", , , , , ,"112", ,"3674"
"Line(06400)","FRINGE BENEFITS","AR", , , , , ,"190", ,"22660"
"Line(06500)","FRINGE BENEFITS","AR", , , , , ,"191", ,"20552"
"Line(06600)","FRINGE BENEFITS","AR", , , , , ,"191", ,"9034"
"Line(06700)","FRINGE BENEFITS","AR", , , , , ,"6", ,"36473"
