"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D30A180 ","-------------","-------------","-----------",""
"","applicable","\"   [ ]  Title XVIII"," Part A\"","   [ ]  IPF"," [ ]  SNF","  [ ]  Swing-Bed NF","   [ ]  TEFRA",""
"","boxes:","   [ ]  Title XIX","   [ ]  IRF"," [ ]  NF","  [ ]  ICF/MR","   [ ]  Other",""
"","","","","Ratio of Cost","Inpatient","Inpatient Program Costs",""
"","COST  CENTER  DESCRIPTION","","","to Charges","Program Charges","(col. 1 x col. 2)",""
"","","","","1","2","3",""
"","INPATIENT ROUTINE SERVICE COST CENTERS","","","","","",""
"30"," Adults and Pediatrics (General Routine Care)","","","","","","30"
"31"," Intensive Care Unit","","","","","","31"
"32"," Coronary Care Unit","","","","","","32"
"33"," Burn Intensive Care Unit","","","","","","33"
"34"," Surgical Intensive Care Unit","","","","","","34"
"35"," Other Special Care (specify)","","","","","","35"
"40"," Subprovider IPF","","","","","","40"
"41"," Subprovider IRF","","","","","","41"
"42"," Subprovider (Specify)","","","","","","42"
"43"," Nursery","","","","","","43"
"","ANCILLARY SERVICE COST CENTERS","","","","","",""
"50"," Operating Room","","","","","","50"
"51"," Recovery Room","","","","","","51"
"52"," Labor Room and Delivery Room","","","","","","52"
"53"," Anesthesiology","","","","","","53"
"54"," Radiology-Diagnostic","","","","","","54"
"55"," Radiology-Therapeutic","","","","","","55"
"56"," Radioisotope","","","","","","56"
"57"," Computed Tomography (CT) Scan","","","","","","57"
"58"," Magnetic Resonance Imaging (MRI)","","","","","","58"
"59"," Cardiac Catheterization","","","","","","59"
"60"," Laboratory","","","","","","60"
"61"," PBP Clinical Laboratory Services-Prgm. Only","","","","","","61"
"62"," Whole Blood & Packed Red Blood Cells","","","","","","62"
"63","\" Blood Storing"," Processing"," & Trans.\"","","","","","","63"
"64"," Intravenous Therapy","","","","","","64"
"65"," Respiratory Therapy","","","","","","65"
"66"," Physical Therapy","","","","","","66"
"67"," Occupational Therapy","","","","","","67"
"68"," Speech Pathology","","","","","","68"
"69"," Electrocardiology","","","","","","69"
"70"," Electroencephalography","","","","","","70"
"71"," Medical Supplies Charged to Patients","","","","","","71"
"72"," Implantable Devices Charged to Patients","","","","","","72"
"73"," Drugs Charged to Patients","","","","","","73"
"74"," Renal Dialysis","","","","","","74"
"75"," ASC (Non-Distinct Part)","","","","","","75"
"76"," Other Ancillary (specify)","","","","","","76"
"","OUTPATIENT SERVICE COST CENTERS","","","","","",""
"88"," Rural Health Clinic (RHC)","","","","","","88"
"89"," Federally Qualified Health Center (FQHC)","","","","","","89"
"90"," Clinic","","","","","","90"
"91"," Emergency","","","","","","91"
"92"," Observation Beds (see instructions)","","","","","","92"
"93"," Other Outpatient Service (specify)","","","","","","93"
"","OTHER REIMBURSABLE COST CENTERS","","","","","",""
"94"," Home Program Dialysis","","","","","","94"
"95"," Ambulance Services","","","","","","95"
"96"," Durable Medical Equipment-Rented","","","","","","96"
"97"," Durable Medical Equipment-Sold","","","","","","97"
"98"," Other Reimbursable (specify)","","","","","","98"
"200"," Total (sum of lines 50-94 and 96-98)","","","","","","200"
"201"," Less PBP Clinic Laboratory Services-Program only charges (line 61)","","","","","","201"
"202"," Net Charges (line 200 minus line 201)","","","","","","202"
"Entity[572875] Report(D30A180)", ,"Entity[572875] Report(D30A180[00100])","Entity[572875] Report(D30A180[00200])","Entity[572875] Report(D30A180[00300])"
"Line(03000)", , ,"389448030"
"Line(03100)", , ,"39443696"
"Line(03200)", , ,"18275592"
"Line(03300)", , ,"3765968"
"Line(03400)", , ,"16605664"
"Line(03500)", , ,"46488305"
"Line(05000)", ,"0","239329441","55032130"
"Line(05100)", ,"1","11337732","7284413"
"Line(05200)", ,"0","1574960","589810"
"Line(05300)", ,"0","33253583","6434269"
"Line(05400)", ,"0","59933661","11392070"
"Line(05500)", ,"0","3209602","565349"
"Line(05501)", ,"0","671893","119950"
"Line(05700)", ,"0","38125580","4391838"
"Line(05800)", ,"0","21517034","2653287"
"Line(05900)", ,"0","36174971","4582247"
"Line(06000)", ,"0","114532526","15477009"
"Line(06001)", ,"0","32976","14695"
"Line(06300)", ,"0","32663203","9370256"
"Line(06400)", ,"0","61308","1013"
"Line(06500)", ,"0","26021158","6694229"
"Line(06600)", ,"0","14829473","6267988"
"Line(06900)", ,"0","2710357","162066"
"Line(06901)", ,"0","21140715","5224082"
"Line(07000)", ,"0","4967283","1969955"
"Line(07100)", ,"0","30182688","8785758"
"Line(07200)", ,"0","31340901","10275804"
"Line(07300)", ,"0","66785864","24868184"
"Line(07400)", ,"1","7878554","4333173"
"Line(07600)", ,"0","5179462","1339538"
"Line(07697)", ,"1","1306","976"
"Line(09000)", ,"1","3349894","2385748"
"Line(09100)", ,"0","38292498","11490392"
"Line(09200)", ,"0","1260774","278820"
"Line(09201)", ,"0","342985","44091"
"Line(09400)", ,"0","261420","54469"
"Line(20000)", , ,"846963802","202083609"
