"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00A183 ","-------------","-------------","-----------",""
"applicable ","","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","",""
"boxes:","","   [ ]  Title XIX","","","","","","","","","",""
"","","","","","All","Swing-Bed","","","","","Inpatient",""
"","","",""," ","Other ","Adjustment","Total Costs","","Per","","Program",""
"","","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through",""
"","","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost",""
"","","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)",""
"(A)","Cost Center Description","","1","2","3","4","5","6","7","8","9",""
""," INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","",""
""," Adults & Pediatrics","","","","","","","","","","",""
"30"," (General Routine Care)","","","","","","","","","","","30"
"","","","","","","","","","","","",""
"31"," Intensive Care Unit","","","","","","","","","","","31"
"","","","","","","","","","","","",""
"32"," Coronary Care Unit","","","","","","","","","","","32"
"","","","","","","","","","","","",""
"33"," Burn Intensive Care Unit","","","","","","","","","","","33"
"","","","","","","","","","","","",""
"34"," Surgical Intensive Care Unit","","","","","","","","","","","34"
"","","","","","","","","","","","",""
"35"," Other Special Care Unit (specify)","","","","","","","","","","","35"
"","","","","","","","","","","","",""
"40"," Subprovider IPF","","","","","","","","","","","40"
"","","","","","","","","","","","",""
"41"," Subprovider IRF","","","","","","","","","","","41"
"","","","","","","","","","","","",""
"42"," Subprovider  (Other)","","","","","","","","","","","42"
"","","","","","","","","","","","",""
"43"," Nursery","","","","","","","","","","","43"
"","","","","","","","","","","","",""
"44"," Skilled Nursing Facility","","","","","","","","","","","44"
"","","","","","","","","","","","",""
"45"," Nursing Facility","","","","","","","","","","","45"
"","","","","","","","","","","","",""
"200"," Total (sum of lines 30-199)","","","","","","","","","","","200"
"","","","","","","","","","","","",""
"","(A) Worksheet A line numbers","","","","","","","","","","",""
"Entity[572875] Report(D00A183)", ,"Entity[572875] Report(D00A183[00100])","Entity[572875] Report(D00A183[00200])", , ,"Entity[572875] Report(D00A183[00500])","Entity[572875] Report(D00A183[00600])","Entity[572875] Report(D00A183[00700])","Entity[572875] Report(D00A183[00800])","Entity[572875] Report(D00A183[00900])"
"Line(03000)", ,"974360","192140", , ,"1166500","250846","5","103950","483368"
"Line(03100)", , ,"3052", , ,"3052","5950","1","4856","2477"
"Line(03200)", , ,"2548", , ,"2548","4971","1","2247","1146"
"Line(03300)", , ,"1007", , ,"1007","2190","0","464","213"
"Line(03400)", , ,"2425", , ,"2425","4734","1","2041","1041"
"Line(03500)", , ,"37486", , ,"37486","18617","2","5711","11479"
"Line(03501)", , ,"3493", , ,"3493","7043","1"
"Line(04000)", ,"45423","1986", , ,"47409","8548","6","3107","17244"
"Line(04300)", , ,"3420", , ,"3420","13731","0"
