"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[572875] Report(D00A184)", , ,"Entity[572875] Report(D00A184[00200])","Entity[572875] Report(D00A184[00300])", ,"Entity[572875] Report(D00A184[00500])","Entity[572875] Report(D00A184[00600])","Entity[572875] Report(D00A184[00700])","Entity[572875] Report(D00A184[00800])","Entity[572875] Report(D00A184[00900])","Entity[572875] Report(D00A184[01000])","Entity[572875] Report(D00A184[01100])","Entity[572875] Report(D00A184[01200])","Entity[572875] Report(D00A184[01300])"
"Line(05000)", , , ,"67988", ,"67988","67988","1089241927","0","0","239329441","14838","73100082","4532"
"Line(05100)", , , ,"3516", ,"3516","3516","55809374","0","0","11337732","714","1015649","64"
"Line(05200)", , ,"107880","3159", ,"111039","111039","50141149","0","0","1574960","3489","358318","794"
"Line(05300)", , , ,"10904", ,"10904","10904","173074758","0","0","33253583","2095","11388496","717"
"Line(05400)", , , ,"27429", ,"27429","27429","435384983","0","0","59933661","3776","88200119","5557"
"Line(05500)", , , ,"542091", ,"542091","542091","302679781","0","0","3209602","5748","88741797","158937"
"Line(05501)", , , ,"5650", ,"5650","5650","89682976","0","0","671893","42","38857089","2448"
"Line(05700)", , , ,"15599", ,"15599","15599","247596590","0","0","38125580","2402","57086268","3596"
"Line(05800)", , , ,"13905", ,"13905","13905","220713264","0","0","21517034","1356","36734005","2314"
"Line(05900)", , , ,"7975", ,"7975","7975","126582660","0","0","36174971","2279","20924436","1318"
"Line(06000)", , , ,"45555", ,"45555","45555","723100261","0","0","114532526","7216","23149900","1458"
"Line(06001)", , , ,"195", ,"195","195","3090038","0","0","32976","2","346581","22"
"Line(06300)", , , ,"7027", ,"7027","7027","111540752","0","0","32663203","2058","9706955","612"
"Line(06400)", , , ,"886", ,"886","886","14066636","0","0","61308","4","183766","12"
"Line(06500)", , , ,"4306", ,"4306","4306","68356795","0","0","26021158","1639","132208","8"
"Line(06600)", , , ,"38522", ,"38522","38522","72657399","0","0","14829473","7860","202733","107"
"Line(06900)", , , ,"1138", ,"1138","1138","18066384","0","0","2710357","171","3863392","243"
"Line(06901)", , , ,"6204", ,"6204","6204","98471396","0","0","21140715","1332","14809809","933"
"Line(07000)", , , ,"2250", ,"2250","2250","35713023","0","0","4967283","313","5713927","360"
"Line(07100)", , , ,"6441", ,"6441","6441","102238303","0","0","30182688","1902","8458509","533"
"Line(07200)", , , ,"7337", ,"7337","7337","116456420","0","0","31340901","1974","14839501","935"
"Line(07300)", , , ,"314806", ,"314806","314806","590981759","0","0","66785864","35597","151455267","80726"
"Line(07400)", , , ,"14675", ,"14675","14675","14816091","0","0","7878554","7800","450460","446"
"Line(07600)", , , ,"366810", ,"366810","366810","57860875","0","0","5179462","32838","16151187","102399"
"Line(07697)", , , ,"129", ,"129","129","2050161","0","0","1306", ,"764920","48"
"Line(09000)", , ,"15378","728952", ,"744330","744330","304472957","0","0","3349894","8190","82131620","200812"
"Line(09100)", , , ,"13800", ,"13800","13800","219054107","0","0","38292498","2412","25991067","1637"
"Line(09200)", , ,"40836","8049", ,"48885","48885","65340766","0","0","1260774","943","26499889","19822"
"Line(09201)", , , ,"1754", ,"1754","1754","27847126","0","0","342985","22","1300"
"Line(09400)", , , ,"1447", ,"1447","1447","22974513","0","0","261420","16"
