"----------"," Entity 572875"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[572875] Report(A000000[00000])","Entity[572875] Report(A000000[00100])","Entity[572875] Report(A000000[00200])","Entity[572875] Report(A000000[00300])","Entity[572875] Report(A000000[00400])","Entity[572875] Report(A000000[00500])","Entity[572875] Report(A000000[00600])","Entity[572875] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", ,"102037249","102037249","-88110677","13926572","-13926572", , , , , , , , , , , , , 
"00101PHILLIPS BUILDING", , , ,"2428326","2428326", ,"2428326", , , , , , , , , , , , 
"00102WHITE BUILDING", , , ,"2481382","2481382", ,"2481382", , , , , , , , , , , , 
"00103BULFINCH BUILDING", , , ,"443084","443084", ,"443084", , , , , , , , , , , , 
"00104LUNDER BUILDING", , , ,"19425133","19425133", ,"19425133", , , , , , , , , , , , 
"00105BARTLETT HALL / EXTENSION", , , ,"803737","803737", ,"803737", , , , , , , , , , , , 
"00106DANVERS ACC", , , ,"3973097","3973097", ,"3973097", , , , , , , , , , , , 
"00107PAUL S. RUSSELL MUSEUM", , , ,"457254","457254", ,"457254", , , , , , , , , , , , 
"00108COX BUILDING", , , ,"2961338","2961338", ,"2961338", , , , , , , , , , , , 
"00109GRAY BUILDING", , , ,"4559369","4559369", ,"4559369", , , , , , , , , , , , 
"00110SLEEPER BUILDING", , , ,"39406","39406", ,"39406", , , , , , , , , , , , 
"00111EDWARDS BUILDING", , , ,"1022265","1022265", ,"1022265", , , , , , , , , , , , 
"00112PROF. OFFICE BLDG", , , ,"406963","406963", ,"406963", , , , , , , , , , , , 
"00113WARREN BUILDING", , , ,"869162","869162", ,"869162", , , , , , , , , , , , 
"00114WEST END BUILDING", , , ,"64485","64485", ,"64485", , , , , , , , , , , , 
"00115TILTON", , , , , , , , , , , , , , , , , , , 
"00116CHELSEA HEALTH", , , ,"1136825","1136825", ,"1136825", , , , , , , , , , , , 
"00117BUNKER HILL (CHARLESTOWN)", , , ,"325256","325256", ,"325256", , , , , , , , , , , , 
"00118EVERETT HEALTH", , , ,"144177","144177", ,"144177", , , , , , , , , , , , 
"00119ACC BUILDING", , , ,"4897434","4897434", ,"4897434", , , , , , , , , , , , 
"00120JACKSON BUILDING", , , ,"2518498","2518498", ,"2518498", , , , , , , , , , , , 
"00121REVERE", , , ,"169625","169625", ,"169625", , , , , , , , , , , , 
"00122WELLMAN BUILDING", , , ,"1725071","1725071", ,"1725071", , , , , , , , , , , , 
"00123CNY", , , ,"16661164","16661164", ,"16661164", , , , , , , , , , , , 
"00124ELLISON", , , ,"3840646","3840646", ,"3840646", , , , , , , , , , , , 
"00125YAWKEY BUILDING", , , ,"9887039","9887039", ,"9887039", , , , , , , , , , , , 
"00126BLAKE BUILDING", , , ,"5275608","5275608", ,"5275608", , , , , , , , , , , , 
"00127NPTC", , , ,"809001","809001","-221627","587374", , , , , , , , , , , , 
"00128CAPITAL OTHER", , , ,"14312683","14312683", ,"14312683", , , , , , , , , , , , 
"00129CPZ 165 CAMBRIDGE STREET", , , ,"1034347","1034347", ,"1034347", , , , , , , , , , , , 
"00130LANSDOWNE", , , ,"60547","60547", ,"60547", , , , , , , , , , , , 
"00131CPZ (SOUTH) 175 CAMBRIDGE", , , ,"343339","343339", ,"343339", , , , , , , , , , , , 
"00132CPZ (NORTH) SIMCHES", , , ,"3561163","3561163", ,"3561163", , , , , , , , , , , , 
"00133MGH WEST", , , ,"1650421","1650421", ,"1650421", , , , , , , , , , , , 
"00134400 TECH SQUARE", , , ,"851008","851008", ,"851008", , , , , , , , , , , , 
"0013550 STANIFORD ST.", , , ,"583374","583374", ,"583374", , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", ,"50832942","50832942","23340086","74173028", ,"74173028", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", , , , , , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT","2044013","-1530638","513375","-4188201","-3674826","7325047","3650221", , , , , , , , , , , , 
"00540NONPATIENT TELEPHONE", , , ,"10103016","10103016", ,"10103016", , , , , , , , , , , , 
"00550DATA PROCESSING","611560","69268261","69879821","-24951","69854870","15138238","84993108", , , , , , , , , , , , 
"00560PURCH  RCVING  STORING","3625076","1657768","5282844","-221051","5061793","4367150","9428943", , , , , , , , , , , , 
"00570ADMITTING","13348938","5218792","18567730","-188511","18379219", ,"18379219", , , , , , , , , , , , 
"00580CASHIERING  A/R","24775866","27349669","52125535","-6471877","45653658","17122237","62775895", , , , , , , , , , , , 
"00590OTHER ADMIN + GENERAL","35509029","147578433","183087462","-7038124","176049338","-36408506","139640832", , , , , , , , , , , , 
"00600MAINTENANCE & REPAIRS","17644570","48953766","66598336","-36059064","30539272","-3498711","27040561", , , , , , , , , , , , 
"00601PARKING","1003322","5787057","6790379","-223091","6567288","-6567288", , , , , , , , , , , , , 
"00602HOME OFFICE MAINT / PLANT OPERA", , , ,"-4055","-4055","4058924","4054869", , , , , , , , , , , , 
"00603SECURITY","8585643","3774884","12360527","151187","12511714","-853868","11657846", , , , , , , , , , , , 
"00604DANVERS ACC MAINT / PLANT OPERA","973245","8319410","9292655","-7058598","2234057","-233694","2000363", , , , , , , , , , , , 
"00700OPERATION OF PLANT","569836","17510313","18080149","-15541092","2539057","-189860","2349197", , , , , , , , , , , , 
"00701WANG", , , ,"1032524","1032524", ,"1032524", , , , , , , , , , , , 
"00702LUNDER", , , ,"4478803","4478803", ,"4478803", , , , , , , , , , , , 
"00703BULFINCH & MUSEUM", , , ,"469002","469002", ,"469002", , , , , , , , , , , , 
"00704SLPR CARDIO TILTON NPTC", , , ,"970054","970054", ,"970054", , , , , , , , , , , , 
"00705YAWKEY", , , ,"2653436","2653436", ,"2653436", , , , , , , , , , , , 
"00706COX/BARTLETT", , , ,"1203966","1203966", ,"1203966", , , , , , , , , , , , 
"00707ELLISON", , , ,"3651225","3651225", ,"3651225", , , , , , , , , , , , 
"00708EDWARDS", , , ,"410958","410958", ,"410958", , , , , , , , , , , , 
"00709GRAY E/JACKSON", , , ,"1289684","1289684", ,"1289684", , , , , , , , , , , , 
"00710GRAY N/BIGELOW", , , ,"2576976","2576976", ,"2576976", , , , , , , , , , , , 
"00711PHILLIPS", , , ,"386837","386837", ,"386837", , , , , , , , , , , , 
"00712BLAKE", , , ,"2523198","2523198", ,"2523198", , , , , , , , , , , , 
"00713DANVERS ACC", , , ,"867485","867485", ,"867485", , , , , , , , , , , , 
"00714WARREN", , , ,"472123","472123", ,"472123", , , , , , , , , , , , 
"00715WELLMAN & SIMCHES", , , ,"4381945","4381945", ,"4381945", , , , , , , , , , , , 
"00716WHITE", , , ,"2321275","2321275", ,"2321275", , , , , , , , , , , , 
"00717CHARLESTOWN HEALTH CENTER", , , ,"667182","667182", ,"667182", , , , , , , , , , , , 
"00718CHARLESTOWN 149", , , ,"7497523","7497523", ,"7497523", , , , , , , , , , , , 
"00719SOMERVILLE AOB POB", , , ,"347559","347559", ,"347559", , , , , , , , , , , , 
"00800LAUNDRY & LINEN SERVICE","778166","2436082","3214248","-13227","3201021","-49616","3151405", , , , , , , , , , , , 
"00900HOUSEKEEPING","16202280","11519756","27722036","-125378","27596658","-6130","27590528", , , , , , , , , , , , 
"01000DIETARY","18596337","16938721","35535058","-315573","35219485","-20610693","14608792", , , , , , , , , , , , 
"01100CAFETERIA", , , , , , , , , , , , , , , , , , , 
"01200MAINTENANCE OF PERSONNEL", , , , , , , , , , , , , , , , , , , 
"01300NURSING ADMINISTRATION","14725999","9410806","24136805","-196685","23940120","-785021","23155099", , , , , , , , , , , , 
"01400CENTRAL SERVICES & SUPPLY","7367110","4995751","12362861","-66597","12296264", ,"12296264", , , , , , , , , , , , 
"01401MEDICAL ENGINEERING","1133719","425025","1558744","-125320","1433424","-392845","1040579", , , , , , , , , , , , 
"01402MEDICAL SURGICAL OTHE","1071102","1761529","2832631","-21651","2810980", ,"2810980", , , , , , , , , , , , 
"01500PHARMACY","22383565","63045411","85428976","107631555","193060531","-281497","192779034", , , , , , , , , , , , 
"01600MEDICAL RECORDS & LIBRARY","6139980","6872302","13012282","482511","13494793","-991002","12503791", , , , , , , , , , , , 
"01700SOCIAL SERVICE","5986781","2295058","8281839","-286792","7995047","-391560","7603487", , , , , , , , , , , , 
"01872OTHER GENERAL SERVICES IV","5419907","5711649","11131556","-1067404","10064152","-178395","9885757", , , , , , , , , , , , 
"01873MED STAFF ADMIN", , , ,"67611499","67611499","-267550","67343949", , , , , , , , , , , , 
"01900NONPHYSICIAN ANESTHETISTS", , , , , , , , , , , , , , , , , , , 
"02000NURSING SCHOOL", , , , , ,"1006987","1006987", , , , , , , , , , , , 
"02100I&R SERVICES-SALARY & FRINGES A","85783786","64377925","150161711","-121581905","28579806","-28579806", , , , , , , , , , , , , 
"02101M & S", , , ,"39558334","39558334", ,"39558334", , , , , , , , , , , , 
