"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(L00A181)", ,"Entity[572875] Report(L00A181[00100])"
"Line(00100)", ,"17948348"
"Line(00200)", ,"1474846"
"Line(00300)", ,"778"
"Line(00400)", ,"529"
"Line(00500)", ,"21"
"Line(00600)", ,"3797870"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"933314"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
