"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(I500000)", ,"Entity[572875] Report(I500000[00100])","Entity[572875] Report(I500000[00200])"
"Line(00100)", ,"3150642"
"Line(00201)", ,"189018","184103"
"Line(00202)", ,"503020","483400"
"Line(00203)", ,"692038","667503"
"Line(00301)", ,"722","703"
"Line(00303)", ,"722","703"
"Line(00401)", ,"138264","134669"
"Line(00403)", ,"138264","134669"
"Line(00700)", ,"50158"
"Line(00800)", , ,"135372"
"Line(00900)", , ,"533440"
"Line(01000)", ,"3150642","2481830"
"Line(01200)", ,"6437543"
"Line(01300)", ,"6102752"
