"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AB0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AB0)","Entity[572875] Report(A600AB0[00000])","Entity[572875] Report(A600AB0[00100])", ,"Entity[572875] Report(A600AB0[00300])", ,"Entity[572875] Report(A600AB0[00500])", ,"Entity[572875] Report(A600AB0[00700])", ,"Entity[572875] Report(A600AB0[00900])"
"Line(00100)","TEFRA TIME OTHER EXPENSE","AB", ,"4", ,"12826", ,"5", ,"55100"
"Line(00200)","TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"4945", ,"14", ,"30212"
"Line(00300)","TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"5584", ,"21", ,"10502591"
"Line(00400)","TEFRA TIME OTHER EXPENSE","AB", ,"5", ,"342964", ,"30", ,"77530"
"Line(00500)","TEFRA TIME OTHER EXPENSE","AB", ,"16", ,"2232", ,"50", ,"274631"
"Line(00600)","TEFRA TIME OTHER EXPENSE","AB", ,"17", ,"1192", ,"53", ,"761456"
"Line(00700)","TEFRA TIME OTHER EXPENSE","AB", ,"18", ,"1655", ,"54", ,"57392"
"Line(00800)","TEFRA TIME OTHER EXPENSE","AB", ,"18", ,"13487158", ,"55", ,"148811"
"Line(00900)","TEFRA TIME OTHER EXPENSE","AB", ,"35", ,"1913", ,"58", ,"61349"
"Line(01000)","TEFRA TIME OTHER EXPENSE","AB", ,"52", ,"106033", ,"60", ,"904141"
"Line(01100)","TEFRA TIME OTHER EXPENSE","AB", ,"59", ,"79320", ,"63", ,"38521"
"Line(01200)","TEFRA TIME OTHER EXPENSE","AB", ,"70", ,"34411", ,"69", ,"74609"
"Line(01300)","TEFRA TIME OTHER EXPENSE","AB", ,"74", ,"8722", ,"77", ,"10034"
"Line(01400)","TEFRA TIME OTHER EXPENSE","AB", ,"76", ,"71634", ,"191", ,"10643"
"Line(01500)","TEFRA TIME OTHER EXPENSE","AB", ,"90", ,"3214317", ,"192", ,"4397506"
"Line(01600)","TEFRA TIME OTHER EXPENSE","AB", ,"91", ,"24908"
"Line(01700)","TEFRA TIME OTHER EXPENSE","AB", ,"94", ,"1435"
"Line(01800)","TEFRA TIME OTHER EXPENSE","AB", ,"190", ,"3277"
