"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000Z0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000Z0)","Entity[572875] Report(A6000Z0[00000])","Entity[572875] Report(A6000Z0[00100])", ,"Entity[572875] Report(A6000Z0[00300])", ,"Entity[572875] Report(A6000Z0[00500])", ,"Entity[572875] Report(A6000Z0[00700])", ,"Entity[572875] Report(A6000Z0[00900])"
"Line(00100)","TEFRA TEACHING OTHER EXPENSE","Z", ,"22", ,"8083976", ,"4", ,"28044"
"Line(00200)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"15379"
"Line(00300)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"17368"
"Line(00400)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"379002"
"Line(00500)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"770690"
"Line(00600)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"16", ,"1297"
"Line(00700)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"17", ,"3873"
"Line(00800)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"18", ,"4575"
"Line(00900)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"18", ,"2465074"
"Line(01000)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"21", ,"365519"
"Line(01100)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"30", ,"213984"
"Line(01200)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"35", ,"5289"
"Line(01300)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"50", ,"68719"
"Line(01400)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"52", ,"92991"
"Line(01500)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"53", ,"9087"
"Line(01600)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"59", ,"14650"
"Line(01700)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"60", ,"53393"
"Line(01800)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"70", ,"22696"
"Line(01900)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"74", ,"29353"
"Line(02000)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"76", ,"101315"
"Line(02100)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"77", ,"1653"
"Line(02200)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"90", ,"3244547"
"Line(02300)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"91", ,"17445"
"Line(02400)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"94", ,"4463"
"Line(02500)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"105", ,"46555"
"Line(02600)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"106", ,"7667"
"Line(02700)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"107", ,"16816"
"Line(02800)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"108", ,"4729"
"Line(02900)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"109", ,"2194"
"Line(03000)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"190", ,"31953"
"Line(03100)","TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"191", ,"43656"
