"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(S300004)","Entity[572875] Report(S300004[00000])","Entity[572875] Report(S300004[00100])"
"Line(00100)", ,"12644847"
"Line(00400)", ,"170499651"
"Line(00800)", ,"129645794"
"Line(01100)", ,"916591"
"Line(01300)", ,"1261829"
"Line(01500)", ,"3849745"
"Line(01700)", ,"62900175"
"Line(01900)", ,"1682401"
"Line(02200)", ,"1976037"
"Line(02300)", ,"897126"
"Line(02400)", ,"386274196"
