"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[572875] Report(A000000)","Entity[572875] Report(A000000[00000])","Entity[572875] Report(A000000[00100])","Entity[572875] Report(A000000[00200])","Entity[572875] Report(A000000[00300])","Entity[572875] Report(A000000[00400])","Entity[572875] Report(A000000[00500])","Entity[572875] Report(A000000[00600])","Entity[572875] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", ,"102037249","102037249","-88110677","13926572","-13926572"
"Line(00101)","00101PHILLIPS BUILDING", , , ,"2428326","2428326", ,"2428326"
"Line(00102)","00102WHITE BUILDING", , , ,"2481382","2481382", ,"2481382"
"Line(00103)","00103BULFINCH BUILDING", , , ,"443084","443084", ,"443084"
"Line(00104)","00104LUNDER BUILDING", , , ,"19425133","19425133", ,"19425133"
"Line(00105)","00105BARTLETT HALL / EXTENSION", , , ,"803737","803737", ,"803737"
"Line(00106)","00106DANVERS ACC", , , ,"3973097","3973097", ,"3973097"
"Line(00107)","00107PAUL S. RUSSELL MUSEUM", , , ,"457254","457254", ,"457254"
"Line(00108)","00108COX BUILDING", , , ,"2961338","2961338", ,"2961338"
"Line(00109)","00109GRAY BUILDING", , , ,"4559369","4559369", ,"4559369"
"Line(00110)","00110SLEEPER BUILDING", , , ,"39406","39406", ,"39406"
"Line(00111)","00111EDWARDS BUILDING", , , ,"1022265","1022265", ,"1022265"
"Line(00112)","00112PROF. OFFICE BLDG", , , ,"406963","406963", ,"406963"
"Line(00113)","00113WARREN BUILDING", , , ,"869162","869162", ,"869162"
"Line(00114)","00114WEST END BUILDING", , , ,"64485","64485", ,"64485"
"Line(00115)","00115TILTON"
"Line(00116)","00116CHELSEA HEALTH", , , ,"1136825","1136825", ,"1136825"
"Line(00117)","00117BUNKER HILL (CHARLESTOWN)", , , ,"325256","325256", ,"325256"
"Line(00118)","00118EVERETT HEALTH", , , ,"144177","144177", ,"144177"
"Line(00119)","00119ACC BUILDING", , , ,"4897434","4897434", ,"4897434"
"Line(00120)","00120JACKSON BUILDING", , , ,"2518498","2518498", ,"2518498"
"Line(00121)","00121REVERE", , , ,"169625","169625", ,"169625"
"Line(00122)","00122WELLMAN BUILDING", , , ,"1725071","1725071", ,"1725071"
"Line(00123)","00123CNY", , , ,"16661164","16661164", ,"16661164"
"Line(00124)","00124ELLISON", , , ,"3840646","3840646", ,"3840646"
"Line(00125)","00125YAWKEY BUILDING", , , ,"9887039","9887039", ,"9887039"
"Line(00126)","00126BLAKE BUILDING", , , ,"5275608","5275608", ,"5275608"
"Line(00127)","00127NPTC", , , ,"809001","809001","-221627","587374"
"Line(00128)","00128CAPITAL OTHER", , , ,"14312683","14312683", ,"14312683"
"Line(00129)","00129CPZ 165 CAMBRIDGE STREET", , , ,"1034347","1034347", ,"1034347"
"Line(00130)","00130LANSDOWNE", , , ,"60547","60547", ,"60547"
"Line(00131)","00131CPZ (SOUTH) 175 CAMBRIDGE", , , ,"343339","343339", ,"343339"
"Line(00132)","00132CPZ (NORTH) SIMCHES", , , ,"3561163","3561163", ,"3561163"
"Line(00133)","00133MGH WEST", , , ,"1650421","1650421", ,"1650421"
"Line(00134)","00134400 TECH SQUARE", , , ,"851008","851008", ,"851008"
"Line(00135)","0013550 STANIFORD ST.", , , ,"583374","583374", ,"583374"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", ,"50832942","50832942","23340086","74173028", ,"74173028"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","2044013","-1530638","513375","-4188201","-3674826","7325047","3650221"
"Line(00501)","00540NONPATIENT TELEPHONE", , , ,"10103016","10103016", ,"10103016"
"Line(00502)","00550DATA PROCESSING","611560","69268261","69879821","-24951","69854870","15138238","84993108"
"Line(00503)","00560PURCH  RCVING  STORING","3625076","1657768","5282844","-221051","5061793","4367150","9428943"
"Line(00504)","00570ADMITTING","13348938","5218792","18567730","-188511","18379219", ,"18379219"
"Line(00505)","00580CASHIERING  A/R","24775866","27349669","52125535","-6471877","45653658","17122237","62775895"
"Line(00506)","00590OTHER ADMIN + GENERAL","35509029","147578433","183087462","-7038124","176049338","-36408506","139640832"
"Line(00600)","00600MAINTENANCE & REPAIRS","17644570","48953766","66598336","-36059064","30539272","-3498711","27040561"
"Line(00601)","00601PARKING","1003322","5787057","6790379","-223091","6567288","-6567288"
"Line(00602)","00602HOME OFFICE MAINT / PLANT OPERA", , , ,"-4055","-4055","4058924","4054869"
"Line(00603)","00603SECURITY","8585643","3774884","12360527","151187","12511714","-853868","11657846"
"Line(00604)","00604DANVERS ACC MAINT / PLANT OPERA","973245","8319410","9292655","-7058598","2234057","-233694","2000363"
"Line(00700)","00700OPERATION OF PLANT","569836","17510313","18080149","-15541092","2539057","-189860","2349197"
"Line(00701)","00701WANG", , , ,"1032524","1032524", ,"1032524"
"Line(00702)","00702LUNDER", , , ,"4478803","4478803", ,"4478803"
"Line(00703)","00703BULFINCH & MUSEUM", , , ,"469002","469002", ,"469002"
"Line(00704)","00704SLPR CARDIO TILTON NPTC", , , ,"970054","970054", ,"970054"
"Line(00705)","00705YAWKEY", , , ,"2653436","2653436", ,"2653436"
