"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[572875] Report(S200001)", ,"Entity[572875] Report(S200001[00100])","Entity[572875] Report(S200001[00200])","Entity[572875] Report(S200001[00300])","Entity[572875] Report(S200001[00400])","Entity[572875] Report(S200001[00500])","Entity[572875] Report(S200001[00600])","Entity[572875] Report(S200001[00700])","Entity[572875] Report(S200001[00800])"
"Line(00100)", ,"FRUIT STREET"
"Line(00200)", ,"BOSTON","MA","02114","SUFFOLK"
"Line(00300)", ,"MASSACHUSETTS GENERAL HOSPITAL","220071","14484","1","07/01/1966","N","P","O"
"Line(00400)", ,"SUBPROVIDER I","22S071","14484","4","10/01/1985","N","P","O"
"Line(01800)", ,"RENAL DIALYSIS CENTER","222306","14484", ,"11/21/2003"
"Line(02000)", ,"10/01/2012","09/30/2013"
"Line(02100)", ,"2"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","N"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"27676","11217","2707","924","13490"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"Y"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"Y"
"Line(06400)", ,"4","396","0"
"Line(06500)", ,"INTERNAL MEDICINE","1400","4","184","0"
"Line(06600)", ,"4","397","0"
"Line(06700)", ,"INTERNAL MEDICINE","1400","4","192","0"
"Line(07000)", ,"Y"
"Line(07100)", ,"Y","N"
"Line(07500)", ,"N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(08700)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","N"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", , ,"N","N","N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"N"
"Line(11800)", ,"1"
"Line(11801)", ,"12022026"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"06/23/2009"
"Line(12700)", ,"06/23/2009"
"Line(12800)", ,"06/23/2009"
"Line(12900)", ,"06/23/2009"
"Line(13000)", ,"06/23/2009"
"Line(13200)", ,"06/23/2009"
"Line(14000)", ,"Y","229974"
"Line(14100)", ,"PARTNERS HEALTHCARE SYSTEMS INC.","NATIONAL GOVERNMENT SERVICES","14011"
"Line(14200)", ,"529 MAIN STREET  SUITE 510"
"Line(14300)", ,"CHARLESTOWN","MA","02129"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
