"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report I1D000* ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572875] Report(I1D000*)", , ,"Entity[572875] Report(I1D000*[00200])"
"Line(00100)", , ,"HOURS OF SERVICE"
"Line(00200)", , ,"HOURS OF SERVICE"
"Line(00300)", , ,"HOURS OF SERVICE"
"Line(00400)", , ,"HOURS OF SERVICE"
"Line(00500)", , ,"HOURS OF SERVICE"
"Line(00600)", , ,"HOURS OF SERVICE"
"Line(00700)", , ,"ACCUMULATED COST"
"Line(00800)", , ,"ACCUMULATED COST"
"Line(01000)", , ,"SALARY"
"Line(01100)", , ,"SQUARE FEET"
"Line(01200)", , ,"PERCENTAGE OF TIME"
"Line(01300)", , ,"PERCENTAGE OF TIME"
"Line(01400)", , ,"REQUISITIONS"
"Line(01500)", , ,"REQUISITIONS"
"Line(01600)", , ,"ACCUMULATED COST"
"Line(01800)", , ,"SQUARE FEET"
"Line(01900)", , ,"PERCENTAGE OF TIME"
"Line(02000)", , ,"SALARY"
"Line(02100)", , ,"ACCUMULATED COST"
"Line(02200)", , ,"SQUARE FEET"
"Line(02400)", , ,"REQUISITIONS"
"Line(02500)", , ,"REQUISITIONS"
"Line(02600)", , ,"ACCUMULATED COST"
"Line(02800)", , ,"CHARGES"
"Line(02900)", , ,"CHARGES"
"Line(03000)", , ,"CHARGES"
"Line(03097)", , ,"CHARGES"
"Line(03098)", , ,"CHARGES"
