"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D00A185 ","-------------","-------------","-----------",""
"applicable","","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","",""
"boxes:","","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","",""
"PART V - APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES COSTS","","","","","","","","",""
"","","","","Program Charges","","","Program Cost","",""
"","","","Cost to","","Cost Reimbursed","Cost Reimbursed","","Cost","Cost"
"","","","Charge","","Services","Services Not","PPS","Services","Services Not"
"","","","Ratio from","PPS Reimbursed","Subject to","Subject to"," Services","Subject to","Subject to"
"","","","\"Worksheet C","\"","Services","Ded. & Coins.","Ded. & Coins.","(see","Ded. & Coins.","Ded. & Coins."
"","","","\"Part I"," col. 9\"","(see instructions)","(see instructions)","(see instructions)","instructions)","(see instructions)","(see instructions)"
"(A)"," Cost Center Description","","1","2","3","4","5","6","7"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","",""
"Entity[572875] Report(D00A185)", ,"Entity[572875] Report(D00A185[00100])","Entity[572875] Report(D00A185[00200])","Entity[572875] Report(D00A185[00300])","Entity[572875] Report(D00A185[00400])","Entity[572875] Report(D00A185[00500])","Entity[572875] Report(D00A185[00600])","Entity[572875] Report(D00A185[00700])"
"Line(05000)", ,"0","73100082", , ,"16800080"
"Line(05100)", ,"1","1015649", , ,"652547"
"Line(05200)", ,"0","358318", , ,"133002"
"Line(05300)", ,"0","11388496", , ,"2104344"
"Line(05400)", ,"0","88200119", , ,"16554810"
"Line(05500)", ,"0","88741797", , ,"15449592"
"Line(05501)", ,"0","38857089", , ,"6936962"
"Line(05700)", ,"0","57086268", , ,"6575996"
"Line(05800)", ,"0","36734005", , ,"4529707"
"Line(05900)", ,"0","20924436", , ,"2647548"
"Line(06000)", ,"0","23149900","709420", ,"3093799","94808"
"Line(06001)", ,"0","346581","19803", ,"154441","8824"
"Line(06300)", ,"0","9706955", , ,"2784683"
"Line(06400)", ,"0","183766", , ,"3037"
"Line(06500)", ,"0","132208", , ,"34012"
"Line(06600)", ,"0","202733", , ,"85689"
"Line(06900)", ,"0","3863392", , ,"231012"
"Line(06901)", ,"0","14809809", , ,"3659652"
"Line(07000)", ,"0","5713927", , ,"2264732"
"Line(07100)", ,"0","8458509","4092", ,"2462154","1191"
"Line(07200)", ,"0","14839501", , ,"4865457"
"Line(07300)", ,"0","151455267","17610","341400","56395429","6557","127123"
"Line(07400)", ,"1","450460", , ,"246665"
"Line(07600)", ,"0","16151187", , ,"4139678"
"Line(07697)", ,"1","764920", , ,"571741"
"Line(09000)", ,"1","82131620", , ,"57339698"
"Line(09100)", ,"0","25991067", , ,"7637813"
"Line(09200)", ,"0","26499889", , ,"5860450"
"Line(09201)", ,"0","1300", , ,"167"
"Line(09400)", ,"0"
"Line(20000)", , ,"801259250","750925","341400","224214897","111380","127123"
