"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A600AV0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A600AV0)","Entity[572875] Report(A600AV0[00000])","Entity[572875] Report(A600AV0[00100])", ,"Entity[572875] Report(A600AV0[00300])", ,"Entity[572875] Report(A600AV0[00500])", ,"Entity[572875] Report(A600AV0[00700])", ,"Entity[572875] Report(A600AV0[00900])"
"Line(00100)","NONALLOWABLE EXPENSE","AV", ,"190", ,"2112736", ,"4", ,"378750"
"Line(00200)","NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"1496"
"Line(00300)","NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"6488"
"Line(00400)","NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"24790"
"Line(00500)","NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"167020"
"Line(00600)","NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"227"
"Line(00700)","NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"229"
"Line(00800)","NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"1884"
"Line(00900)","NONALLOWABLE EXPENSE","AV", , , , , ,"7", ,"409"
"Line(01000)","NONALLOWABLE EXPENSE","AV", , , , , ,"8", ,"74"
"Line(01100)","NONALLOWABLE EXPENSE","AV", , , , , ,"9", ,"17855"
"Line(01200)","NONALLOWABLE EXPENSE","AV", , , , , ,"10", ,"14872"
"Line(01300)","NONALLOWABLE EXPENSE","AV", , , , , ,"13", ,"33355"
"Line(01400)","NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"393"
"Line(01500)","NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"1121"
"Line(01600)","NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"784"
"Line(01700)","NONALLOWABLE EXPENSE","AV", , , , , ,"15", ,"2006"
"Line(01800)","NONALLOWABLE EXPENSE","AV", , , , , ,"16", ,"3750"
"Line(01900)","NONALLOWABLE EXPENSE","AV", , , , , ,"17", ,"344"
"Line(02000)","NONALLOWABLE EXPENSE","AV", , , , , ,"18", ,"231"
"Line(02100)","NONALLOWABLE EXPENSE","AV", , , , , ,"21", ,"95125"
"Line(02200)","NONALLOWABLE EXPENSE","AV", , , , , ,"30", ,"11832"
"Line(02300)","NONALLOWABLE EXPENSE","AV", , , , , ,"31", ,"9193"
"Line(02400)","NONALLOWABLE EXPENSE","AV", , , , , ,"32", ,"1343"
"Line(02500)","NONALLOWABLE EXPENSE","AV", , , , , ,"33", ,"44"
"Line(02600)","NONALLOWABLE EXPENSE","AV", , , , , ,"34", ,"1797"
"Line(02700)","NONALLOWABLE EXPENSE","AV", , , , , ,"35", ,"5295"
"Line(02800)","NONALLOWABLE EXPENSE","AV", , , , , ,"35", ,"1688"
"Line(02900)","NONALLOWABLE EXPENSE","AV", , , , , ,"40", ,"1254"
"Line(03000)","NONALLOWABLE EXPENSE","AV", , , , , ,"43", ,"165"
"Line(03100)","NONALLOWABLE EXPENSE","AV", , , , , ,"50", ,"23437"
"Line(03200)","NONALLOWABLE EXPENSE","AV", , , , , ,"51", ,"42872"
"Line(03300)","NONALLOWABLE EXPENSE","AV", , , , , ,"52", ,"1679"
"Line(03400)","NONALLOWABLE EXPENSE","AV", , , , , ,"53", ,"3219"
"Line(03500)","NONALLOWABLE EXPENSE","AV", , , , , ,"54", ,"44360"
"Line(03600)","NONALLOWABLE EXPENSE","AV", , , , , ,"55", ,"10873"
"Line(03700)","NONALLOWABLE EXPENSE","AV", , , , , ,"55", ,"387"
"Line(03800)","NONALLOWABLE EXPENSE","AV", , , , , ,"57", ,"1201"
"Line(03900)","NONALLOWABLE EXPENSE","AV", , , , , ,"58", ,"49198"
"Line(04000)","NONALLOWABLE EXPENSE","AV", , , , , ,"59", ,"12522"
"Line(04100)","NONALLOWABLE EXPENSE","AV", , , , , ,"60", ,"12310"
"Line(04200)","NONALLOWABLE EXPENSE","AV", , , , , ,"63", ,"63635"
"Line(04300)","NONALLOWABLE EXPENSE","AV", , , , , ,"65", ,"374"
"Line(04400)","NONALLOWABLE EXPENSE","AV", , , , , ,"66", ,"9847"
"Line(04500)","NONALLOWABLE EXPENSE","AV", , , , , ,"69", ,"236"
"Line(04600)","NONALLOWABLE EXPENSE","AV", , , , , ,"69", ,"6575"
"Line(04700)","NONALLOWABLE EXPENSE","AV", , , , , ,"70", ,"3986"
"Line(04800)","NONALLOWABLE EXPENSE","AV", , , , , ,"71", ,"725"
"Line(04900)","NONALLOWABLE EXPENSE","AV", , , , , ,"74", ,"994"
"Line(05000)","NONALLOWABLE EXPENSE","AV", , , , , ,"76", ,"1970"
"Line(05100)","NONALLOWABLE EXPENSE","AV", , , , , ,"77", ,"171"
"Line(05200)","NONALLOWABLE EXPENSE","AV", , , , , ,"90", ,"45803"
"Line(05300)","NONALLOWABLE EXPENSE","AV", , , , , ,"91", ,"3990"
"Line(05400)","NONALLOWABLE EXPENSE","AV", , , , , ,"92", ,"972"
"Line(05500)","NONALLOWABLE EXPENSE","AV", , , , , ,"94", ,"389"
"Line(05600)","NONALLOWABLE EXPENSE","AV", , , , , ,"105", ,"231"
"Line(05700)","NONALLOWABLE EXPENSE","AV", , , , , ,"112", ,"1264"
"Line(05800)","NONALLOWABLE EXPENSE","AV", , , , , ,"191", ,"7962"
"Line(05900)","NONALLOWABLE EXPENSE","AV", , , , , ,"191", ,"790009"
"Line(06000)","NONALLOWABLE EXPENSE","AV", , , , , ,"191", ,"187659"
"Line(06100)","NONALLOWABLE EXPENSE","AV", , , , , ,"191", ,"72"
