"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572875] Report(A6000M0)","Entity[572875] Report(A6000M0[00000])","Entity[572875] Report(A6000M0[00100])", ,"Entity[572875] Report(A6000M0[00300])", ,"Entity[572875] Report(A6000M0[00500])", ,"Entity[572875] Report(A6000M0[00700])", ,"Entity[572875] Report(A6000M0[00900])"
"Line(00100)","MEDICAL SUPPLIES","M", ,"5", ,"905", ,"5", ,"137"
"Line(00200)","MEDICAL SUPPLIES","M", ,"6", ,"15", ,"5", ,"150"
"Line(00300)","MEDICAL SUPPLIES","M", ,"71", ,"22237414", ,"13", ,"1113"
"Line(00400)","MEDICAL SUPPLIES","M", , , , , ,"14", ,"18501"
"Line(00500)","MEDICAL SUPPLIES","M", , , , , ,"15", ,"749"
"Line(00600)","MEDICAL SUPPLIES","M", , , , , ,"18", ,"817081"
"Line(00700)","MEDICAL SUPPLIES","M", , , , , ,"18", ,"126"
"Line(00800)","MEDICAL SUPPLIES","M", , , , , ,"21", ,"3860"
"Line(00900)","MEDICAL SUPPLIES","M", , , , , ,"30", ,"366023"
"Line(01000)","MEDICAL SUPPLIES","M", , , , , ,"31", ,"68494"
"Line(01100)","MEDICAL SUPPLIES","M", , , , , ,"32", ,"43144"
"Line(01200)","MEDICAL SUPPLIES","M", , , , , ,"33", ,"19223"
"Line(01300)","MEDICAL SUPPLIES","M", , , , , ,"34", ,"66783"
"Line(01400)","MEDICAL SUPPLIES","M", , , , , ,"35", ,"386069"
"Line(01500)","MEDICAL SUPPLIES","M", , , , , ,"35", ,"61383"
"Line(01600)","MEDICAL SUPPLIES","M", , , , , ,"40", ,"963"
"Line(01700)","MEDICAL SUPPLIES","M", , , , , ,"43", ,"669"
"Line(01800)","MEDICAL SUPPLIES","M", , , , , ,"50", ,"9490359"
"Line(01900)","MEDICAL SUPPLIES","M", , , , , ,"51", ,"69364"
"Line(02000)","MEDICAL SUPPLIES","M", , , , , ,"52", ,"44235"
"Line(02100)","MEDICAL SUPPLIES","M", , , , , ,"53", ,"700802"
"Line(02200)","MEDICAL SUPPLIES","M", , , , , ,"54", ,"2259417"
"Line(02300)","MEDICAL SUPPLIES","M", , , , , ,"55", ,"175424"
"Line(02400)","MEDICAL SUPPLIES","M", , , , , ,"55", ,"40747"
"Line(02500)","MEDICAL SUPPLIES","M", , , , , ,"57", ,"18021"
"Line(02600)","MEDICAL SUPPLIES","M", , , , , ,"58", ,"60924"
"Line(02700)","MEDICAL SUPPLIES","M", , , , , ,"59", ,"3189635"
"Line(02800)","MEDICAL SUPPLIES","M", , , , , ,"60", ,"817"
"Line(02900)","MEDICAL SUPPLIES","M", , , , , ,"63", ,"12691"
"Line(03000)","MEDICAL SUPPLIES","M", , , , , ,"65", ,"1853"
"Line(03100)","MEDICAL SUPPLIES","M", , , , , ,"66", ,"200"
"Line(03200)","MEDICAL SUPPLIES","M", , , , , ,"69", ,"3869391"
"Line(03300)","MEDICAL SUPPLIES","M", , , , , ,"70", ,"7865"
"Line(03400)","MEDICAL SUPPLIES","M", , , , , ,"74", ,"13087"
"Line(03500)","MEDICAL SUPPLIES","M", , , , , ,"76", ,"21780"
"Line(03600)","MEDICAL SUPPLIES","M", , , , , ,"90", ,"154544"
"Line(03700)","MEDICAL SUPPLIES","M", , , , , ,"91", ,"245428"
"Line(03800)","MEDICAL SUPPLIES","M", , , , , ,"92", ,"3630"
"Line(03900)","MEDICAL SUPPLIES","M", , , , , ,"94", ,"65"
"Line(04000)","MEDICAL SUPPLIES","M", , , , , ,"191", ,"3587"
