"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000N0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000N0)","Entity[558727] Report(A6000N0[00000])","Entity[558727] Report(A6000N0[00100])", ,"Entity[558727] Report(A6000N0[00300])", ,"Entity[558727] Report(A6000N0[00500])", ,"Entity[558727] Report(A6000N0[00700])", ,"Entity[558727] Report(A6000N0[00900])"
"Line(00100)","PTO ALLOCATION","N", ,"4", ,"7935292", ,"5", ,"253229"
"Line(00200)","PTO ALLOCATION","N", ,"101", ,"90324", ,"7", ,"35310"
"Line(00300)","PTO ALLOCATION","N", , , , , ,"10", ,"121588"
"Line(00400)","PTO ALLOCATION","N", , , , , ,"13", ,"232095"
"Line(00500)","PTO ALLOCATION","N", , , , , ,"14", ,"40350"
"Line(00600)","PTO ALLOCATION","N", , , , , ,"15", ,"411231"
"Line(00700)","PTO ALLOCATION","N", , , , , ,"16", ,"5626"
"Line(00800)","PTO ALLOCATION","N", , , , , ,"17", ,"66417"
"Line(00900)","PTO ALLOCATION","N", , , , , ,"18", ,"30984"
"Line(01000)","PTO ALLOCATION","N", , , , , ,"22", ,"8038"
"Line(01100)","PTO ALLOCATION","N", , , , , ,"23", ,"1496"
"Line(01200)","PTO ALLOCATION","N", , , , , ,"23", ,"4418"
"Line(01300)","PTO ALLOCATION","N", , , , , ,"23", ,"5614"
"Line(01400)","PTO ALLOCATION","N", , , , , ,"23", ,"2910"
"Line(01500)","PTO ALLOCATION","N", , , , , ,"23", ,"8270"
"Line(01600)","PTO ALLOCATION","N", , , , , ,"23", ,"3357"
"Line(01700)","PTO ALLOCATION","N", , , , , ,"23", ,"6767"
"Line(01800)","PTO ALLOCATION","N", , , , , ,"23", ,"2006"
"Line(01900)","PTO ALLOCATION","N", , , , , ,"23", ,"2935"
"Line(02000)","PTO ALLOCATION","N", , , , , ,"30", ,"2088222"
"Line(02100)","PTO ALLOCATION","N", , , , , ,"31", ,"229543"
"Line(02200)","PTO ALLOCATION","N", , , , , ,"32", ,"172735"
"Line(02300)","PTO ALLOCATION","N", , , , , ,"32", ,"68531"
"Line(02400)","PTO ALLOCATION","N", , , , , ,"33", ,"20854"
"Line(02500)","PTO ALLOCATION","N", , , , , ,"34", ,"65259"
"Line(02600)","PTO ALLOCATION","N", , , , , ,"34", ,"130893"
"Line(02700)","PTO ALLOCATION","N", , , , , ,"34", ,"28596"
"Line(02800)","PTO ALLOCATION","N", , , , , ,"34", ,"21492"
"Line(02900)","PTO ALLOCATION","N", , , , , ,"40", ,"52945"
"Line(03000)","PTO ALLOCATION","N", , , , , ,"43", ,"34901"
"Line(03100)","PTO ALLOCATION","N", , , , , ,"50", ,"459528"
"Line(03200)","PTO ALLOCATION","N", , , , , ,"50", ,"18838"
"Line(03300)","PTO ALLOCATION","N", , , , , ,"51", ,"82893"
"Line(03400)","PTO ALLOCATION","N", , , , , ,"53", ,"21450"
"Line(03500)","PTO ALLOCATION","N", , , , , ,"53", ,"37277"
"Line(03600)","PTO ALLOCATION","N", , , , , ,"54", ,"354419"
"Line(03700)","PTO ALLOCATION","N", , , , , ,"55", ,"55334"
"Line(03800)","PTO ALLOCATION","N", , , , , ,"56", ,"12560"
"Line(03900)","PTO ALLOCATION","N", , , , , ,"60", ,"441720"
"Line(04000)","PTO ALLOCATION","N", , , , , ,"60", ,"14112"
"Line(04100)","PTO ALLOCATION","N", , , , , ,"60", ,"15009"
"Line(04200)","PTO ALLOCATION","N", , , , , ,"63", ,"47528"
"Line(04300)","PTO ALLOCATION","N", , , , , ,"65", ,"296423"
"Line(04400)","PTO ALLOCATION","N", , , , , ,"66", ,"147444"
"Line(04500)","PTO ALLOCATION","N", , , , , ,"67", ,"33181"
"Line(04600)","PTO ALLOCATION","N", , , , , ,"68", ,"50422"
"Line(04700)","PTO ALLOCATION","N", , , , , ,"69", ,"40360"
"Line(04800)","PTO ALLOCATION","N", , , , , ,"70", ,"74806"
"Line(04900)","PTO ALLOCATION","N", , , , , ,"71", ,"3560"
"Line(05000)","PTO ALLOCATION","N", , , , , ,"73", ,"117157"
"Line(05100)","PTO ALLOCATION","N", , , , , ,"74", ,"102705"
"Line(05200)","PTO ALLOCATION","N", , , , , ,"76", ,"7821"
"Line(05300)","PTO ALLOCATION","N", , , , , ,"76", ,"34019"
"Line(05400)","PTO ALLOCATION","N", , , , , ,"76", ,"2214"
"Line(05500)","PTO ALLOCATION","N", , , , , ,"76", ,"70359"
"Line(05600)","PTO ALLOCATION","N", , , , , ,"76", ,"59306"
"Line(05700)","PTO ALLOCATION","N", , , , , ,"77", ,"3311"
"Line(05800)","PTO ALLOCATION","N", , , , , ,"90", ,"34227"
"Line(05900)","PTO ALLOCATION","N", , , , , ,"90", ,"228713"
"Line(06000)","PTO ALLOCATION","N", , , , , ,"90", ,"3037"
"Line(06100)","PTO ALLOCATION","N", , , , , ,"90", ,"5878"
"Line(06200)","PTO ALLOCATION","N", , , , , ,"90", ,"29965"
"Line(06300)","PTO ALLOCATION","N", , , , , ,"90", ,"58762"
"Line(06400)","PTO ALLOCATION","N", , , , , ,"90", ,"1761"
"Line(06500)","PTO ALLOCATION","N", , , , , ,"90", ,"15"
"Line(06600)","PTO ALLOCATION","N", , , , , ,"90", ,"3456"
"Line(06700)","PTO ALLOCATION","N", , , , , ,"90", ,"1004"
"Line(06800)","PTO ALLOCATION","N", , , , , ,"90", ,"12435"
"Line(06900)","PTO ALLOCATION","N", , , , , ,"90", ,"8779"
"Line(07000)","PTO ALLOCATION","N", , , , , ,"90", ,"7691"
"Line(07100)","PTO ALLOCATION","N", , , , , ,"90", ,"6316"
"Line(07200)","PTO ALLOCATION","N", , , , , ,"90", ,"2843"
"Line(07300)","PTO ALLOCATION","N", , , , , ,"90", ,"11652"
"Line(07400)","PTO ALLOCATION","N", , , , , ,"91", ,"279657"
"Line(07500)","PTO ALLOCATION","N", , , , , ,"94", ,"13363"
"Line(07600)","PTO ALLOCATION","N", , , , , ,"95", ,"100716"
"Line(07700)","PTO ALLOCATION","N", , , , , ,"105", ,"80461"
"Line(07800)","PTO ALLOCATION","N", , , , , ,"106", ,"7596"
"Line(07900)","PTO ALLOCATION","N", , , , , ,"107", ,"15135"
"Line(08000)","PTO ALLOCATION","N", , , , , ,"108", ,"9563"
"Line(08100)","PTO ALLOCATION","N", , , , , ,"109", ,"4805"
"Line(08200)","PTO ALLOCATION","N", , , , , ,"110", ,"4066"
"Line(08300)","PTO ALLOCATION","N", , , , , ,"112", ,"3118"
"Line(08400)","PTO ALLOCATION","N", , , , , ,"191", ,"40198"
"Line(08500)","PTO ALLOCATION","N", , , , , ,"191", ,"23343"
"Line(08600)","PTO ALLOCATION","N", , , , , ,"192", ,"2406"
"Line(08700)","PTO ALLOCATION","N", , , , , ,"192", ,"101553"
"Line(08800)","PTO ALLOCATION","N", , , , , ,"192", ,"64208"
"Line(08900)","PTO ALLOCATION","N", , , , , ,"192", ,"1509"
"Line(09000)","PTO ALLOCATION","N", , , , , ,"192", ,"1092"
"Line(09100)","PTO ALLOCATION","N", , , , , ,"192", ,"2140"
"Line(09200)","PTO ALLOCATION","N", , , , , ,"192", ,"67635"
"Line(09300)","PTO ALLOCATION","N", , , , , ,"192", ,"435"
"Line(09400)","PTO ALLOCATION","N", , , , , ,"192", ,"9067"
"Line(09500)","PTO ALLOCATION","N", , , , , ,"90", ,"16648"
