"----------"," Entity 558727"," Report D00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(D00A181[00100])", ,"Entity[558727] Report(D00A181[00300])","Entity[558727] Report(D00A181[00400])","Entity[558727] Report(D00A181[00500])","Entity[558727] Report(D00A181[00600])","Entity[558727] Report(D00A181[00700])", , , , , , , , , , , , 
 ,"14084083", ,"14084083","273752","51","76232","3922136", , , , , , , , , , , , 
 ,"896397", ,"896397","20129","45","6754","300756", , , , , , , , , , , , 
 ,"616129", ,"616129","14220","43","5772","250101", , , , , , , , , , , , 
 ,"271025", ,"271025","8176","33", , , , , , , , , , , , , , 
 ,"191118", ,"191118","2137","89", , , , , , , , , , , , , , 
 ,"190570", ,"190570","4852","39","2119","83234", , , , , , , , , , , , 
 ,"545783", ,"545783","8591","64","14","889", , , , , , , , , , , , 
 ,"157172", ,"157172","2526","62","816","50772", , , , , , , , , , , , 
 ,"1023152", ,"1023152","1757","582","43","25040", , , , , , , , , , , , 
 ,"256072", ,"256072","6528","39","1532","60100", , , , , , , , , , , , 
 ,"241143", ,"241143","11157","22", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report D00A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(D00A182[00100])","Entity[558727] Report(D00A182[00200])","Entity[558727] Report(D00A182[00300])","Entity[558727] Report(D00A182[00400])","Entity[558727] Report(D00A182[00500])", , , , , , , , , , , , , , 
 ,"14992357","677399161","0","127200679","2815205", , , , , , , , , , , , , , 
 ,"428108","25053228","0","6890523","117745", , , , , , , , , , , , , , 
 ,"728391","73921111","0","10104062","99565", , , , , , , , , , , , , , 
 ,"1019635","58007181","0","653376","11485", , , , , , , , , , , , , , 
 ,"859727","43834227","0","8234117","161496", , , , , , , , , , , , , , 
 ,"453781","30438390","0","477137","7113", , , , , , , , , , , , , , 
 ,"15013473","575806314","0","66247683","1727342", , , , , , , , , , , , , , 
 ,"1896904","93025278","0","1197533","24419", , , , , , , , , , , , , , 
 ,"487248","30150311","0","3268973","52830", , , , , , , , , , , , , , 
 ,"154224","40810251","0","6967886","26332", , , , , , , , , , , , , , 
 ,"3709096","658604578","0","112767911","635109", , , , , , , , , , , , , , 
 ,"78533","10991951","0","525450","3754", , , , , , , , , , , , , , 
 ,"345283","15806405","0","1351842","29530", , , , , , , , , , , , , , 
 ,"287342","74599932","0","16728594","64439", , , , , , , , , , , , , , 
 ,"1421227","128729092","0","32147550","354909", , , , , , , , , , , , , , 
 ,"713712","79138764","0","17078690","154016", , , , , , , , , , , , , , 
 ,"150663","14850511","0","2716127","27555", , , , , , , , , , , , , , 
 ,"554889","15957682","0","1609833","55979", , , , , , , , , , , , , , 
 ,"425439","60550329","0","19753119","138785", , , , , , , , , , , , , , 
 ,"838323","37451982","0","7134739","159704", , , , , , , , , , , , , , 
 ,"127931","127620689","0","26549173","26602", , , , , , , , , , , , , , 
 ,"175326","388231072","0","86203810","38964", , , , , , , , , , , , , , 
 ,"3482371","867065540","0","134193924","538923", , , , , , , , , , , , , , 
 ,"353143","60922783","0", , , , , , , , , , , , , , , , 
 ,"695874","38881481","0","7958878","142440", , , , , , , , , , , , , , 
 ,"38777","1707623","0", , , , , , , , , , , , , , , , 
 ,"1487803","82907433","0","5839231","104785", , , , , , , , , , , , , , 
 ,"35507","2168560","0","13314","218", , , , , , , , , , , , , , 
 ,"917001","110317803","0","15467131","128563", , , , , , , , , , , , , , 
 ,"331689","7419725","0","292959","13096", , , , , , , , , , , , , , 
 ,"102","140942","0", , , , , , , , , , , , , , , , 
 ,"15553","1093026","0","56275","801", , , , , , , , , , , , , , 
 ,"13917","3465643","0", , , , , , , , , , , , , , , , 
 ,"299290","9653063","0","8350","259", , , , , , , , , , , , , , 
 ,"5701740","77279340","0","316711","23367", , , , , , , , , , , , , , 
 ,"304983","3168131","0","5530","532", , , , , , , , , , , , , , 
 ,"335506","2779231","0", , , , , , , , , , , , , , , , 
 ,"2", , , , , , , , , , , , , , , , , , 
 ,"324245","19204896","0","3446043","58180", , , , , , , , , , , , , , 
 ,"691358","9950487","0","3384","235", , , , , , , , , , , , , , 
 ,"37622","871228","0", , , , , , , , , , , , , , , , 
 ,"49001","89779","1","106","58", , , , , , , , , , , , , , 
 ,"226482","15539173","0", , , , , , , , , , , , , , , , 
 ,"102628","325835","0","924","291", , , , , , , , , , , , , , 
 ,"5154","4329127","0", , , , , , , , , , , , , , , , 
 ,"148087","1218341","0","2404","292", , , , , , , , , , , , , , 
 ,"144021","2356762","0","2140","131", , , , , , , , , , , , , , 
 ,"11724","4853912","0","5190","13", , , , , , , , , , , , , , 
 ,"4728","456671","0","6942","72", , , , , , , , , , , , , , 
 ,"23397","179869","0", , , , , , , , , , , , , , , , 
 ,"33696","2118736","0", , , , , , , , , , , , , , , , 
 ,"108416","682288","0","3022","480", , , , , , , , , , , , , , 
 ,"53633","100","536", , , , , , , , , , , , , , , , 
 ,"1662933","338578034","0","29913651","146936", , , , , , , , , , , , , , 
 ,"972639","37132228","0","678105","17762", , , , , , , , , , , , , , 
 ,"215150","13077463","0","530","9", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report D00A183 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","","", , , , , , , 
"","   [ ]  Title XIX","","","","","","","","","","", , , , , , , , 
"","","","","All","Swing-Bed","","","","","Inpatient","", , , , , , , , 
"","",""," ","Other ","Adjustment","Total Costs","","Per","","Program","", , , , , , , , 
"","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through","", , , , , , , , 
"","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost","", , , , , , , 
"","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)","", , , , , , , , 
"Cost Center Description","","1","2","3","4","5","6","7","8","9","", , , , , , , , 
" INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","","", , , , , , , , 
" Adults & Pediatrics","","","","","","","","","","","", , , , , , , , 
" (General Routine Care)","","","","","","","","","","","30", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Intensive Care Unit","","","","","","","","","","","31", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Coronary Care Unit","","","","","","","","","","","32", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Burn Intensive Care Unit","","","","","","","","","","","33", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Surgical Intensive Care Unit","","","","","","","","","","","34", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Other Special Care Unit (specify)","","","","","","","","","","","35", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider IPF","","","","","","","","","","","40", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider IRF","","","","","","","","","","","41", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Subprovider  (Other)","","","","","","","","","","","42", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Nursery","","","","","","","","","","","43", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Skilled Nursing Facility","","","","","","","","","","","44", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Nursing Facility","","","","","","","","","","","45", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
" Total (sum of lines 30-199)","","","","","","","","","","","200", , , , , , , , 
"","","","","","","","","","","","", , , , , , , , 
"(A) Worksheet A line numbers","","","","","","","","","","","", , , , , , , , 
 , ,"Entity[558727] Report(D00A183[00200])", , ,"Entity[558727] Report(D00A183[00500])","Entity[558727] Report(D00A183[00600])","Entity[558727] Report(D00A183[00700])","Entity[558727] Report(D00A183[00800])","Entity[558727] Report(D00A183[00900])", , , , , , , , , , 
 , ,"673812", , ,"673812","273752","2","76232","187531", , , , , , , , , , 
 , ,"53703", , ,"53703","20129","3","6754","18033", , , , , , , , , , 
 , ,"37938", , ,"37938","14220","3","5772","15411", , , , , , , , , , 
 , ,"21813", , ,"21813","8176","3", , , , , , , , , , , , 
 , ,"5701", , ,"5701","2137","3", , , , , , , , , , , , 
 , ,"12945", , ,"12945","4852","3","2119","5658", , , , , , , , , , 
 , ,"22920", , ,"22920","8591","3","14","37", , , , , , , , , , 
 , ,"6739", , ,"6739","2526","3","816","2179", , , , , , , , , , 
 , ,"4688", , ,"4688","1757","3","43","115", , , , , , , , , , 
 , ,"17416", , ,"17416","6528","3","1532","4090", , , , , , , , , , 
 , ,"29766", , ,"29766","11157","3", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report D00A184 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA", , , , , , , , , 
"boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","","", , , , , , , , , , 
"","","","","","","","","","", , , , , , , , , , 
"","","","","","","","All","","Total", , , , , , , , , , 
"","","","","Non","","","Other ","","Outpatient", , , , , , , , , , 
"","","","","Physician","","","Medical","Total cost","Cost", , , , , , , , , , 
"","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\"", , , , , , , , , 
"","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)", , , , , , , , , , 
"Cost Center Description","","","","1","2","3","4","5","6", , , , , , , , , , 
"ANCILLARY SERVICE COST CENTERS","","","","","","","","","", , , , , , , , , , 
 , , ,"Entity[558727] Report(D00A184[00300])", ,"Entity[558727] Report(D00A184[00500])","Entity[558727] Report(D00A184[00600])","Entity[558727] Report(D00A184[00700])","Entity[558727] Report(D00A184[00800])","Entity[558727] Report(D00A184[00900])","Entity[558727] Report(D00A184[01000])","Entity[558727] Report(D00A184[01100])","Entity[558727] Report(D00A184[01200])","Entity[558727] Report(D00A184[01300])", , , , , , 
 , , ,"421724", ,"421724","421724","677399161","0","0","127200679","79246","41080809","25593", , , , , , 
 , , , , , , ,"25053228", , ,"6890523", ,"2695492", , , , , , , 
 , , ,"784", ,"784","784","73921111","0","0","10104062","111","7176626","79", , , , , , 
 , , ,"10461", ,"10461","10461","58007181","0","0","653376","118","128859","23", , , , , , 
 , , , , , , ,"43834227", , ,"8234117", ,"2059870", , , , , , , 
 , , , , , , ,"30438390", , ,"477137", ,"2863332", , , , , , , 
 , , ,"1409059", ,"1409059","1409059","575806314","0","0","66247683","162108","79718478","195071", , , , , , 
 , , , , , , ,"93025278", , ,"1197533", ,"26285280", , , , , , , 
 , , , , , , ,"30150311", , ,"3268973", ,"4311423", , , , , , , 
 , , , , , , ,"40810251", , ,"6967886", ,"8502308", , , , , , , 
 , , ,"731005", ,"731005","731005","658604578","0","0","112767911","125172","13063777","14501", , , , , , 
 , , , , , , ,"10991951", , ,"525450", ,"95646", , , , , , , 
 , , , , , , ,"15806405", , ,"1351842", ,"2292231", , , , , , , 
 , , , , , , ,"74599932", , ,"16728594", ,"1599088", , , , , , , 
 , , ,"371919", ,"371919","371919","128729092","0","0","32147550","92874","585282","1691", , , , , , 
 , , , , , , ,"79138764", , ,"17078690", ,"176344", , , , , , , 
 , , , , , , ,"14850511", , ,"2716127", , , , , , , , , 
 , , , , , , ,"15957682", , ,"1609833", ,"893467", , , , , , , 
 , , , , , , ,"60550329", , ,"19753119", ,"6090657", , , , , , , 
 , , , , , , ,"37451982", , ,"7134739", ,"1668358", , , , , , , 
 , , , , , , ,"127620689", , ,"26549173", ,"16706126", , , , , , , 
 , , , , , , ,"388231072", , ,"86203810", ,"38177945", , , , , , , 
 , , ,"2378824", ,"2378824","2378824","867065540","0","0","134193924","368228","128425095","352398", , , , , , 
 , , , , , , ,"60922783", , , , , , , , , , , , 
 , , ,"398", ,"398","398","38881481","0","0","7958878","80","250377","3", , , , , , 
 , , , , , , ,"1707623", , , , , , , , , , , , 
 , , , , , , ,"82907433", , ,"5839231", ,"6385685", , , , , , , 
 , , , , , , ,"2168560", , ,"13314", ,"674021", , , , , , , 
 , , ,"35", ,"35","35","110317803", , ,"15467131", ,"28075367", , , , , , , 
 , , ,"2636", ,"2636","2636","7419725","0","0","292959","104","1599174","568", , , , , , 
 , , , , , , ,"140942", , , , , , , , , , , , 
 , , , , , , ,"1093026", , ,"56275", ,"335548", , , , , , , 
 , , , , , , ,"3465643", , , , , , , , , , , , 
 , , , , , , ,"9653063", , ,"8350", ,"291852", , , , , , , 
 , , , , , , ,"77279340", , ,"316711", ,"29814948", , , , , , , 
 , , , , , , ,"3168131", , ,"5530", ,"1253786", , , , , , , 
 , , , , , , ,"2779231", , , , ,"83633", , , , , , , 
 , , , , , , ,"19204896", , ,"3446043", ,"4867726", , , , , , , 
 , , , , , , ,"9950487", , ,"3384", ,"37977", , , , , , , 
 , , , , , , ,"871228", , , , , , , , , , , , 
 , , , , , , ,"89779", , ,"106", ,"52218", , , , , , , 
 , , , , , , ,"15539173", , , , ,"3727256", , , , , , , 
 , , , , , , ,"325835", , ,"924", ,"70538", , , , , , , 
 , , , , , , ,"4329127", , , , ,"2068903", , , , , , , 
 , , , , , , ,"1218341", , ,"2404", ,"349834", , , , , , , 
 , , , , , , ,"2356762", , ,"2140", ,"643892", , , , , , , 
 , , , , , , ,"4853912", , ,"5190", ,"1584889", , , , , , , 
 , , , , , , ,"456671", , ,"6942", ,"216648", , , , , , , 
 , , , , , , ,"179869", , , , ,"1560", , , , , , , 
 , , , , , , ,"2118736", , , , ,"20151", , , , , , , 
 , , , , , , ,"682288", , ,"3022", ,"234760", , , , , , , 
 , , , , , , ,"100", , , , , , , , , , , , 
 , , ,"479678", ,"479678","479678","338578034","0","0","29913651","42388","26933562","38165", , , , , , 
 , , ,"46538", ,"46538","46538","37132228","0","0","678105","850","3187167","3994", , , , , , 
 , , , , , , ,"13077463", , ,"530", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report D00A185 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","","", , , , , , , , , , 
"","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
