"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[558727] Report(A810000)", ,"Entity[558727] Report(A810000[00100])","Entity[558727] Report(A810000[00200])","Entity[558727] Report(A810000[00300])","Entity[558727] Report(A810000[00400])","Entity[558727] Report(A810000[00500])","Entity[558727] Report(A810000[00600])","Entity[558727] Report(A810000[00700])"
"Line(00100)", ,"1","CAP REL COSTS-BLDG & FIXT","INTERCOMPANY TRANSACTIONS","39743470", ,"39743470","9"
"Line(00200)", ,"2","CAP REL COSTS-MVBLE EQUIP","INTERCOMPANY TRANSACTIONS","18407046", ,"18407046","9"
"Line(00300)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","INTERCOMPANY TRANSACTIONS","127425683","133745","127291938"
"Line(00400)", ,"5","NONPATIENT TELEPHONES","INTERCOMPANY TRANSACTIONS","112763","112763"
"Line(00401)", ,"5","DATA PROCESSING","INTERCOMPANY TRANSACTIONS","61241068","36881","61204187"
"Line(00402)", ,"5","PURCHASING RECEIVING AND STORES","INTERCOMPANY TRANSACTIONS","12803328","9876","12793452"
"Line(00403)", ,"5","ADMITTING","INTERCOMPANY TRANSACTIONS","10841520", ,"10841520"
"Line(00404)", ,"5","CASHIERING/ACCOUNTS RECEIVABLE","INTERCOMPANY TRANSACTIONS","31670029", ,"31670029"
"Line(00405)", ,"5","OTHER ADMINISTRATIVE AND GENERAL","INTERCOMPANY TRANSACTIONS","75197981","301625746","-226427765"
"Line(00406)", ,"6","MAINTENANCE & REPAIRS","INTERCOMPANY TRANSACTIONS","21253828","30264","21223564"
"Line(00407)", ,"7","OPERATION OF PLANT","INTERCOMPANY TRANSACTIONS","73858967","10156","73848811"
"Line(00408)", ,"9","HOUSEKEEPING - UNIVERSITY","INTERCOMPANY TRANSACTIONS","3291112", ,"3291112"
"Line(00409)", ,"9","HOUSEKEEPING - RILEY","INTERCOMPANY TRANSACTIONS","2716747", ,"2716747"
"Line(00410)", ,"9","HOUSEKEEPING - METHODIST","INTERCOMPANY TRANSACTIONS","5293305", ,"5293305"
"Line(00411)", ,"10","DIETARY","INTERCOMPANY TRANSACTIONS","385359","1113009","-727650"
"Line(00412)", ,"11","CAFETERIA","INTERCOMPANY TRANSACTIONS","1740374", ,"1740374"
"Line(00413)", ,"13","NURSING ADMINISTRATION","INTERCOMPANY TRANSACTIONS","5356299","438000","4918299"
"Line(00414)", ,"14","CENTRAL SERVICES & SUPPLY","INTERCOMPANY TRANSACTIONS", ,"135327","-135327"
"Line(00415)", ,"15","PHARMACY","INTERCOMPANY TRANSACTIONS","48041","504115","-456074"
"Line(00416)", ,"16","MEDICAL RECORDS & LIBRARY","INTERCOMPANY TRANSACTIONS","8374140", ,"8374140"
"Line(00417)", ,"17","SOCIAL SERVICE","INTERCOMPANY TRANSACTIONS", ,"354943","-354943"
"Line(00418)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","INTERCOMPANY TRANSACTIONS","1559556","1559556"
"Line(00419)", ,"23","PARAMED RESPIRATORY THERAPY","INTERCOMPANY TRANSACTIONS","15000","15000"
"Line(00420)", ,"23","PARAMED PASTORAL EDUCATION","INTERCOMPANY TRANSACTIONS", ,"17098","-17098"
"Line(00421)", ,"30","ADULTS & PEDIATRICS","INTERCOMPANY TRANSACTIONS","375191","494584","-119393"
"Line(00422)", ,"34","UH SURG 6IC","INTERCOMPANY TRANSACTIONS", ,"15806","-15806"
"Line(00423)", ,"40","SUBPROVIDER - IPF","INTERCOMPANY TRANSACTIONS","997532","997532"
"Line(00424)", ,"50","OPERATING ROOM","INTERCOMPANY TRANSACTIONS","1599939","1685223","-85284"
"Line(00425)", ,"51","RECOVERY ROOM","INTERCOMPANY TRANSACTIONS","28064","28064"
"Line(00426)", ,"53","ANESTHESIOLOGY","INTERCOMPANY TRANSACTIONS","6850320","6850320"
"Line(00427)", ,"54","RADIOLOGY-DIAGNOSTIC","INTERCOMPANY TRANSACTIONS","896759","1775302","-878543"
"Line(00428)", ,"55","RADIOLOGY-THERAPEUTIC","INTERCOMPANY TRANSACTIONS", ,"385666","-385666"
"Line(00429)", ,"56","RADIOISOTOPE","INTERCOMPANY TRANSACTIONS", ,"1041","-1041"
"Line(00430)", ,"59","CARDIAC CATHETERIZATION","INTERCOMPANY TRANSACTIONS","135617","154159","-18542"
"Line(00431)", ,"60","LABORATORY","INTERCOMPANY TRANSACTIONS","63356","31777854","-31714498"
"Line(00432)", ,"60","TRANSPLANT IMMUNOLOGY","INTERCOMPANY TRANSACTIONS","41477","54490","-13013"
"Line(00433)", ,"60","BONE MARROW TRANSPLANT LAB","INTERCOMPANY TRANSACTIONS", ,"-1652","1652"
"Line(00434)", ,"63","BLOOD STORING  PROCESSING & TRANS.","INTERCOMPANY TRANSACTIONS", ,"3746","-3746"
"Line(00435)", ,"65","RESPIRATORY THERAPY","INTERCOMPANY TRANSACTIONS", ,"24","-24"
"Line(00436)", ,"66","PHYSICAL THERAPY","INTERCOMPANY TRANSACTIONS", ,"89559","-89559"
"Line(00437)", ,"69","ELECTROCARDIOLOGY","INTERCOMPANY TRANSACTIONS","2017795","2585200","-567405"
"Line(00438)", ,"70","ELECTROENCEPHALOGRAPHY","INTERCOMPANY TRANSACTIONS", ,"325201","-325201"
"Line(00439)", ,"73","OUTPATIENT RETAIL PHARMACY","INTERCOMPANY TRANSACTIONS","59123","157614","-98491"
"Line(00440)", ,"74","RENAL DIALYSIS","INTERCOMPANY TRANSACTIONS","133956","133956"
"Line(00441)", ,"76","CARDIOLOGY","INTERCOMPANY TRANSACTIONS","80715","80715"
"Line(00442)", ,"76","PSYCH OTHER ANCILLARY","INTERCOMPANY TRANSACTIONS","1821420","1821420"
"Line(00443)", ,"76","CARDIAC CATHERIZATION","INTERCOMPANY TRANSACTIONS","1629024","1672616","-43592"
"Line(00444)", ,"90","AMB SVC-OB & GYN","INTERCOMPANY TRANSACTIONS", ,"4500","-4500"
"Line(00445)", ,"90","IUSCC HEM/ONC","INTERCOMPANY TRANSACTIONS","11328203","11399034","-70831"
"Line(00446)", ,"90","OUTPATIENT SURGERY","INTERCOMPANY TRANSACTIONS","16667","55507","-38840"
"Line(00447)", ,"90","AMB SVC-RILEY CLINICS","INTERCOMPANY TRANSACTIONS", ,"2964565","-2964565"
"Line(00448)", ,"90","MOTILITY LAB","INTERCOMPANY TRANSACTIONS", ,"19752","-19752"
"Line(00449)", ,"90","CLINICAL GERIATRICS","INTERCOMPANY TRANSACTIONS","1026745","1026745"
"Line(00450)", ,"90","SLEEP LAB","INTERCOMPANY TRANSACTIONS", ,"30854","-30854"
"Line(00451)", ,"90","ARTHRITIS CLINIC","INTERCOMPANY TRANSACTIONS","-1926","-1926"
"Line(00452)", ,"90","PHYSICAL MEDICINE","INTERCOMPANY TRANSACTIONS","37869","37869"
"Line(00453)", ,"90","DERMATOLOGY CLINIC","INTERCOMPANY TRANSACTIONS", ,"4165","-4165"
"Line(00454)", ,"90","INFUSION/HEM/ONC","INTERCOMPANY TRANSACTIONS","310127","310482","-355"
"Line(00455)", ,"90","EATING DISORDERS CLINIC","INTERCOMPANY TRANSACTIONS","31200","31200"
"Line(00456)", ,"90","GASTROENTEROLOGY CLINIC","INTERCOMPANY TRANSACTIONS","100000","100000"
"Line(00457)", ,"91","EMERGENCY","INTERCOMPANY TRANSACTIONS","5804696","5994598","-189902"
"Line(00458)", ,"94","HOME PROGRAM DIALYSIS","INTERCOMPANY TRANSACTIONS","90743","90743"
"Line(00459)", ,"95","AMBULANCE SERVICES","INTERCOMPANY TRANSACTIONS", ,"399238","-399238"
"Line(00460)", ,"101","HOME HEALTH AGENCY","INTERCOMPANY TRANSACTIONS","206294","3399827","-3193533"
"Line(00461)", ,"105","KIDNEY ACQUISITION","INTERCOMPANY TRANSACTIONS","108342","108342"
"Line(00462)", ,"106","HEART ACQUISITION","INTERCOMPANY TRANSACTIONS","4167","4167"
"Line(00463)", ,"107","LIVER ACQUISITION","INTERCOMPANY TRANSACTIONS","1792381","1792381"
"Line(00464)", ,"191","RESEARCH","INTERCOMPANY TRANSACTIONS", ,"42161","-42161"
