"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(I500000)", ,"Entity[558727] Report(I500000[00100])","Entity[558727] Report(I500000[00200])"
"Line(00100)", ,"14393487"
"Line(00202)", ,"10625798","9918487"
"Line(00203)", ,"10625798","9918487"
"Line(00204)", ,"110859"
"Line(00302)", ,"1425","1330"
"Line(00303)", ,"1425","1330"
"Line(00402)", ,"2124873","1983430"
"Line(00403)", ,"2124873","1983430"
"Line(00504)", ,"332539","303025"
"Line(00505)", ,"332539","303025"
"Line(00600)", ,"266662"
"Line(00700)", ,"226885"
"Line(00800)", , ,"1681735"
"Line(00900)", , ,"7933726"
"Line(01100)", ,"266662"
"Line(01200)", ,"17827206"
"Line(01300)", ,"16244966"
