"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report G100000 ","-------------","-------------","-----------",""
"","","1","2","3","4","5","6","7","8",""
"1"," Fund balances at beginning of period","","","","","","","","","1"
"2","\" Net income (loss) (from Worksheet G-3"," line 29)\"","","","","","","","","","2"
"3"," Total (sum of line 1 and line 2)","","","","","","","","","3"
"4"," Additions (credit adjustments) (specify)","","","","","","","","","4"
"5","","","","","","","","","","5"
"6","","","","","","","","","","6"
"7","","","","","","","","","","7"
"8","","","","","","","","","","8"
"9","","","","","","","","","","9"
"10"," Total additions (sum of lines 4-9)","","","","","","","","","10"
"11"," Subtotal (line 3 plus line 10)","","","","","","","","","11"
"12"," Deductions (debit adjustments) (specify)","","","","","","","","","12"
"13","","","","","","","","","","13"
"14","","","","","","","","","","14"
"15","","","","","","","","","","15"
"16","","","","","","","","","","16"
"17","","","","","","","","","","17"
"18"," Total deductions (sum of lines 12-17)","","","","","","","","","18"
"19"," Fund balance at end of period per balance","","","","","","","","","19"
""," sheet (line 11 minus line 18)","","","","","","","","",""
"Entity[558727] Report(G100000)", , ,"Entity[558727] Report(G100000[00200])"
"Line(00100)", , ,"1907571214"
"Line(00200)", , ,"579065786"
"Line(00300)", , ,"2147483647"
"Line(01100)", , ,"2147483647"
