"----------"," Entity 558727"," Report E00A18A ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable box:","","","   [ ] Subprovider (Other)","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"PART A - INPATIENT HOSPITAL SERVICES UNDER PPS","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
" DRG amounts other than outlier payments","","","","","","","1", , , , , , , , , , , , 
" Outlier payments for discharges  (see instructions)","","","","","","","2", , , , , , , , , , , , 
" Managed care simulated payments","","","","","","","3", , , , , , , , , , , , 
" Bed days available divided by number of days in the cost reporting period  (see instructions)","","","","","","","4", , , , , , , , , , , , 
" Indirect Medical Education Adjustment Calculation for Hospitals","","","","","","","", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs for the most recent cost reporting period ending on or ","","","","","","","5", , , , , , , , , , , , 
" before 12/31/1996  (see instructions)","","","","","","","", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs which meet the criteria for an add-on to the cap for new programs in","","","","","","","6", , , , , , , , , , , , 
" in accordance with 42 CFR 413.79(e)","","","","","","","", , , , , , , , , , , , 
" MMA Section 422 reduction amount to the IME cap as specified under 42 CFR �412.105(f)(1)(iv)(B)(1)","","","","","","","7", , , , , , , , , , , , 
"7.01  ACA Section 5503 reduction amount to the IME cap as specified under 42 CFR �412.105(f)(1)(iv)(B)(2)","","","","","","","7.01", , , , , , , , , , , , 
"\" If the cost report straddles July 1"," 2011 then see instructions.\"","","","","","","","", , , , , , , , , , , 
" Adjustment (increase or decrease) to the FTE count for allopathic and osteopathic programs for affiliated programs in accordance","","","","","","","8", , , , , , , , , , , , 
"\" with 42 CFR 413.75(b)"," 413.79(c)(2)(iv) and Vol. 64 Federal Register"," May 12"," 1998"," page 26340 and Vol. 67 Federal Register","\"","","","","","","","", , , , , , , 
"\" page 50069"," August 1"," 2002.\"","","","","","","","", , , , , , , , , , 
" 8.01 The amount of increase if the hospital was awarded FTE cap slots under section 5503 of the ACA.   ","","","","","","","8.01", , , , , , , , , , , , 
"\" If the cost report straddles July 1"," 2011"," see instructions.\"","","","","","","","", , , , , , , , , , 
" 8.02 The amount of increase if the hospital was awarded FTE cap slots from a closed teaching hospital under ","","","","","","","8.02", , , , , , , , , , , , 
" section 5506 of ACA. (see instructions)","","","","","","","", , , , , , , , , , , , 
" Sum of lines 5 plus 6 minus lines (7 and 7.01) plus/minus line 8 plus lines (8.01 and 8.02)  (see instructions)","","","","","","","9", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs in the current year from your records","","","","","","","10", , , , , , , , , , , , 
" FTE count for residents in dental and podiatric programs","","","","","","","11", , , , , , , , , , , , 
" Current year allowable FTE  (see instructions)","","","","","","","12", , , , , , , , , , , , 
" Total allowable FTE count for the prior year","","","","","","","13", , , , , , , , , , , , 
"\" Total allowable FTE count for the penultimate year if that year ended on or after September 30"," 1997"," otherwise enter zero.\"","","","","","","","14", , , , , , , , , , 
" Sum of lines 12 through 14 divided by 3","","","","","","","15", , , , , , , , , , , , 
" Adjustment for residents in initial years of the program","","","","","","","16", , , , , , , , , , , , 
" Adjustment for residents displaced by program or hospital closure","","","","","","","17", , , , , , , , , , , , 
" Adjusted rolling average FTE count","","","","","","","18", , , , , , , , , , , , 
" Current year resident to bed ratio (line 18 divided by line 4)","","","","","","","19", , , , , , , , , , , , 
" Prior year resident to bed ratio  (see instructions)","","","","","","","20", , , , , , , , , , , , 
