"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report S500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(S500000)", ,"Entity[558727] Report(S500000[00100])","Entity[558727] Report(S500000[00200])","Entity[558727] Report(S500000[00300])","Entity[558727] Report(S500000[00400])","Entity[558727] Report(S500000[00500])","Entity[558727] Report(S500000[00600])"
"Line(00100)", , ,"203", , , ,"128"
"Line(00200)", ,"3","3","5","7","6","7"
"Line(00300)", ,"5","5","5","3"
"Line(00400)", , , , ,"4", ,"4"
"Line(00500)", ,"312","312"
"Line(00600)", , ,"55"
"Line(00700)", , ,"3"
"Line(00800)", , ,"69"
"Line(01001)", ,"N"
"Line(01002)", ,"Y"
"Line(01100)", ,"84"
"Line(01200)", ,"22"
"Line(02100)", , ,"X"
"Line(02200)", ,"DARBEPOETIN","339990","489823","47225","68037"
