"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000A0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000A0)","Entity[558727] Report(A6000A0[00000])","Entity[558727] Report(A6000A0[00100])", ,"Entity[558727] Report(A6000A0[00300])", ,"Entity[558727] Report(A6000A0[00500])", ,"Entity[558727] Report(A6000A0[00700])", ,"Entity[558727] Report(A6000A0[00900])"
"Line(00100)","BENEFITS","A", ,"4", ,"117198117", ,"5", ,"2651647"
"Line(00200)","BENEFITS","A", , , , , ,"6", ,"57783"
"Line(00300)","BENEFITS","A", , , , , ,"7", ,"626224"
"Line(00400)","BENEFITS","A", , , , , ,"8", ,"83"
"Line(00500)","BENEFITS","A", , , , , ,"9", ,"101751"
"Line(00600)","BENEFITS","A", , , , , ,"10", ,"2042330"
"Line(00700)","BENEFITS","A", , , , , ,"11", ,"42389"
"Line(00800)","BENEFITS","A", , , , , ,"13", ,"4135183"
"Line(00900)","BENEFITS","A", , , , , ,"14", ,"769302"
"Line(01000)","BENEFITS","A", , , , , ,"15", ,"5119131"
"Line(01100)","BENEFITS","A", , , , , ,"16", ,"75306"
"Line(01200)","BENEFITS","A", , , , , ,"17", ,"963921"
"Line(01300)","BENEFITS","A", , , , , ,"18", ,"859716"
"Line(01400)","BENEFITS","A", , , , , ,"22", ,"120627"
"Line(01500)","BENEFITS","A", , , , , ,"23", ,"32331"
"Line(01600)","BENEFITS","A", , , , , ,"23", ,"57203"
"Line(01700)","BENEFITS","A", , , , , ,"23", ,"73782"
"Line(01800)","BENEFITS","A", , , , , ,"23", ,"38069"
"Line(01900)","BENEFITS","A", , , , , ,"23", ,"145780"
"Line(02000)","BENEFITS","A", , , , , ,"23", ,"29104"
"Line(02100)","BENEFITS","A", , , , , ,"23", ,"157859"
"Line(02200)","BENEFITS","A", , , , , ,"23", ,"32800"
"Line(02300)","BENEFITS","A", , , , , ,"23", ,"48438"
"Line(02400)","BENEFITS","A", , , , , ,"30", ,"27955572"
"Line(02500)","BENEFITS","A", , , , , ,"31", ,"2877060"
"Line(02600)","BENEFITS","A", , , , , ,"32", ,"2275735"
"Line(02700)","BENEFITS","A", , , , , ,"32", ,"872318"
"Line(02800)","BENEFITS","A", , , , , ,"33", ,"226441"
"Line(02900)","BENEFITS","A", , , , , ,"34", ,"682075"
"Line(03000)","BENEFITS","A", , , , , ,"34", ,"1880434"
"Line(03100)","BENEFITS","A", , , , , ,"34", ,"379890"
"Line(03200)","BENEFITS","A", , , , , ,"34", ,"305994"
"Line(03300)","BENEFITS","A", , , , , ,"40", ,"620514"
"Line(03400)","BENEFITS","A", , , , , ,"43", ,"449522"
"Line(03500)","BENEFITS","A", , , , , ,"50", ,"6465024"
"Line(03600)","BENEFITS","A", , , , , ,"50", ,"219068"
"Line(03700)","BENEFITS","A", , , , , ,"51", ,"1085902"
"Line(03800)","BENEFITS","A", , , , , ,"53", ,"357911"
"Line(03900)","BENEFITS","A", , , , , ,"53", ,"625104"
"Line(04000)","BENEFITS","A", , , , , ,"54", ,"5209548"
