"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000G0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000G0)","Entity[558727] Report(A6000G0[00000])","Entity[558727] Report(A6000G0[00100])", ,"Entity[558727] Report(A6000G0[00300])", ,"Entity[558727] Report(A6000G0[00500])", ,"Entity[558727] Report(A6000G0[00700])", ,"Entity[558727] Report(A6000G0[00900])"
"Line(00100)","SUPPLIES","G", ,"14", ,"212122325", ,"5", ,"281938"
"Line(00200)","SUPPLIES","G", ,"73", ,"4926", ,"5", ,"121"
"Line(00300)","SUPPLIES","G", , , , , ,"5", ,"214672"
"Line(00400)","SUPPLIES","G", , , , , ,"6", ,"24320"
"Line(00500)","SUPPLIES","G", , , , , ,"7", ,"5925"
"Line(00600)","SUPPLIES","G", , , , , ,"8", ,"86798"
"Line(00700)","SUPPLIES","G", , , , , ,"9", ,"3774"
"Line(00800)","SUPPLIES","G", , , , , ,"10", ,"109577"
"Line(00900)","SUPPLIES","G", , , , , ,"13", ,"22394"
"Line(01000)","SUPPLIES","G", , , , , ,"15", ,"2198345"
"Line(01100)","SUPPLIES","G", , , , , ,"17", ,"1267"
"Line(01200)","SUPPLIES","G", , , , , ,"18", ,"5228"
"Line(01300)","SUPPLIES","G", , , , , ,"21", ,"52"
"Line(01400)","SUPPLIES","G", , , , , ,"22", ,"9858"
"Line(01500)","SUPPLIES","G", , , , , ,"23", ,"63"
"Line(01600)","SUPPLIES","G", , , , , ,"23", ,"3781"
"Line(01700)","SUPPLIES","G", , , , , ,"23", ,"7258"
"Line(01800)","SUPPLIES","G", , , , , ,"23", ,"338"
"Line(01900)","SUPPLIES","G", , , , , ,"23", ,"2491"
"Line(02000)","SUPPLIES","G", , , , , ,"30", ,"14567785"
"Line(02100)","SUPPLIES","G", , , , , ,"31", ,"2120150"
"Line(02200)","SUPPLIES","G", , , , , ,"32", ,"2056826"
"Line(02300)","SUPPLIES","G", , , , , ,"32", ,"365011"
"Line(02400)","SUPPLIES","G", , , , , ,"33", ,"143057"
"Line(02500)","SUPPLIES","G", , , , , ,"34", ,"1011417"
"Line(02600)","SUPPLIES","G", , , , , ,"192", ,"21314"
"Line(02700)","SUPPLIES","G", , , , , ,"34", ,"1087372"
"Line(02800)","SUPPLIES","G", , , , , ,"34", ,"411092"
"Line(02900)","SUPPLIES","G", , , , , ,"34", ,"102722"
"Line(03000)","SUPPLIES","G", , , , , ,"40", ,"55107"
"Line(03100)","SUPPLIES","G", , , , , ,"43", ,"196129"
"Line(03200)","SUPPLIES","G", , , , , ,"50", ,"87904422"
"Line(03300)","SUPPLIES","G", , , , , ,"50", ,"607864"
"Line(03400)","SUPPLIES","G", , , , , ,"51", ,"485141"
"Line(03500)","SUPPLIES","G", , , , , ,"53", ,"3585391"
"Line(03600)","SUPPLIES","G", , , , , ,"53", ,"256821"
"Line(03700)","SUPPLIES","G", , , , , ,"54", ,"12831617"
"Line(03800)","SUPPLIES","G", , , , , ,"55", ,"379096"
"Line(03900)","SUPPLIES","G", , , , , ,"56", ,"4289719"
"Line(04000)","SUPPLIES","G", , , , , ,"59", ,"4627617"
"Line(04100)","SUPPLIES","G", , , , , ,"60", ,"25850160"
"Line(04200)","SUPPLIES","G", , , , , ,"60", ,"1141349"
"Line(04300)","SUPPLIES","G", , , , , ,"60", ,"901410"
"Line(04400)","SUPPLIES","G", , , , , ,"63", ,"13141692"
