"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H010000 ","-------------","-------------","-----------",""
"","","SALARIES","EMPLOYEE","TATION","PURCHASED ","","TOTAL","","TRIAL","","EXPENSES FOR",""
"","COST CENTER DESCRIPTIONS","","BENEFITS ","(see","SERVICES","","(sum of cols.","RECLASS-","BALANCE","","ALLOCATION",""
"","(omit cents)","","","instructions)","","OTHER COSTS","1 thru 5)","IFICATIONS","(col. 6 + col. 7)","ADJUSTMENTS","(col. 8 + col. 9)",""
"","","1","2","3","4","5","6","7","8","9","10",""
""," GENERAL SERVICE COST CENTERS","","","","","","","","","","",""
"1"," Capital Related-Bldgs. and Fixtures","","","","","","","","","","","1"
"2"," Capital Related-Movable Equipment","","","","","","","","","","","2"
"3"," Plant Operation & Maintenance","","","","","","","","","","","3"
"4"," Transportation (see instructions)","","","","","","","","","","","4"
"5"," Administrative and General","","","","","","","","","","","5"
" "," HHA REIMBURSABLE SERVICES","","","","","","","","","",""," "
"6"," Skilled Nursing Care","","","","","","","","","","","6"
"7"," Physical Therapy","","","","","","","","","","","7"
"8"," Occupational Therapy","","","","","","","","","","","8"
"9"," Speech Pathology","","","","","","","","","","","9"
"10"," Medical Social Services","","","","","","","","","","","10"
"11"," Home Health Aide","","","","","","","","","","","11"
"12"," Supplies (see instructions)","","","","","","","","","","","12"
"13"," Drugs","","","","","","","","","","","13"
"14"," DME","","","","","","","","","","","14"
" "," HHA NONREIMBURSABLE SERVICES","","","","","","","","","",""," "
"15"," Home Dialysis Aide Services","","","","","","","","","","","15"
"16"," Respiratory Therapy","","","","","","","","","","","16"
"17"," Private Duty Nursing","","","","","","","","","","","17"
"18"," Clinic","","","","","","","","","","","18"
"19"," Health Promotion Activities","","","","","","","","","","","19"
"20"," Day Care Program","","","","","","","","","","","20"
"21"," Home Delivered Meals Program","","","","","","","","","","","21"
"22"," Homemaker Service","","","","","","","","","","","22"
"23"," All Others","","","","","","","","","","","23"
"24"," Total (sum of lines 1-23)","","","","","","","","","","","24"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","\"Column"," 6 line 24 should agree with the Worksheet A"," column 3"," line 101"," or subscript as applicable. \"","","","","","","","","","","",""
"Entity[558727] Report(H010000)", ,"Entity[558727] Report(H010000[00100])","Entity[558727] Report(H010000[00200])", , ,"Entity[558727] Report(H010000[00500])","Entity[558727] Report(H010000[00600])", ,"Entity[558727] Report(H010000[00800])", ,"Entity[558727] Report(H010000[01000])"
"Line(00500)", ,"6778383","1454198", , ,"1051599","9284180", ,"9284180", ,"9284180"
"Line(00600)", ,"3145677","135190", , ,"16510","3297377", ,"3297377", ,"3297377"
"Line(00700)", ,"1909495","96996", , ,"7172","2013663", ,"2013663", ,"2013663"
"Line(00800)", ,"302930","29185", , ,"1900","334015", ,"334015", ,"334015"
"Line(00900)", ,"72975","3330", , ,"765","77070", ,"77070", ,"77070"
"Line(01000)", ,"110307","6622", , ,"668","117597", ,"117597", ,"117597"
"Line(01100)", ,"247554","9222", , ,"677","257453", ,"257453", ,"257453"
"Line(01600)", ,"1468350","112972", , ,"2832563","4413885", ,"4413885", ,"4413885"
"Line(02300)", ,"5109948","415860", , ,"8894956","14420764", ,"14420764", ,"14420764"
