"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[558727] Report(A000000)","Entity[558727] Report(A000000[00000])","Entity[558727] Report(A000000[00100])","Entity[558727] Report(A000000[00200])","Entity[558727] Report(A000000[00300])","Entity[558727] Report(A000000[00400])","Entity[558727] Report(A000000[00500])","Entity[558727] Report(A000000[00600])","Entity[558727] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"1309627","1309627","37470788","38780415"
"Line(00101)","00101NEW CAP REL COSTS-INTEREST"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"34872334","34872334","26762974","61635308"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","3167294","4901346","8068640","125133409","133202049","2158529","135360578"
"Line(00501)","00540NONPATIENT TELEPHONES", ,"132854","132854","69125","201979","-69125","132854"
"Line(00502)","00550DATA PROCESSING","36881","55080","91961", ,"91961","61204187","61296148"
"Line(00503)","00560PURCHASING RECEIVING AND STORES","9876","600922","610798","-445089","165709","12793452","12959161"
"Line(00504)","00570ADMITTING", ,"44020","44020","-121","43899","10841520","10885419"
"Line(00505)","00580CASHIERING/ACCOUNTS RECEIVABLE", , , , , ,"31670029","31670029"
"Line(00506)","00590OTHER ADMINISTRATIVE AND GENERA","13845396","340323344","354168740","-4176883","349991857","-241746795","108245062"
"Line(00600)","00600MAINTENANCE & REPAIRS","335017","2100045","2435062","-95162","2339900","21223564","23563464"
"Line(00603)","00601MAINTENANCE & REPAIRS"
"Line(00700)","00700OPERATION OF PLANT","1719771","1929235","3649006","-729530","2919476","73495480","76414956"
"Line(00701)","00701IU LEASED SPACE"
"Line(00800)","00800LAUNDRY & LINEN SERVICE","1012","90884","91896","-87908","3988", ,"3988"
"Line(00900)","00900HOUSEKEEPING"
"Line(00901)","00901HOUSEKEEPING - UNIVERSITY", , , , , ,"3291112","3291112"
"Line(00902)","00902HOUSEKEEPING - RILEY", , , , , ,"2716747","2716747"
"Line(00903)","00903HOUSEKEEPING - METHODIST","326102","277903","604005","-105525","498480","5293305","5791785"
"Line(01000)","01000DIETARY","8677418","5442872","14120290","-2426081","11694209","-1519826","10174383"
"Line(01100)","01100CAFETERIA","106338","244345","350683","-42389","308294","1549366","1857660"
"Line(01200)","01200MAINTENANCE OF PERSONNEL"
"Line(01300)","01300NURSING ADMINISTRATION","15941220","6916643","22857863","-4616081","18241782","4405831","22647613"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","2628058","7296176","9924234","115856967","125781201","-135327","125645874"
"Line(01500)","01500PHARMACY","28828411","88838242","117666653","-39066576","78600077","-2925177","75674900"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","330389","1144728","1475117","-80932","1394185","8158325","9552510"
"Line(01700)","01700SOCIAL SERVICE","6277416","1918265","8195681","-1038138","7157543","-354943","6802600"
"Line(01800)","01850PATIENT TRANSPORTATION","1832666","1104696","2937362","-951111","1986251", ,"1986251"
"Line(01900)","01900NONPHYSICIAN ANESTHETISTS"
"Line(02000)","02000NURSING SCHOOL"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A","29490593","10211709","39702302","-52","39702250","-50000","39652250"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A","572802","4539576","5112378","-152720","4959658","6850270","11809928"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)"
"Line(02301)","02301PARAMED ED HEALTH SCIENCES","129859","117294","247153","-53769","193384","-20164","173220"
"Line(02302)","02302PARAMED RADIOLOGY-METHODIST","305015","93716","398731","544188","942919","-154874","788045"
"Line(02303)","02303PARAMED RESPIRATORY THERAPY","377233","188029","565262","-99596","465666","-465666"
"Line(02304)","02304PARAMED EMERGENCY","204358","62888","267246","-11593","255653","-74383","181270"
"Line(02305)","02312PARAMED PASTORAL EDUCATION","561480","156393","717873","-154106","563767","-17098","546669"
"Line(02306)","02306PARAMED LAB SCIENCE PRO","230027","66971","296998","230394","527392","-98802","428590"
"Line(02307)","02307PARAMED PHARMACY","615994","260671","876665","397348","1274013","6243","1280256"
"Line(02308)","02308PARAMED MEDICAL ASSIST", ,"20","20", ,"20", ,"20"
"Line(02309)","02309PARAMED SURGERY TECHNOLOGY","137867","48504","186371","59644","246015","-39889","206126"
"Line(02310)","02310PARAMED PHARMACY TECH","194657","71630","266287","-11524","254763","-17743","237020"
"Line(02311)","02311PARAMED NEUROPHYSIOLOGY"
"Line(03000)","03000ADULTS & PEDIATRICS","129629357","64668891","194298248","-55552567","138745681","-3663437","135082244"
"Line(03100)","03100INTENSIVE CARE UNIT","13709675","6770726","20480401","-5404020","15076381", ,"15076381"
"Line(03200)","03200CORONARY CARE UNIT","10377015","5693041","16070056","-4579672","11490384", ,"11490384"
"Line(03201)","03201NEONATAL INTENSIVE CARE UNIT","4282369","1823205","6105574","-1419370","4686204","-32805","4653399"
"Line(03300)","03300BURN INTENSIVE CARE UNIT","1385606","583637","1969243","-414474","1554769","729","1555498"
"Line(03400)","03400SURGICAL INTENSIVE CARE UNIT"
"Line(03401)","03405SURGICAL INTENSIVE CARE UNIT"
"Line(03402)","03401UH SURG 6IC","3464880","2253666","5718546","-1846487","3872059","-15806","3856253"
