"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(S300004)", ,"Entity[558727] Report(S300004[00100])"
"Line(00300)", ,"38143392"
"Line(00500)", ,"670703"
"Line(00600)", ,"23345"
"Line(00800)", ,"56523630"
"Line(01000)", ,"1412476"
"Line(01100)", ,"698795"
"Line(01300)", ,"1326373"
"Line(01500)", ,"700443"
"Line(01700)", ,"41306246"
"Line(02000)", ,"4758652"
"Line(02300)", ,"2058382"
