"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report D00A183 ","-------------","-------------","-----------",""
"applicable ","","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","",""
"boxes:","","   [ ]  Title XIX","","","","","","","","","",""
"","","","","","All","Swing-Bed","","","","","Inpatient",""
"","","",""," ","Other ","Adjustment","Total Costs","","Per","","Program",""
"","","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through",""
"","","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost",""
"","","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)",""
"(A)","Cost Center Description","","1","2","3","4","5","6","7","8","9",""
""," INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","",""
""," Adults & Pediatrics","","","","","","","","","","",""
"30"," (General Routine Care)","","","","","","","","","","","30"
"","","","","","","","","","","","",""
"31"," Intensive Care Unit","","","","","","","","","","","31"
"","","","","","","","","","","","",""
"32"," Coronary Care Unit","","","","","","","","","","","32"
"","","","","","","","","","","","",""
"33"," Burn Intensive Care Unit","","","","","","","","","","","33"
"","","","","","","","","","","","",""
"34"," Surgical Intensive Care Unit","","","","","","","","","","","34"
"","","","","","","","","","","","",""
"35"," Other Special Care Unit (specify)","","","","","","","","","","","35"
"","","","","","","","","","","","",""
"40"," Subprovider IPF","","","","","","","","","","","40"
"","","","","","","","","","","","",""
"41"," Subprovider IRF","","","","","","","","","","","41"
"","","","","","","","","","","","",""
"42"," Subprovider  (Other)","","","","","","","","","","","42"
"","","","","","","","","","","","",""
"43"," Nursery","","","","","","","","","","","43"
"","","","","","","","","","","","",""
"44"," Skilled Nursing Facility","","","","","","","","","","","44"
"","","","","","","","","","","","",""
"45"," Nursing Facility","","","","","","","","","","","45"
"","","","","","","","","","","","",""
"200"," Total (sum of lines 30-199)","","","","","","","","","","","200"
"","","","","","","","","","","","",""
"","(A) Worksheet A line numbers","","","","","","","","","","",""
"Entity[558727] Report(D00A183)", , ,"Entity[558727] Report(D00A183[00200])", , ,"Entity[558727] Report(D00A183[00500])","Entity[558727] Report(D00A183[00600])","Entity[558727] Report(D00A183[00700])","Entity[558727] Report(D00A183[00800])","Entity[558727] Report(D00A183[00900])"
"Line(03000)", , ,"673812", , ,"673812","273752","2","76232","187531"
"Line(03100)", , ,"53703", , ,"53703","20129","3","6754","18033"
"Line(03200)", , ,"37938", , ,"37938","14220","3","5772","15411"
"Line(03201)", , ,"21813", , ,"21813","8176","3"
"Line(03300)", , ,"5701", , ,"5701","2137","3"
"Line(03402)", , ,"12945", , ,"12945","4852","3","2119","5658"
"Line(03404)", , ,"22920", , ,"22920","8591","3","14","37"
"Line(03405)", , ,"6739", , ,"6739","2526","3","816","2179"
"Line(03406)", , ,"4688", , ,"4688","1757","3","43","115"
"Line(04000)", , ,"17416", , ,"17416","6528","3","1532","4090"
"Line(04300)", , ,"29766", , ,"29766","11157","3"
