"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[558727] Report(D00A184)", , , ,"Entity[558727] Report(D00A184[00300])", ,"Entity[558727] Report(D00A184[00500])","Entity[558727] Report(D00A184[00600])","Entity[558727] Report(D00A184[00700])","Entity[558727] Report(D00A184[00800])","Entity[558727] Report(D00A184[00900])","Entity[558727] Report(D00A184[01000])","Entity[558727] Report(D00A184[01100])","Entity[558727] Report(D00A184[01200])","Entity[558727] Report(D00A184[01300])"
"Line(05000)", , , ,"421724", ,"421724","421724","677399161","0","0","127200679","79246","41080809","25593"
"Line(05001)", , , , , , , ,"25053228", , ,"6890523", ,"2695492"
"Line(05100)", , , ,"784", ,"784","784","73921111","0","0","10104062","111","7176626","79"
"Line(05200)", , , ,"10461", ,"10461","10461","58007181","0","0","653376","118","128859","23"
"Line(05300)", , , , , , , ,"43834227", , ,"8234117", ,"2059870"
"Line(05301)", , , , , , , ,"30438390", , ,"477137", ,"2863332"
"Line(05400)", , , ,"1409059", ,"1409059","1409059","575806314","0","0","66247683","162108","79718478","195071"
"Line(05500)", , , , , , , ,"93025278", , ,"1197533", ,"26285280"
"Line(05600)", , , , , , , ,"30150311", , ,"3268973", ,"4311423"
"Line(05900)", , , , , , , ,"40810251", , ,"6967886", ,"8502308"
"Line(06000)", , , ,"731005", ,"731005","731005","658604578","0","0","112767911","125172","13063777","14501"
"Line(06001)", , , , , , , ,"10991951", , ,"525450", ,"95646"
"Line(06002)", , , , , , , ,"15806405", , ,"1351842", ,"2292231"
"Line(06300)", , , , , , , ,"74599932", , ,"16728594", ,"1599088"
"Line(06500)", , , ,"371919", ,"371919","371919","128729092","0","0","32147550","92874","585282","1691"
"Line(06600)", , , , , , , ,"79138764", , ,"17078690", ,"176344"
"Line(06700)", , , , , , , ,"14850511", , ,"2716127"
"Line(06800)", , , , , , , ,"15957682", , ,"1609833", ,"893467"
"Line(06900)", , , , , , , ,"60550329", , ,"19753119", ,"6090657"
"Line(07000)", , , , , , , ,"37451982", , ,"7134739", ,"1668358"
"Line(07100)", , , , , , , ,"127620689", , ,"26549173", ,"16706126"
"Line(07200)", , , , , , , ,"388231072", , ,"86203810", ,"38177945"
"Line(07300)", , , ,"2378824", ,"2378824","2378824","867065540","0","0","134193924","368228","128425095","352398"
"Line(07303)", , , , , , , ,"60922783"
"Line(07400)", , , ,"398", ,"398","398","38881481","0","0","7958878","80","250377","3"
"Line(07600)", , , , , , , ,"1707623"
"Line(07601)", , , , , , , ,"82907433", , ,"5839231", ,"6385685"
"Line(07602)", , , , , , , ,"2168560", , ,"13314", ,"674021"
"Line(07603)", , , ,"35", ,"35","35","110317803", , ,"15467131", ,"28075367"
"Line(07604)", , , ,"2636", ,"2636","2636","7419725","0","0","292959","104","1599174","568"
"Line(07608)", , , , , , , ,"140942"
"Line(07697)", , , , , , , ,"1093026", , ,"56275", ,"335548"
"Line(08900)", , , , , , , ,"3465643"
"Line(09001)", , , , , , , ,"9653063", , ,"8350", ,"291852"
"Line(09002)", , , , , , , ,"77279340", , ,"316711", ,"29814948"
"Line(09003)", , , , , , , ,"3168131", , ,"5530", ,"1253786"
"Line(09004)", , , , , , , ,"2779231", , , , ,"83633"
"Line(09006)", , , , , , , ,"19204896", , ,"3446043", ,"4867726"
"Line(09007)", , , , , , , ,"9950487", , ,"3384", ,"37977"
"Line(09008)", , , , , , , ,"871228"
"Line(09010)", , , , , , , ,"89779", , ,"106", ,"52218"
"Line(09011)", , , , , , , ,"15539173", , , , ,"3727256"
"Line(09012)", , , , , , , ,"325835", , ,"924", ,"70538"
"Line(09014)", , , , , , , ,"4329127", , , , ,"2068903"
"Line(09017)", , , , , , , ,"1218341", , ,"2404", ,"349834"
"Line(09018)", , , , , , , ,"2356762", , ,"2140", ,"643892"
"Line(09019)", , , , , , , ,"4853912", , ,"5190", ,"1584889"
"Line(09020)", , , , , , , ,"456671", , ,"6942", ,"216648"
"Line(09021)", , , , , , , ,"179869", , , , ,"1560"
"Line(09022)", , , , , , , ,"2118736", , , , ,"20151"
"Line(09023)", , , , , , , ,"682288", , ,"3022", ,"234760"
"Line(09024)", , , , , , , ,"100"
"Line(09100)", , , ,"479678", ,"479678","479678","338578034","0","0","29913651","42388","26933562","38165"
"Line(09200)", , , ,"46538", ,"46538","46538","37132228","0","0","678105","850","3187167","3994"
"Line(09400)", , , , , , , ,"13077463", , ,"530"
