"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report M31Q180 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(M31Q180)", ,"Entity[558727] Report(M31Q180[00100])","Entity[558727] Report(M31Q180[00200])"
"Line(00100)", ,"5609425"
"Line(00300)", ,"5609425"
"Line(00400)", ,"24276"
"Line(00600)", ,"24276"
"Line(00700)", ,"231"
"Line(00800)", , ,"128"
"Line(00900)", , ,"128"
"Line(01000)", , ,"6441"
"Line(01100)", , ,"824448"
"Line(01600)", , ,"824448"
"Line(01604)", , ,"659558"
"Line(01605)", , ,"659558"
"Line(02000)", , ,"659558"
"Line(02200)", , ,"659558"
"Line(02300)", , ,"3277"
"Line(02301)", , ,"2884"
"Line(02400)", , ,"111"
"Line(02600)", , ,"662442"
"Line(02601)", , ,"10003"
