"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000M0)","Entity[558727] Report(A6000M0[00000])","Entity[558727] Report(A6000M0[00100])", ,"Entity[558727] Report(A6000M0[00300])","Entity[558727] Report(A6000M0[00400])","Entity[558727] Report(A6000M0[00500])", ,"Entity[558727] Report(A6000M0[00700])","Entity[558727] Report(A6000M0[00800])","Entity[558727] Report(A6000M0[00900])"
"Line(00100)","PARAMED ED","M", ,"23","562758","43051", ,"54","562758","43051"
"Line(00200)","PARAMED ED","M", ,"23","525044","40166", ,"15","515649","39447"
"Line(00300)","PARAMED ED","M", ,"23","39331","3009", ,"90","2907","222"
"Line(00400)","PARAMED ED","M", ,"23","250918","19195", ,"91","6488","496"
"Line(00500)","PARAMED ED","M", ,"23","27298","2088", ,"15","15788","1208"
"Line(00600)","PARAMED ED","M", ,"23","88052","6736", ,"73","17903","1370"
"Line(00700)","PARAMED ED","M", , , , , ,"101","5640","431"
"Line(00800)","PARAMED ED","M", , , , , ,"60","221930","16978"
"Line(00900)","PARAMED ED","M", , , , , ,"63","28988","2218"
"Line(01000)","PARAMED ED","M", , , , , ,"5","960","73"
"Line(01100)","PARAMED ED","M", , , , , ,"65","80","6"
"Line(01200)","PARAMED ED","M", , , , , ,"91","26258","2009"
"Line(01300)","PARAMED ED","M", , , , , ,"50","88052","6736"
