,PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES,,,,,,,,,
,,,,Acquisitions,,,Disposals,,Fully,
,,,Beginning,,,,and,Ending,Depreciated,
,Description,,Balances,Purchases,Donation,Total,Retirements,Balance,Assets,
,,,1,2,3,4,5,6,7,
1, Land,,,,,,,,,1
2, Land Improvements,,,,,,,,,2
3, Buildings and Fixtures,,,,,,,,,3
4, Building Improvements,,,,,,,,,4
5, Fixed Equipment,,,,,,,,,5
6, Movable Equipment,,,,,,,,,6
7, HIT-designated Assets,,,,,,,,,7
8, Subtotal (sum of lines 1-7),,,,,,,,,8
9, Reconciling Items,,,,,,,,,9
10, Total (line 7 minus line 9),,,,,,,,,10
