"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CK0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CK0)","Entity[549652] Report(A600CK0[00000])","Entity[549652] Report(A600CK0[00100])", ,"Entity[549652] Report(A600CK0[00300])","Entity[549652] Report(A600CK0[00400])", , ,"Entity[549652] Report(A600CK0[00700])","Entity[549652] Report(A600CK0[00800])"
"Line(00100)","EFFORT FOR NON-PTAS","CK", ,"191","10027833", , ,"4","956572"
"Line(00200)","EFFORT FOR NON-PTAS","CK", ,"13","628308", , ,"4","4261206"
"Line(00300)","EFFORT FOR NON-PTAS","CK", , , , , ,"5","2157327"
"Line(00400)","EFFORT FOR NON-PTAS","CK", , , , , ,"12","87227"
"Line(00500)","EFFORT FOR NON-PTAS","CK", , , , , ,"12","742"
"Line(00600)","EFFORT FOR NON-PTAS","CK", , , , , ,"13","9998"
"Line(00700)","EFFORT FOR NON-PTAS","CK", , , , , ,"13","100375"
"Line(00800)","EFFORT FOR NON-PTAS","CK", , , , , ,"15","4158"
"Line(00900)","EFFORT FOR NON-PTAS","CK", , , , , ,"21","221871"
"Line(01000)","EFFORT FOR NON-PTAS","CK", , , , , ,"50","262"
"Line(01100)","EFFORT FOR NON-PTAS","CK", , , , , ,"54","961522"
"Line(01200)","EFFORT FOR NON-PTAS","CK", , , , , ,"55","407708"
"Line(01300)","EFFORT FOR NON-PTAS","CK", , , , , ,"65","2060"
"Line(01400)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","44864"
"Line(01500)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","16113"
"Line(01600)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","247515"
"Line(01700)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","3774"
"Line(01800)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","12526"
"Line(01900)","EFFORT FOR NON-PTAS","CK", , , , , ,"90","1200"
"Line(02000)","EFFORT FOR NON-PTAS","CK", , , , , ,"192","447863"
"Line(02100)","EFFORT FOR NON-PTAS","CK", , , , , ,"194","711258"
