"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CG0)","Entity[549652] Report(A600CG0[00000])","Entity[549652] Report(A600CG0[00100])", ,"Entity[549652] Report(A600CG0[00300])", ,"Entity[549652] Report(A600CG0[00500])", ,"Entity[549652] Report(A600CG0[00700])", ,"Entity[549652] Report(A600CG0[00900])"
"Line(00100)","EMPLOYEE BENEFITS- FG 10","CG", ,"4", ,"274858153", ,"4", ,"6073541"
"Line(00200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"5", ,"14444285"
"Line(00300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"5", ,"2253490"
"Line(00400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"5", ,"196003"
"Line(00500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"5", ,"3742915"
"Line(00600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"5", ,"3831702"
"Line(00700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"6", ,"14311710"
"Line(00800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"7", ,"4117468"
"Line(00900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"9", ,"3385104"
"Line(01000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"10", ,"660804"
"Line(01100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"12", ,"735071"
"Line(01200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"12", ,"843721"
"Line(01300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"12", ,"324443"
"Line(01400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"12", ,"767140"
"Line(01500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"12", ,"1213644"
"Line(01600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"9592125"
"Line(01700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"2769089"
"Line(01800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"4182728"
"Line(01900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"1534383"
"Line(02000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"89253"
"Line(02100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"13", ,"360734"
"Line(02200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"15", ,"9246611"
"Line(02300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"16", ,"1745991"
"Line(02400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"16", ,"276153"
"Line(02500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"16", ,"1039550"
"Line(02600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"17", ,"1056825"
"Line(02700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"21", ,"4945680"
"Line(02800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"23", ,"809174"
"Line(02900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"23", ,"238923"
"Line(03000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"23", ,"223634"
"Line(03100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"30", ,"25825229"
"Line(03200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"31", ,"3167473"
"Line(03300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"50", ,"10421336"
"Line(03400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"53", ,"3456667"
"Line(03500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"54", ,"12019133"
"Line(03600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"54", ,"325583"
"Line(03700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"55", ,"6401473"
"Line(03800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"56", ,"492837"
"Line(03900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"59", ,"80109"
"Line(04000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"60", ,"3055964"
"Line(04100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"60", ,"6134301"
"Line(04200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"62", ,"1290964"
