"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A800000 ","-------------","-------------","-----------",""
"","DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst."
"","","","","THE AMOUNT IS TO BE ADJUSTED","","A-7"
"","","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref."
"","","1","2","3","4","5"
"Entity[549652] Report(A800000)","Entity[549652] Report(A800000[00000])","Entity[549652] Report(A800000[00100])","Entity[549652] Report(A800000[00200])","Entity[549652] Report(A800000[00300])","Entity[549652] Report(A800000[00400])","Entity[549652] Report(A800000[00500])"
"Line(00900)", ,"A","-4875972","MAINTENANCE & REPAIRS","6"
"Line(01000)", , ,"-54837839"
"Line(01200)", , ,"21176710"
"Line(01400)", ,"A","-13646395","CAFETERIA","11"
"Line(02601)", ,"A","11610646", , ,"9"
"Line(02602)", ,"A","18972975", , ,"9"
"Line(02603)", ,"A","1011999", , ,"9"
"Line(02604)", ,"A","14040649", , ,"9"
"Line(02605)", ,"A","3358029", , ,"9"
"Line(02606)", ,"A","66358", , ,"9"
"Line(02607)", ,"A","884289", , ,"9"
"Line(02608)", ,"A","37001", , ,"9"
"Line(02609)", ,"A","5943646", , ,"9"
"Line(02610)", ,"A","1349433", , ,"9"
"Line(02611)", ,"A","45989", , ,"9"
"Line(02612)", ,"A","7047420", , ,"9"
"Line(02613)", ,"A","3890105", , ,"9"
"Line(02615)", ,"A","3011952", , ,"9"
"Line(02616)", ,"A","2705451", , ,"9"
"Line(02618)", ,"A","3536871", , ,"9"
"Line(02619)", ,"A","368907", , ,"9"
"Line(02620)", ,"A","661715", , ,"9"
"Line(02621)", ,"A","18405246", , ,"9"
"Line(02622)", ,"A","1167637", , ,"9"
"Line(02623)", ,"A","7323991", , ,"9"
"Line(02624)", ,"A","567270", , ,"9"
"Line(02625)", ,"A","636077", , ,"9"
"Line(02626)", ,"A","1367784", , ,"9"
"Line(02627)", ,"A","852847", , ,"9"
"Line(02628)", ,"A","467355", , ,"9"
"Line(02629)", ,"A","6951200", , ,"9"
"Line(02630)", ,"A","3980473", , ,"9"
"Line(02631)", ,"A","1970827", , ,"9"
"Line(02632)", ,"A","2972623", , ,"9"
"Line(02633)", ,"A","82752", , ,"9"
"Line(02634)", ,"A","69234", , ,"9"
"Line(02635)", ,"A","60409", , ,"9"
"Line(02636)", ,"A","974772", , ,"9"
"Line(02637)", ,"A","6289907", , ,"9"
