"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CD0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CD0)","Entity[549652] Report(A600CD0[00000])","Entity[549652] Report(A600CD0[00100])", ,"Entity[549652] Report(A600CD0[00300])", ,"Entity[549652] Report(A600CD0[00500])", ,"Entity[549652] Report(A600CD0[00700])", ,"Entity[549652] Report(A600CD0[00900])"
"Line(00100)","EMPLOYEE BENEFITS- FG 40","CD", ,"4", ,"51158961", ,"4", ,"148156"
"Line(00200)","EMPLOYEE BENEFITS- FG 40","CD", ,"191", ,"12228292", ,"5", ,"376683"
"Line(00300)","EMPLOYEE BENEFITS- FG 40","CD", ,"191", ,"14011131", ,"12", ,"21771"
"Line(00400)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"125260"
"Line(00500)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"329561"
"Line(00600)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"393979"
"Line(00700)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"297"
"Line(00800)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"234"
"Line(00900)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"228"
"Line(01000)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"697"
"Line(01100)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"12", ,"118804"
"Line(01200)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"13", ,"503703"
"Line(01300)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"13", ,"178037"
"Line(01400)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"13", ,"77205"
"Line(01500)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"21", ,"69580"
"Line(01600)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"31", ,"1329355"
"Line(01700)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"50", ,"6173022"
"Line(01800)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"53", ,"6822078"
"Line(01900)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"54", ,"10154814"
"Line(02000)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"55", ,"5258619"
"Line(02100)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"56", ,"739544"
"Line(02200)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"60", ,"5487875"
"Line(02300)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"60", ,"691930"
"Line(02400)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"65", ,"1155927"
"Line(02500)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1013338"
"Line(02600)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1770539"
"Line(02700)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2923742"
"Line(02800)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2581570"
"Line(02900)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1331480"
"Line(03000)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2410172"
"Line(03100)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2862115"
"Line(03200)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"862297"
"Line(03300)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1537129"
"Line(03400)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1134108"
"Line(03500)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1122360"
"Line(03600)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"45828"
"Line(03700)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1529001"
"Line(03800)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1869102"
"Line(03900)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1870713"
"Line(04000)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2242401"
"Line(04100)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"3213782"
"Line(04200)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"2761872"
"Line(04300)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"1631169"
"Line(04400)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"172891"
"Line(04500)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"284437"
"Line(04600)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"224227"
"Line(04700)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"90", ,"126501"
"Line(04800)","EMPLOYEE BENEFITS- FG 40","CD", , , , , ,"192", ,"1720251"
