"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[549652] Report(A820010)", ,"Entity[549652] Report(A820010[00100])","Entity[549652] Report(A820010[00200])","Entity[549652] Report(A820010[00300])", ,"Entity[549652] Report(A820010[00500])","Entity[549652] Report(A820010[00600])","Entity[549652] Report(A820010[00700])","Entity[549652] Report(A820010[00800])","Entity[549652] Report(A820010[00900])", , , , ,"Entity[549652] Report(A820010[01400])","Entity[549652] Report(A820010[01500])","Entity[549652] Report(A820010[01600])","Entity[549652] Report(A820010[01700])","Entity[549652] Report(A820010[01800])"
"Line(00100)", ,"21","AGGREGATE-I&R SERVICES-SALARY & FRIN","42128027", ,"42128027","177200","234499","19977511","998876", , , , ,"16793","16793","19994304","22133723","22133723"
"Line(00200)", ,"31","AGGREGATE-INTENSIVE CARE UNIT","2167249", ,"2167249","177200","10367","883189","44159", , , , ,"741","741","883930","1283319","1283319"
"Line(00300)", ,"50","AGGREGATE-OPERATING ROOM","5767057", ,"5767057","208000","25089","2508900","125445", , , , ,"1793","1793","2510693","3256364","3256364"
"Line(00400)", ,"53","AGGREGATE-ANESTHESIOLOGY","6829820", ,"6829820","200300","32162","3097139","154857", , , , ,"2298","2298","3099437","3730383","3730383"
"Line(00500)", ,"54","AGGREGATE-RADIOLOGY-DIAGNOSTIC","8342213", ,"8342213","225300","34703","3758936","187947", , , , ,"2480","2480","3761416","4580797","4580797"
"Line(00600)", ,"55","AGGREGATE-RADIOLOGY-THERAPEUTIC","4839376", ,"4839376","225300","21664","2346586","117329", , , , ,"1548","1548","2348134","2491242","2491242"
"Line(00700)", ,"56","AGGREGATE-RADIOISOTOPE","961564", ,"961564","225300","3763","407598","20380", , , , ,"269","269","407867","553697","553697"
"Line(00800)", ,"60","AGGREGATE-LABORATORY- PATHOLOGY","4657374", ,"4657374","215700","30905","3204908","160245", , , , ,"2209","2209","3207117","1450257","1450257"
"Line(00900)", ,"60","AGGREGATE-LABORATORY- CLINICAL","1079603", ,"1079603","215700","7012","727158","36358", , , , ,"501","501","727659","351944","351944"
"Line(01000)", ,"65","AGGREGATE-RESPIRATORY THERAPY","716982", ,"716982","177200","3981","339151","16958", , , , ,"285","285","339436","377546","377546"
"Line(01100)", ,"90","AGGREGATE-CLINIC- CARDIOLOGY","699141", ,"699141","177200","3641","310185","15509", , , , ,"260","260","310445","388696","388696"
"Line(01200)", ,"90","AGGREGATE-CLINIC- PEDIATRICS","2146536", ,"2146536","177200","19600","1669769","83488", , , , ,"1401","1401","1671170","475366","475366"
"Line(01300)", ,"90","AGGREGATE-CLINIC- GI ONC","2350839", ,"2350839","177200","14657","1248664","62433", , , , ,"1047","1047","1249711","1101128","1101128"
"Line(01400)", ,"90","AGGREGATE-CLINIC- HEMATOLOGY- LEUK/B","2051864", ,"2051864","177200","15506","1320992","66050", , , , ,"1108","1108","1322100","729764","729764"
