"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A6000L0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A6000L0)","Entity[549652] Report(A6000L0[00000])","Entity[549652] Report(A6000L0[00100])", ,"Entity[549652] Report(A6000L0[00300])", ,"Entity[549652] Report(A6000L0[00500])", ,"Entity[549652] Report(A6000L0[00700])", ,"Entity[549652] Report(A6000L0[00900])"
"Line(00100)","RESIDENT MALPRACTICE","L", ,"21", ,"362348", ,"21", ,"317712"
"Line(00200)","RESIDENT MALPRACTICE","L", ,"100", ,"148042", ,"50", ,"89073"
"Line(00300)","RESIDENT MALPRACTICE","L", ,"192", ,"246813", ,"53", ,"21527"
"Line(00400)","RESIDENT MALPRACTICE","L", , , , , ,"54", ,"19504"
"Line(00500)","RESIDENT MALPRACTICE","L", , , , , ,"55", ,"45909"
"Line(00600)","RESIDENT MALPRACTICE","L", , , , , ,"60", ,"44842"
"Line(00700)","RESIDENT MALPRACTICE","L", , , , , ,"60", ,"126"
"Line(00800)","RESIDENT MALPRACTICE","L", , , , , ,"65", ,"781"
"Line(00900)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"8877"
"Line(01000)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"1084"
"Line(01100)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"9227"
"Line(01200)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"417"
"Line(01300)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"3284"
"Line(01400)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"21661"
"Line(01500)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"2167"
"Line(01600)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"1084"
"Line(01700)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"960"
"Line(01800)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"529"
"Line(01900)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"57652"
"Line(02000)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"126"
"Line(02100)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"44296"
"Line(02200)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"29761"
"Line(02300)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"27510"
"Line(02400)","RESIDENT MALPRACTICE","L", , , , , ,"90", ,"5527"
"Line(02500)","RESIDENT MALPRACTICE","L", , , , , ,"191", ,"3567"
