"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A6000B0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A6000B0)","Entity[549652] Report(A6000B0[00000])","Entity[549652] Report(A6000B0[00100])", ,"Entity[549652] Report(A6000B0[00300])", ,"Entity[549652] Report(A6000B0[00500])", ,"Entity[549652] Report(A6000B0[00700])", ,"Entity[549652] Report(A6000B0[00900])"
"Line(00100)","MEDICAL SUPPLIES","B", ,"71", ,"17537484", ,"4", ,"94397"
"Line(00200)","MEDICAL SUPPLIES","B", , , , , ,"5", ,"234725"
"Line(00300)","MEDICAL SUPPLIES","B", , , , , ,"5", ,"67461"
"Line(00400)","MEDICAL SUPPLIES","B", , , , , ,"5", ,"2689"
"Line(00500)","MEDICAL SUPPLIES","B", , , , , ,"5", ,"68806"
"Line(00600)","MEDICAL SUPPLIES","B", , , , , ,"5", ,"10117937"
"Line(00700)","MEDICAL SUPPLIES","B", , , , , ,"6", ,"279469"
"Line(00800)","MEDICAL SUPPLIES","B", , , , , ,"7", ,"8729"
"Line(00900)","MEDICAL SUPPLIES","B", , , , , ,"9", ,"128201"
"Line(01000)","MEDICAL SUPPLIES","B", , , , , ,"10", ,"3835"
"Line(01100)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"24210"
"Line(01200)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"15190"
"Line(01300)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"3011"
"Line(01400)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"4429"
"Line(01500)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"55244"
"Line(01600)","MEDICAL SUPPLIES","B", , , , , ,"12", ,"45026"
"Line(01700)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"172462"
"Line(01800)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"14411"
"Line(01900)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"88844"
"Line(02000)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"31344"
"Line(02100)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"6180"
"Line(02200)","MEDICAL SUPPLIES","B", , , , , ,"13", ,"7409"
"Line(02300)","MEDICAL SUPPLIES","B", , , , , ,"14", ,"1738387"
"Line(02400)","MEDICAL SUPPLIES","B", , , , , ,"15", ,"1996618"
"Line(02500)","MEDICAL SUPPLIES","B", , , , , ,"16", ,"43770"
"Line(02600)","MEDICAL SUPPLIES","B", , , , , ,"16", ,"6335"
"Line(02700)","MEDICAL SUPPLIES","B", , , , , ,"16", ,"9138"
"Line(02800)","MEDICAL SUPPLIES","B", , , , , ,"17", ,"6984"
"Line(02900)","MEDICAL SUPPLIES","B", , , , , ,"21", ,"39551"
"Line(03000)","MEDICAL SUPPLIES","B", , , , , ,"23", ,"9395"
"Line(03100)","MEDICAL SUPPLIES","B", , , , , ,"23", ,"3571"
"Line(03200)","MEDICAL SUPPLIES","B", , , , , ,"23", ,"4656"
"Line(03300)","MEDICAL SUPPLIES","B", , , , , ,"30", ,"47846"
"Line(03400)","MEDICAL SUPPLIES","B", , , , , ,"31", ,"17564"
"Line(03500)","MEDICAL SUPPLIES","B", , , , , ,"54", ,"706035"
"Line(03600)","MEDICAL SUPPLIES","B", , , , , ,"54", ,"1671"
"Line(03700)","MEDICAL SUPPLIES","B", , , , , ,"55", ,"14008"
"Line(03800)","MEDICAL SUPPLIES","B", , , , , ,"56", ,"8292"
"Line(03900)","MEDICAL SUPPLIES","B", , , , , ,"60", ,"46416"
"Line(04000)","MEDICAL SUPPLIES","B", , , , , ,"60", ,"536562"
"Line(04100)","MEDICAL SUPPLIES","B", , , , , ,"62", ,"51576"
"Line(04200)","MEDICAL SUPPLIES","B", , , , , ,"62", ,"18485"
"Line(04300)","MEDICAL SUPPLIES","B", , , , , ,"65", ,"12257"
"Line(04400)","MEDICAL SUPPLIES","B", , , , , ,"66", ,"2604"
"Line(04500)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"5759"
"Line(04600)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"8135"
"Line(04700)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"16612"
"Line(04800)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"30362"
"Line(04900)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"62113"
"Line(05000)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"10525"
"Line(05100)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"24096"
"Line(05200)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"27785"
"Line(05300)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"14722"
"Line(05400)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"10069"
"Line(05500)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"23893"
"Line(05600)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"21036"
"Line(05700)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"435"
"Line(05800)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"17622"
"Line(05900)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"21946"
"Line(06000)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"13546"
"Line(06100)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"26125"
"Line(06200)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"73838"
"Line(06300)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"43091"
"Line(06400)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"69174"
"Line(06500)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"10060"
"Line(06600)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"20034"
"Line(06700)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"74723"
"Line(06800)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"81265"
"Line(06900)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"16640"
"Line(07000)","MEDICAL SUPPLIES","B", , , , , ,"90", ,"18148"
