"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[549652] Report(A000000)","Entity[549652] Report(A000000[00000])","Entity[549652] Report(A000000[00100])","Entity[549652] Report(A000000[00200])","Entity[549652] Report(A000000[00300])","Entity[549652] Report(A000000[00400])","Entity[549652] Report(A000000[00500])","Entity[549652] Report(A000000[00600])","Entity[549652] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT"
"Line(00101)","00101ALKEK", , , , , ,"27162093","27162093"
"Line(00102)","00102AMBULATORY CLINIC BUILDING", , , , , ,"20390395","20390395"
"Line(00103)","00103BASIC RESEARCH/S.P.", , , , , ,"1011999","1011999"
"Line(00104)","00104BASIC SCIENCE RESEARCH BLDG", , , , , ,"14040649","14040649"
"Line(00105)","00105BATES-FREEMAN", , , , , ,"3358029","3358029"
"Line(00106)","00106BELLAIRE TREATMENT CENTER", , , , , ,"66358","66358"
"Line(00107)","00107BRIDGES", , , , , ,"921571","921571"
"Line(00108)","00108CANCER PREVENTION ANNEX", , , , , ,"37001","37001"
"Line(00109)","00109CANCER PREVENTION BUILDING", , , , , ,"5943646","5943646"
"Line(00110)","00110CENTRAL CORE", , , , , ,"1701340","1701340"
"Line(00111)","00111CHAPEL", , , , , ,"45989","45989"
"Line(00112)","00112CLARK CLINIC", , , , , ,"7047420","7047420"
"Line(00113)","00113CLINICAL RESEARCH BUILDING", , , , , ,"3890105","3890105"
"Line(00114)","00114CYCLOTRON"
"Line(00115)","00115FACULTY CENTER", , , , , ,"3011952","3011952"
"Line(00116)","00116FANNIN HOLCOMBE BUILDING", , , , , ,"2705451","2705451"
"Line(00117)","00117GARAGES  ELEC TRAN & LANDSCAPE", , , , , ,"4649867","4649867"
"Line(00118)","00118GIMBEL", , , , , ,"3536871","3536871"
"Line(00119)","00119GIMBEL MECHANICAL", , , , , ,"368907","368907"
"Line(00120)","00120GUHN ROAD BUILDING", , , , , ,"661715","661715"
"Line(00121)","00121MID-CAMPUS BLDG", , , , , ,"18405246","18405246"
"Line(00122)","00122LEMAISTRE CLINIC", , , , , ,"1779776","1779776"
"Line(00123)","00123LUTHERAN HOSPITAL", , , , , ,"7323991","7323991"
"Line(00124)","00124NEW DATA CENTER", , , , , ,"567270","567270"
"Line(00125)","00125PAWNEE STREET WAREHOUSE", , , , , ,"636077","636077"
"Line(00126)","00126PHYSICAL PLANT", , , , , ,"1367784","1367784"
"Line(00127)","00127RADIOLOGY O/P CENTER", , , , , ,"852847","852847"
"Line(00128)","00128RADIOTHERAPY", , , , , ,"467355","467355"
"Line(00129)","00129SCIENCE PARK", , , , , ,"6964020","6964020"
"Line(00130)","00130SMITH RESEARCH BUILDING", , , , , ,"3980473","3980473"
"Line(00131)","00131SOUTH CAMPUS RESEARCH BLDG #1", , , , , ,"1970827","1970827"
"Line(00132)","00132SOUTH CAMPUS RESEARCH BLDG #2", , , , , ,"2972623","2972623"
"Line(00133)","00133OPERATIONS & MAINTENANCE BLDG", , , , , ,"82752","82752"
"Line(00134)","00134HAZERDOUS WASTE FACILITY", , , , , ,"69234","69234"
"Line(00135)","00135PETNET BUILDING", , , , , ,"60409","60409"
"Line(00136)","00136CENTRAL PLANT BUILDING", , , , , ,"974772","974772"
"Line(00137)","00137T BOONE PICKENS ACADEMIC TOWER", , , , , ,"6289907","6289907"
"Line(00138)","00138SOUTH CAMPUS RESEARCH BLDG #3", , , , , ,"5215968","5215968"
"Line(00139)","00139MEDICAL SUPPORT FACILITY", , , , , ,"239040","239040"
"Line(00140)","00140SOUTH CAMPUS RESEARCH BLDG #4", , , , , ,"4563943","4563943"
"Line(00141)","00141HOLLY HALL", , , , , ,"140908","140908"
"Line(00142)","00142PLAZA DEL ORO", , , , , ,"750636","750636"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"22815956","22815956","115444810","138260766"
"Line(00201)","00201LEASEHOLDS/IMPROVEMENTS", , , , , ,"2365978","2365978"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","36331556","13050447","49382003","-8539237","40842766","-16452713","24390053"
"Line(00401)","00404EMPLOYEE BENEFITS DEPARTMENT", ,"22259775","22259775","279428450","301688225", ,"301688225"
"Line(00402)","00402EMPLOYEE BENEFITS PRS","20043430","2975141","23018571","-4138089","18880482","-14797","18865685"
"Line(00403)","00403EMPLOYEE BENEFITS ALL OTHER", , , ,"28326107","28326107", ,"28326107"
"Line(00502)","00551DATA PROCESSING","64899285","108025758","172925043","-13843658","159081385","-32343","159049042"
"Line(00503)","00561PURCHASING RECEIVING AND STORES","7924348","2479046","10403394","-2388412","8014982", ,"8014982"
"Line(00504)","00540ADMITTING","649290","213032","862322","-201381","660941", ,"660941"
"Line(00505)","00550CASHIERING/ACCOUNTS RECEIVABLE","13668476","9795398","23463874","-14842036","8621838","-1994","8619844"
"Line(00506)","00560OTHER ADMINISTRATIVE AND GENERA","56672978","23647848","80320826","-38597006","41723820","13234276","54958096"
"Line(00600)","00600MAINTENANCE & REPAIRS","55808344","83791239","139599583","-19335113","120264470","-8830245","111434225"
"Line(00700)","00700OPERATION OF PLANT","15290807","57429793","72720600","-8195692","64524908","-30762","64494146"
