"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report C000191 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[549652] Report(C000191)", ,"Entity[549652] Report(C000191[00100])", ,"Entity[549652] Report(C000191[00300])","Entity[549652] Report(C000191[00400])","Entity[549652] Report(C000191[00500])","Entity[549652] Report(C000191[00600])","Entity[549652] Report(C000191[00700])","Entity[549652] Report(C000191[00800])","Entity[549652] Report(C000191[00900])","Entity[549652] Report(C000191[01000])"
"Line(03000)", ,"264115953", ,"264115953", ,"264115953", , ,"358660077"
"Line(03100)", ,"31984895", ,"31984895","1283319","33268214", , ,"47171880"
"Line(05000)", ,"146785298", ,"146785298","3256364","150041662", , ,"270163608","1","1"
"Line(05300)", ,"30721359", ,"30721359","3730383","34451742", , ,"88202078","0","0"
"Line(05400)", ,"166980625", ,"166980625","4580797","171561422", , ,"912684664","0","0"
"Line(05401)", ,"6819676", ,"6819676", ,"6819676", , ,"112078280","0","0"
"Line(05500)", ,"80608336", ,"80608336","2491242","83099578", , ,"276728755","0","0"
"Line(05600)", ,"8685871", ,"8685871","553697","9239568", , ,"20919233","0","0"
"Line(05900)", ,"2600433", ,"2600433", ,"2600433", , ,"8554914","0","0"
"Line(06001)", ,"41370211", ,"41370211","1450257","42820468", , ,"69183360","1","1"
"Line(06002)", ,"95646742", ,"95646742","351944","95998686", , ,"712294786","0","0"
"Line(06200)", ,"35273914", ,"35273914", ,"35273914", , ,"95129709","0","0"
"Line(06201)", ,"26839153", ,"26839153", ,"26839153", , ,"43324331","1","1"
"Line(06500)", ,"13229654", ,"13229654","377546","13607200", , ,"79346845","0","0"
"Line(06600)", ,"13780745", ,"13780745", ,"13780745", , ,"24022415","1","1"
"Line(06900)", ,"7297243", ,"7297243", ,"7297243", , ,"62155339","0","0"
"Line(07000)", ,"793662", ,"793662", ,"793662", , ,"3111291","0","0"
"Line(07100)", ,"28645758", ,"28645758", ,"28645758", , ,"38987365","1","1"
"Line(07200)", ,"21408267", ,"21408267", ,"21408267", , ,"24857206","1","1"
"Line(07300)", ,"499270890", ,"499270890", ,"499270890", , ,"1629411021","0","0"
"Line(09001)", ,"7182660", ,"7182660","388696","7571356", , ,"3546191","2","2"
"Line(09002)", ,"13664874", ,"13664874", ,"13664874", , ,"27989622","0","0"
"Line(09003)", ,"369628", ,"369628", ,"369628", , ,"183075","2","2"
"Line(09004)", ,"16757198", ,"16757198","475366","17232564", , ,"6875462","2","2"
"Line(09005)", ,"34996827", ,"34996827","1101128","36097955", , ,"57590087","1","1"
"Line(09006)", ,"20063273", ,"20063273","729764","20793037", , ,"9555120","2","2"
"Line(09007)", ,"15581321", ,"15581321","492742","16074063", , ,"7823994","2","2"
"Line(09008)", ,"9523617", ,"9523617", ,"9523617", , ,"33719923","0","0"
"Line(09009)", ,"17433166", ,"17433166","760816","18193982", , ,"9353109","2","2"
"Line(09010)", ,"16423128", ,"16423128","1383345","17806473", , ,"6468089","3","3"
"Line(09011)", ,"8386887", ,"8386887","360000","8746887", , ,"8521944","1","1"
"Line(09012)", ,"7883156", ,"7883156","444995","8328151", , ,"2896219","3","3"
"Line(09013)", ,"17472962", ,"17472962","734541","18207503", , ,"9482990","2","2"
"Line(09014)", ,"19398291", ,"19398291","184610","19582901", , ,"53698824","0","0"
"Line(09015)", ,"8114025", ,"8114025", ,"8114025", , ,"5443379","1","1"
"Line(09016)", ,"9580836", ,"9580836","634719","10215555", , ,"4355827","2","2"
"Line(09017)", ,"18256316", ,"18256316","1504039","19760355", , ,"4757774","4","4"
"Line(09018)", ,"17226336", ,"17226336","666424","17892760", , ,"6560930","3","3"
"Line(09019)", ,"10361711", ,"10361711","692074","11053785", , ,"13568974","1","1"
"Line(09020)", ,"26371098", ,"26371098","1471421","27842519", , ,"23338932","1","1"
"Line(09021)", ,"25332824", ,"25332824","558893","25891717", , ,"20194888","1","1"
"Line(09022)", ,"32310044", ,"32310044", ,"32310044", , ,"128391910","0","0"
"Line(09023)", ,"527353", ,"527353", ,"527353", , ,"129368","4","4"
"Line(09024)", ,"4735080", ,"4735080", ,"4735080", , ,"2065034","2","2"
"Line(09025)", ,"16756330", ,"16756330","354093","17110423", , ,"19168591","1","1"
"Line(09026)", ,"10938088", ,"10938088","542633","11480721", , ,"5956908","2","2"
"Line(09027)", ,"12286239", ,"12286239","241273","12527512", , ,"38770619","0","0"
"Line(09028)", ,"20020397", ,"20020397","402117","20422514", , ,"38291513","1","1"
"Line(09029)", ,"15508540", ,"15508540","142206","15650746", , ,"32244510","0","0"
"Line(09030)", ,"21349335", ,"21349335","362672","21712007", , ,"47719225","0","0"
"Line(09200)", , , ,"5481868", ,"5481868", , ,"5247982","1","1"
"Line(09700)", ,"193646", ,"193646", ,"193646", , ,"171180","1","1"
"Line(10000)", ,"7844566", ,"7844566", ,"7844566"
"Line(20000)", ,"1991190305", ,"1991190305","32704116","2023894421", , ,"2147483647"
"Line(20100)", ,"5481868", ,"5481868", ,"5481868"
