"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[549652] Report(A700001)", ,"Entity[549652] Report(A700001[00100])","Entity[549652] Report(A700001[00200])", ,"Entity[549652] Report(A700001[00400])","Entity[549652] Report(A700001[00500])","Entity[549652] Report(A700001[00600])"
"Line(00100)", ,"196749455","17511193", ,"17511193","426806","213833842"
"Line(00200)", ,"12258492","431437", ,"431437", ,"12689929"
"Line(00300)", ,"2147483647","109005258", ,"109005258", ,"2147483647"
"Line(00400)", ,"41124794","5862518", ,"5862518", ,"46987312"
"Line(00600)", ,"819789250","176455246", ,"176455246","39566082","956678414"
"Line(00800)", ,"2147483647","309265652", ,"309265652","39992888","2147483647"
