"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CI0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CI0)","Entity[549652] Report(A600CI0[00000])","Entity[549652] Report(A600CI0[00100])", ,"Entity[549652] Report(A600CI0[00300])","Entity[549652] Report(A600CI0[00400])","Entity[549652] Report(A600CI0[00500])", ,"Entity[549652] Report(A600CI0[00700])","Entity[549652] Report(A600CI0[00800])","Entity[549652] Report(A600CI0[00900])"
"Line(00100)","NON-PTAS MDS","CI", ,"192","6202263","1973209", ,"4","28742"
"Line(00200)","NON-PTAS MDS","CI", , , , , ,"4","475624","86500"
"Line(00300)","NON-PTAS MDS","CI", , , , , ,"5","6159"
"Line(00400)","NON-PTAS MDS","CI", , , , , ,"13","58327"
"Line(00500)","NON-PTAS MDS","CI", , , , , ,"13","12001"
"Line(00600)","NON-PTAS MDS","CI", , , , , ,"21","2569496"
"Line(00700)","NON-PTAS MDS","CI", , , , , ,"50","498540","988694"
"Line(00800)","NON-PTAS MDS","CI", , , , , ,"53","51748"
"Line(00900)","NON-PTAS MDS","CI", , , , , ,"54","181427"
"Line(01000)","NON-PTAS MDS","CI", , , , , ,"55","199418"
"Line(01100)","NON-PTAS MDS","CI", , , , , ,"60","366338"
"Line(01200)","NON-PTAS MDS","CI", , , , , ,"60","401536"
"Line(01300)","NON-PTAS MDS","CI", , , , , ,"65","2141"
"Line(01400)","NON-PTAS MDS","CI", , , , , ,"90","20204"
"Line(01500)","NON-PTAS MDS","CI", , , , , ,"90","17720"
"Line(01600)","NON-PTAS MDS","CI", , , , , ,"90","84953"
"Line(01700)","NON-PTAS MDS","CI", , , , , ,"90","127304"
"Line(01800)","NON-PTAS MDS","CI", , , , , ,"90","60092"
"Line(01900)","NON-PTAS MDS","CI", , , , , ,"90","5520"
"Line(02000)","NON-PTAS MDS","CI", , , , , ,"90","175987"
"Line(02100)","NON-PTAS MDS","CI", , , , , ,"90","192496"
"Line(02200)","NON-PTAS MDS","CI", , , , , ,"90","132557"
"Line(02300)","NON-PTAS MDS","CI", , , , , ,"90","155404"
"Line(02400)","NON-PTAS MDS","CI", , , , , ,"90","292734"
"Line(02500)","NON-PTAS MDS","CI", , , , , ,"90","85795"
"Line(02600)","NON-PTAS MDS","CI", , , , , ,"90", ,"801145"
"Line(02700)","NON-PTAS MDS","CI", , , , , ,"90", ,"96870"
