"----------"," Entity 549652"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[549652] Report(A000000[00000])","Entity[549652] Report(A000000[00100])","Entity[549652] Report(A000000[00200])","Entity[549652] Report(A000000[00300])","Entity[549652] Report(A000000[00400])","Entity[549652] Report(A000000[00500])","Entity[549652] Report(A000000[00600])","Entity[549652] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", , , , , , , , , , , , , , , , , , , 
"00101ALKEK", , , , , ,"27162093","27162093", , , , , , , , , , , , 
"00102AMBULATORY CLINIC BUILDING", , , , , ,"20390395","20390395", , , , , , , , , , , , 
"00103BASIC RESEARCH/S.P.", , , , , ,"1011999","1011999", , , , , , , , , , , , 
"00104BASIC SCIENCE RESEARCH BLDG", , , , , ,"14040649","14040649", , , , , , , , , , , , 
"00105BATES-FREEMAN", , , , , ,"3358029","3358029", , , , , , , , , , , , 
"00106BELLAIRE TREATMENT CENTER", , , , , ,"66358","66358", , , , , , , , , , , , 
"00107BRIDGES", , , , , ,"921571","921571", , , , , , , , , , , , 
"00108CANCER PREVENTION ANNEX", , , , , ,"37001","37001", , , , , , , , , , , , 
"00109CANCER PREVENTION BUILDING", , , , , ,"5943646","5943646", , , , , , , , , , , , 
"00110CENTRAL CORE", , , , , ,"1701340","1701340", , , , , , , , , , , , 
"00111CHAPEL", , , , , ,"45989","45989", , , , , , , , , , , , 
"00112CLARK CLINIC", , , , , ,"7047420","7047420", , , , , , , , , , , , 
"00113CLINICAL RESEARCH BUILDING", , , , , ,"3890105","3890105", , , , , , , , , , , , 
"00114CYCLOTRON", , , , , , , , , , , , , , , , , , , 
"00115FACULTY CENTER", , , , , ,"3011952","3011952", , , , , , , , , , , , 
"00116FANNIN HOLCOMBE BUILDING", , , , , ,"2705451","2705451", , , , , , , , , , , , 
"00117GARAGES  ELEC TRAN & LANDSCAPE", , , , , ,"4649867","4649867", , , , , , , , , , , , 
"00118GIMBEL", , , , , ,"3536871","3536871", , , , , , , , , , , , 
"00119GIMBEL MECHANICAL", , , , , ,"368907","368907", , , , , , , , , , , , 
"00120GUHN ROAD BUILDING", , , , , ,"661715","661715", , , , , , , , , , , , 
"00121MID-CAMPUS BLDG", , , , , ,"18405246","18405246", , , , , , , , , , , , 
"00122LEMAISTRE CLINIC", , , , , ,"1779776","1779776", , , , , , , , , , , , 
"00123LUTHERAN HOSPITAL", , , , , ,"7323991","7323991", , , , , , , , , , , , 
"00124NEW DATA CENTER", , , , , ,"567270","567270", , , , , , , , , , , , 
"00125PAWNEE STREET WAREHOUSE", , , , , ,"636077","636077", , , , , , , , , , , , 
"00126PHYSICAL PLANT", , , , , ,"1367784","1367784", , , , , , , , , , , , 
"00127RADIOLOGY O/P CENTER", , , , , ,"852847","852847", , , , , , , , , , , , 
"00128RADIOTHERAPY", , , , , ,"467355","467355", , , , , , , , , , , , 
"00129SCIENCE PARK", , , , , ,"6964020","6964020", , , , , , , , , , , , 
"00130SMITH RESEARCH BUILDING", , , , , ,"3980473","3980473", , , , , , , , , , , , 
"00131SOUTH CAMPUS RESEARCH BLDG #1", , , , , ,"1970827","1970827", , , , , , , , , , , , 
"00132SOUTH CAMPUS RESEARCH BLDG #2", , , , , ,"2972623","2972623", , , , , , , , , , , , 
"00133OPERATIONS & MAINTENANCE BLDG", , , , , ,"82752","82752", , , , , , , , , , , , 
"00134HAZERDOUS WASTE FACILITY", , , , , ,"69234","69234", , , , , , , , , , , , 
"00135PETNET BUILDING", , , , , ,"60409","60409", , , , , , , , , , , , 
"00136CENTRAL PLANT BUILDING", , , , , ,"974772","974772", , , , , , , , , , , , 
"00137T BOONE PICKENS ACADEMIC TOWER", , , , , ,"6289907","6289907", , , , , , , , , , , , 
"00138SOUTH CAMPUS RESEARCH BLDG #3", , , , , ,"5215968","5215968", , , , , , , , , , , , 
"00139MEDICAL SUPPORT FACILITY", , , , , ,"239040","239040", , , , , , , , , , , , 
"00140SOUTH CAMPUS RESEARCH BLDG #4", , , , , ,"4563943","4563943", , , , , , , , , , , , 
"00141HOLLY HALL", , , , , ,"140908","140908", , , , , , , , , , , , 
"00142PLAZA DEL ORO", , , , , ,"750636","750636", , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", , , ,"22815956","22815956","115444810","138260766", , , , , , , , , , , , 
"00201LEASEHOLDS/IMPROVEMENTS", , , , , ,"2365978","2365978", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", , , , , , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT","36331556","13050447","49382003","-8539237","40842766","-16452713","24390053", , , , , , , , , , , , 
"00404EMPLOYEE BENEFITS DEPARTMENT", ,"22259775","22259775","279428450","301688225", ,"301688225", , , , , , , , , , , , 
"00402EMPLOYEE BENEFITS PRS","20043430","2975141","23018571","-4138089","18880482","-14797","18865685", , , , , , , , , , , , 
"00403EMPLOYEE BENEFITS ALL OTHER", , , ,"28326107","28326107", ,"28326107", , , , , , , , , , , , 
"00551DATA PROCESSING","64899285","108025758","172925043","-13843658","159081385","-32343","159049042", , , , , , , , , , , , 
