,,,,,Capital Cost,Operating Cost,,,Cost Net of,Total,,
,,,,Total Cost,"(Wkst B,",Net of,,Operating Cost,Capital and,Charges,Outpatient Cost,
,,Cost Center Descriptions,,"(Wkst. B,","Part II, ",Capital Cost,Capital,Reduction,Operating Cost,"(Worksheet C,",to Charge Ratio,
,,,,"Part I, col. 26)",col. 26),(col. 1 - col. 2),Reduction,Amount,Reduction,"Part I, column 8)",(col. 6 ÷ col. 7),
,,,,1,2,3,4,5,6,7,8,
,,ANCILLARY SERVICE COST CENTERS,,,,,,,,,,
,50, Operating Room,,,,,,,,,,50
,51, Recovery Room,,,,,,,,,,51
,52, Labor Room and Delivery Room ,,,,,,,,,,52
,53, Anesthesiology,,,,,,,,,,53
,54, Radiology-Diagnostic,,,,,,,,,,54
,55, Radiology-Therapeutic,,,,,,,,,,55
,56, Radioisotope,,,,,,,,,,56
,57, Computed Tomography (CT) Scan,,,,,,,,,,57
,58, Magnetic Resonance Imaging (MRI),,,,,,,,,,58
,59, Cardiac Catherization,,,,,,,,,,59
,60, Laboratory,,,,,,,,,,60
,61, PBP Clinical Laboratory Services-Prgm. Only,,,,,,,,,,61
,62, Whole Blood & Packed Red Blood Cells,,,,,,,,,,62
,63," Blood Storing, Processing, & Trans.",,,,,,,,,,63
,64, Intravenous Therapy,,,,,,,,,,64
,65, Respiratory Therapy,,,,,,,,,,65
,66, Physical Therapy,,,,,,,,,,66
,67, Occupational Therapy,,,,,,,,,,67
,68, Speech Pathology,,,,,,,,,,68
,69, Electrocardiology,,,,,,,,,,69
,70, Electroencephalography,,,,,,,,,,70
,71, Medical Supplies Charged to Patients,,,,,,,,,,71
,72, Implantable Devices Charged to Patients,,,,,,,,,,72
,73, Drugs Charged to Patients,,,,,,,,,,73
,74, Renal Dialysis,,,,,,,,,,74
,75, ASC (Non-Distinct Part),,,,,,,,,,75
,76, Other Ancillary (specify),,,,,,,,,,76
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTIONS 4023 & 4023.2)",,,,,,,,,,,
,Rev. 2,,,,,,,,,,,            40-565
,4090 (Cont.),,,        FORM CMS-2552-10,,,,,,,,08-11
,CALCULATION OF OUTPATIENT SERVICE COST TO ,,,   [  ] Title V,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET C.,
,CHARGE RATIOS NET OF REDUCTIONS FOR MEDICAID ONLY,,,   [  ] Title XIX,,,,, FROM ____________,, PART II (CONT.),
,,,,,,, ________________,, TO _______________,,,
,,,,,Capital Cost,Operating Cost,,,Cost Net of,Total,,
,,,,Total Cost,"(Wkst B,",Net of,,Operating Cost,Capital and,Charges,Outpatient Cost,
,,Cost Center Descriptions,,"(Wkst. B,","Part II, ",Capital Cost,Capital,Reduction,Operating Cost,"(Worksheet C,",to Charge Ratio,
,,,,"Part I, col. 26)",col. 26),(col. 1 - col. 2),Reduction,Amount,Reduction,"Part I, column 8)",(col. 6 ÷ col. 7),
,,,,1,2,3,4,5,6,7,8,
,,OUTPATIENT SERVICE COST CENTERS,,,,,,,,,,
,88, Rural Health Clinic (RHC),,,,,,,,,,88
,89, Federally Qualified Health Center (FQHC),,,,,,,,,,89
,90, Clinic,,,,,,,,,,90
,91, Emergency,,,,,,,,,,91
,92, Observation Beds (see instructions),,,,,,,,,,92
,93, Other Outpatient Service (specify),,,,,,,,,,93
,,OTHER REIMBURSABLE COST CENTERS,,,,,,,,,,
,94, Home Program Dialysis,,,,,,,,,,94
,95, Ambulance Services,,,,,,,,,,95
,96, Durable Medical Equipment-Rented,,,,,,,,,,96
,97, Durable Medical Equipment-Sold,,,,,,,,,,97
,98, Other Reimbursable (specify),,,,,,,,,,98
,99, Outpatient Rehabilitation Provider (specify),,,,,,,,,,99
,100, Intern-Resident Service (not appvd. tchng. prgm.),,,,,,,,,,100
,101, Home Health Agency,,,,,,,,,,101
,105, Kidney Acquisition,,,,,,,,,,105
,106, Heart Acquisition,,,,,,,,,,106
,107, Liver Acquisition,,,,,,,,,,107
,108, Lung Acquisition,,,,,,,,,,108
,109, Pancreas Acquisition,,,,,,,,,,109
,110, Intestinal Acquisition,,,,,,,,,,110
,111, Islet Acquisition,,,,,,,,,,111
,112, Other Organ Acquisition (specify),,,,,,,,,,112
,115, Ambulatory Surgical Center (Distinct Part),,,,,,,,,,115
,116, Hospice,,,,,,,,,,116
,117, Other Special Purpose (specify),,,,,,,,,,117
,200, Subtotal (sum of lines 50 thru 199),,,,,,,,,,200
,201, Less Observation Beds,,,,,,,,,,201
,202, Total (line 200 minus line 201),,,,,,,,,,202
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTIONS 4023 & 4023.2)",,,,,,,,,,,
,40-566,,,,,,,,,,,Rev. 2
