PART I - NOT IN APPROVED TEACHING PROGRAM,,,,,,,,,PART I - NOT IN APPROVED TEACHING PROGRAM,,,,,,,,
,,,,,Percent of,Expense,Total Inpatient Days,,,Average Cost,,Health Care Program Inpatient Days,,Title V,Title XVIII,Title XIX,
,,Cost Centers,,,Assigned Time,Allocation, All Patients,,,Per Day,Title V,"Title XVIII, Part B",Title XIX,(col. 4 x col. 5),(col. 4 x col. 6),(col. 4 x col. 7),
,,,,,1,2,3,,,4,5,6,7,8,9,10,
1, Total cost of services rendered,,,,100,,,1,1,,,,,,,,1
,Hospital Inpatient Routine Services:,,,,,,,,,,,,,,,,
2, ,Adults & pediatrics (general routine care),,,,,,2,2,,,,,,,,2
3,,Intensive care unit,,,,,,3,3,,,,,,,,3
4,,Coronary care unit,,,,,,4,4,,,,,,,,4
5,,Burn Intensive Care Unit,,,,,,5,5,,,,,,,,5
6,,Surgical Intensive Care Unit,,,,,,6,6,,,,,,,,6
7,,Other Special Care (specify),,,,,,7,7,,,,,,,,7
8,,Nursery,,,,,,8,8,,,,,,,,8
9, Subtotal (sum of lines 2 through 8),,,,,,,9,9,,,,,,,,9
10, IPF - Inpatient routine service,,,,,,,10,10,,,,,,,,10
11, IRF - Inpatient routine service,,,,,,,11,11,,,,,,,,11
12, Subprovider (Other) - Inpatient routine service,,,,,,,12,12,,,,,,,,12
13, Skilled Nursing Facility,,,,,,,13,13,,,,,,,,13
14, Nursing Facility,,,,,,,14,14,,,,,,,,14
15, Other Long Term Care,,,,,,,15,15,,,,,,,,15
16, Home Health Agency,,,,,,,16,16,,,,,,,,16
17, Outpatient Rehabilitation Providers,,,,,,,17,17,,,,,,,,17
18, Ambulatory Surgical Center,,,,,,,18,18,,,,,,,,18
19, Hospice,,,,,,,19,19,,,,,,,,19
20, Subtotal (sum of lines 9 through 19),,,,,,,20,20,,,,,,,,20
,,,,,,,Total Charges,,,Ratio of Cost,,Titles V and XIX Outpatient and ,,,Titles V and XIX Outpatient and ,,
,,,,,,,"(from Worksheet C,",,,to Charges,,Title XVIII Part B Charges,,,Title XVIII Part B Cost,,
,,,,,,,"Part I, column 8,",,,(column 2 ÷,Title,Title XVIII,Title,  Title,Title XVIII,Title,
,Hospital Outpatient Services:,,,,,,lines 88 through 93),,,column 3),V,Part B,XIX,V,Part B,XIX,
21,,Rural Health Clinic (RHC),,,,,,21,21,,,,,,,,21
22,,Federally Qualified Health Center (FQHC),,,,,,22,22,,,,,,,,22
23,,Clinic,,,,,,23,23,,,,,,,,23
24,,Emergency,,,,,,24,24,,,,,,,,24
25,,Observation beds,,,,,,25,25,,,,,,,,25
26,,Other Outpatient Service (specify),,,,,,26,26,,,,,,,,26
27, Subtotal (sum of lines 21 through 26),,,,,,,27,27,,,,,,,,27
28, Total (sum of lines 20 and 27),,,,100,,,28,28,,,,,,,,28
"PART II - IN AN APPROVED TEACHING PROGRAM (TITLE XVIII, PART B INPATIENT ROUTINE COSTS ONLY)",,,,,,,,,"PART II - IN AN APPROVED TEACHING PROGRAM (TITLE XVIII, PART B INPATIENT ROUTINE COSTS ONLY)",,,,,,,,
,,,,,Expenses Allocated,,,,,,Average Cost,,Expenses,,,,
,,,,,to cost centers,,Net Cost,,,Total,Per Day,Title XVIII,Applicable,,,,
,,,,,"on Worksheet B, Part I",Swing Bed,(column 1 plus,,, Inpatient Days -,(column 3 ÷, Part B,to Title XVIII,,,,
,,,,, columns 21 and 22,Amount,column 2),,, All Patients,column 4), Inpatient Days,(col. 5 x col. 6),,,,
,Hospital Inpatient Routine Services:,,,,1,2,3,,,4,5,6,7,,,,
29,,Adults & Pediatrics (general routine care),,,,,,29,29,,,,,,,,29
30,,Swing Bed - SNF,,,,,,30,30,,,,,,,,30
31,,Swing Bed - NF,,,,,,31,31,,,,,,,,31
32,,Intensive care unit,,,,,,32,32,,,,,,,,32
33,,Coronary care unit,,,,,,33,33,,,,,,,,33
34,,Burn Intensive Care Unit,,,,,,34,34,,,,,,,,34
35,,Surgical Intensive Care Unit,,,,,,35,35,,,,,,,,35
36,,Other Special Care (specify),,,,,,36,36,,,,,,,,36
37," Subtotal (sum of lines 28, and 29 through 36)",,,,,,,37,37,,,,,,,,37
38, IPF - Inpatient routine service,,,,,,,38,38,,,,,,,,38
39, IRF - Inpatient routine service,,,,,,,39,39,,,,,,,,39
40, Subprovider (Other)- Inpatient routine service,,,,,,,40,40,,,,,,,,40
41, Skilled Nursing Facility,,,,,,,41,41,,,,,,,,41
42, Total (sum of lines 37 through 41),,,,,,,42,42,,,,,,,,42
PART III - SUMMARY FOR TITLE XVIII (TO BE COMPLETED ONLY IF BOTH PARTS I AND II ARE USED),,,,,,,,,PART III - SUMMARY FOR TITLE XVIII (TO BE COMPLETED ONLY IF BOTH PARTS I AND II ARE USED),,,,,,,,
,,,,,, Not In Approved Teaching Program,,,,In Approved Teaching Program,,Total Title XVIII Costs,,,,,
,,,,,,(from Part I),Amount,,,"(from Part II, col. 7)",Amount,"(to Wkst. E, Part B)",(col. 2 + col. 4),,,,
,Hospital,,,,,1,2,,,3,4,5,6,,,,
43, Inpatient,,,,,"     column 9, line 9",,43,43,line 37,,,,,,,43
44, Outpatient,,,,,"     column 9, line 27",,44,44,,,,,,,,44
45, Total Hospital (sum of lines 43 and 44),,,,,,,45,45,,,line 2,,,,,45
46, IPF - Inpatient routine service,,,,,"     column 9, line 10 ",,46,46,line 38,,line 2,,,,,46
47, IRF - Inpatient routine service,,,,,"     column 9, line 11",,47,47,line 39,,line 2,,,,,47
48, Subprovider (Other)- Inpatient routine service,,,,,"     column 9, line 12",,48,48,line 40,,line 2,,,,,48
49, Skilled Nursing Facility,,,,,"     column 9, line 13",,49,49,line 41,,line 2,,,,,49
