"----------"," Entity 565497"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[565497] Report(A000000[00000])","Entity[565497] Report(A000000[00100])","Entity[565497] Report(A000000[00200])","Entity[565497] Report(A000000[00300])","Entity[565497] Report(A000000[00400])","Entity[565497] Report(A000000[00500])","Entity[565497] Report(A000000[00600])","Entity[565497] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", , , ,"19093762","19093762","-35786","19057976", , , , , , , , , , , , 
"00101NEW CAPITAL-BLDG INTEREST", , , ,"16804547","16804547","-9020783","7783764", , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", , , ,"23711960","23711960", ,"23711960", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", , , , , , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT","10442821","75913486","86356307","14671446","101027753","-281666","100746087", , , , , , , , , , , , 
"01160COMMUNICATION","922073","2823277","3745350","-157887","3587463","-265742","3321721", , , , , , , , , , , , 
"00550SYSTEM & COMPUTERS","6309581","10504041","16813622","-3877427","12936195","4801934","17738129", , , , , , , , , , , , 
"00560PURCHASING","1456795","-1197065","259730","2934843","3194573","132058","3326631", , , , , , , , , , , , 
"00561OPC STORES", ,"42196","42196","-42196", , , , , , , , , , , , , , , 
"00570PATIENT AFFAIRS","2336366","394477","2730843","-22723","2708120","211792","2919912", , , , , , , , , , , , 
"01140PATIENT ADMITTING","2298997","228776","2527773","-43324","2484449","208404","2692853", , , , , , , , , , , , 
"00580PATIENT ACCOUNTS","4844591","5139454","9984045","74969","10059014","439107","10498121", , , , , , , , , , , , 
"00590ACCOUNTING","1719073","1612178","3331251","-98709","3232542","155834","3388376", , , , , , , , , , , , 
"00591EMPLOYEE HEALTH SERVICES","335122","822769","1157891","-71532","1086359","-105687","980672", , , , , , , , , , , , 
"00596PASTORAL CARE","830469","226903","1057372","-187504","869868","72557","942425", , , , , , , , , , , , 
"00592HOSPITAL ADMINSTRATION","37789622","145119747","182909369","-25466083","157443286","-15321112","142122174", , , , , , , , , , , , 
"00593AMBULATORY ADMINISTRATION","4556833","4769938","9326771","-1617144","7709627","281643","7991270", , , , , , , , , , , , 
"00595PRIMARY CARE ADMINISTRATION","45116","4689565","4734681","-73470","4661211","-14815","4646396", , , , , , , , , , , , 
"00600MAINTENANCE & REPAIRS", , , , , , , , , , , , , , , , , , , 
"00700OPERATION OF PLANT","7801393","27861696","35663089","-5584597","30078492","-233045","29845447", , , , , , , , , , , , 
"00701SAFETY AND SECURITY","2336647","848426","3185073","-1039169","2145904","211818","2357722", , , , , , , , , , , , 
"00800LAUNDRY & LINEN SERVICE", ,"2956012","2956012","-88356","2867656","-62","2867594", , , , , , , , , , , , 
"00900HOUSEKEEPING","1054423","8845903","9900326","-9900326", , , , , , , , , , , , , , , 
"01000DIETARY","2954117","5138701","8092818","-2622660","5470158","267791","5737949", , , , , , , , , , , , 
"01100CAFETERIA","306599","538535","845134","1936182","2781316","-2781316", , , , , , , , , , , , , 
"01200MAINTENANCE OF PERSONNEL", , , , , , , , , , , , , , , , , , , 
"01201PATIENT TRANSPORTATION","802982","231967","1034949","-4067","1030882","72790","1103672", , , , , , , , , , , , 
"01300NURSING ADMINISTRATION","2148350","916943","3065293","-77746","2987547","181375","3168922", , , , , , , , , , , , 
"01400CENTRAL SERVICES & SUPPLY","1265223","2361074","3626297","-1750789","1875508","114285","1989793", , , , , , , , , , , , 
"01401CENTRAL PROCESSING","749436","475523","1224959","-104023","1120936","67936","1188872", , , , , , , , , , , , 
"01500PHARMACY","8063065","30385946","38449011","-29306361","9142650","579874","9722524", , , , , , , , , , , , 
"01600MEDICAL RECORDS & LIBRARY","4476675","4897582","9374257","-561757","8812500","358452","9170952", , , , , , , , , , , , 
"01700SOCIAL SERVICE","2573178","220773","2793951","24127","2818078","233258","3051336", , , , , , , , , , , , 
"01701HOSPITAL MEDICAL ADMIN", , , , , , , , , , , , , , , , , , , 
"01900NONPHYSICIAN ANESTHETISTS", , , ,"3454122","3454122","-3454122", , , , , , , , , , , , , 
"02000NURSING SCHOOL", , , , , , , , , , , , , , , , , , , 
"02100I&R SERVICES-SALARY & FRINGES A","33795970","858865","34654835","5177155","39831990","2906606","42738596", , , , , , , , , , , , 
"02200I&R SERVICES-OTHER PRGM COSTS A", , , , , , , , , , , , , , , , , , , 
"02300PARAMED ED PRGM-(SPECIFY)", , , , , , , , , , , , , , , , , , , 
"02301PARAMEDICAL ED-MICU","555561","305834","861395","-71719","789676","-174411","615265", , , , , , , , , , , , 
"02302PARAMEDICAL ED-SOCIAL WORK", , , , , , , , , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","35683908","7357467","43041375","3111932","46153307","3224893","49378200", , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","12339410","3258854","15598264","629549","16227813","1118568","17346381", , , , , , , , , , , , 
"03300BURN INTENSIVE CARE UNIT","3842627","1382184","5224811","252165","5476976","346089","5823065", , , , , , , , , , , , 
"02400NEONATAL INTENSIVE CARE","7154232","1073682","8227914","-523206","7704708","637338","8342046", , , , , , , , , , , , 
"02401PEDIATRIC ICU","1912866","409446","2322312","25631","2347943","1183501","3531444", , , , , , , , , , , , 
"02080HEART TRANSPLANT ICU","2451144","552142","3003286","85147","3088433","222196","3310629", , , , , , , , , , , , 
"02081BONE INTENSIVE CARE","3231742","1073264","4305006","-120655","4184351","289607","4473958", , , , , , , , , , , , 
"04100SUBPROVIDER - IRF","4520207","816831","5337038","68269","5405307","409757","5815064", , , , , , , , , , , , 
"04300NURSERY", , , ,"840204","840204", ,"840204", , , , , , , , , , , , 
"05000OPERATING ROOM","11600031","39717881","51317912","-4889324","46428588","1051544","47480132", , , , , , , , , , , , 
"05001AMBULATORY SURGERY CENTER","2684672","3959199","6643871","-519222","6124649","243366","6368015", , , , , , , , , , , , 
"05100RECOVERY ROOM","2448456","1194996","3643452","-345257","3298195","143658","3441853", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","2275743","705112","2980855","-336050","2644805","206131","2850936", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","486612","2413236","2899848","-437806","2462042","31382","2493424", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","6684682","4911860","11596542","-2393287","9203255","547814","9751069", , , , , , , , , , , , 
"03630RADIOLOGY-ULTRASOUND","989356","143645","1133001","-63038","1069963","89685","1159648", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC", , , , , , , , , , , , , , , , , , , 
"05600RADIOISOTOPE","1405319","3150906","4556225","-504922","4051303","127392","4178695", , , , , , , , , , , , 
"05700CT SCAN","2265390","1668202","3933592","-141979","3791613","199782","3991395", , , , , , , , , , , , 
"05800MRI","1538168","1612076","3150244","-929298","2220946","139435","2360381", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","4619830","8423706","13043536","-2469143","10574393","393610","10968003", , , , , , , , , , , , 
"06000LABORATORY","6473970","12796350","19270320","-576361","18693959","542911","19236870", , , , , , , , , , , , 
"03420LABORATORY-SURGICAL PATHOLOGY","1297605","1595213","2892818","-394235","2498583","116615","2615198", , , , , , , , , , , , 
"03421LABORATORY-NEUROSURGICAL", , , , , , , , , , , , , , , , , , , 
"03422LABORATORY-HLA", ,"111","111", ,"111", ,"111", , , , , , , , , , , , 
"06250BLOOD CLOTTING FOR HEMOPHILIACS", , , , , , , , , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","1215663","6684916","7900579","-257918","7642661","110200","7752861", , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","5751459","1504520","7255979","-298982","6956997","521370","7478367", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","3251082","345932","3597014","-5854","3591160","292286","3883446", , , , , , , , , , , , 
"06700OCCUPATIONAL THERAPY","946655","178884","1125539","30479","1156018","85814","1241832", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY","303421","50684","354105","29889","383994","27506","411500", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","2664608","10629950","13294558","-1476891","11817667","241547","12059214", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","1200018","434417","1634435","-156418","1478017","108781","1586798", , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT", , , ,"1097487","1097487", ,"1097487", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"28472847","28472847", ,"28472847", , , , , , , , , , , , 
"07400RENAL DIALYSIS","2636566","2455183","5091749","-165861","4925888","239005","5164893", , , , , , , , , , , , 
"07500ASC (NON-DISTINCT PART)", , , , , , , , , , , , , , , , , , , 
"03560PULMONARY LABS","309254","353145","662399","-134742","527657","28034","555691", , , , , , , , , , , , 
"03950OCCUPATIONAL HEALTH","808424","351549","1159973","-13608","1146365","-245251","901114", , , , , , , , , , , , 
"03951HYPERALIMENTATION", , , , , , , , , , , , , , , , , , , 
"03650PERIPHERAL VASCULAR","706717","77164","783881","-51098","732783","64064","796847", , , , , , , , , , , , 
"03952PEDIATRIC ENDO NUTRITION", , , , , , , , , , , , , , , , , , , 
"03340GASTROINTESTINAL SERVICE","2608257","3599270","6207527","-1105791","5101736","236439","5338175", , , , , , , , , , , , 
"03953BONE MARROW PROCUREMENT", ,"1891381","1891381", ,"1891381", ,"1891381", , , , , , , , , , , , 
"03954BARIATRICS","362157","224495","586652","30747","617399","32830","650229", , , , , , , , , , , , 
"03955HEPATOLOGY","531384","22614","553998","-89","553909","37106","591015", , , , , , , , , , , , 
"07697CARDIAC REHABILITATION", , , , , , , , , , , , , , , , , , , 
"07698HYPERBARIC OXYGEN THERAPY", , , , , , , , , , , , , , , , , , , 
"07699LITHOTRIPSY", , , , , , , , , , , , , , , , , , , 
