"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report K510002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(K510002)", ,"Entity[565497] Report(K510002[00100])", , ,"Entity[565497] Report(K510002[00400])", ,"Entity[565497] Report(K510002[00600])","Entity[565497] Report(K510002[00700])", , , ,"Entity[565497] Report(K510002[01100])", ,"Entity[565497] Report(K510002[01300])","Entity[565497] Report(K510002[01400])","Entity[565497] Report(K510002[01500])"
"Line(00100)"
"Line(00200)", ,"3", , ,"111164", ,"3","3", , , ,"125", ,"3","19","470"
"Line(00500)", ,"441", , ,"284372", ,"441","441", , , ,"17643", ,"396","2594","70555"
"Line(00600)"
"Line(01000)", ,"1", , ,"24890", ,"1","1", , , ,"26", ,"1","1","91"
"Line(01100)"
"Line(01300)", , , , ,"53387"
"Line(01400)", , , , ,"44853", , , , , , , , , ,"1","30"
"Line(03400)", ,"445", , ,"518666", ,"445","445", , , ,"17794", ,"400","2615","71146"
"Line(03500)", ,"5329", , ,"103004", , ,"12568", , , ,"1709", ,"15923","900","17096"
