"----------"," Entity 565497"," Report D00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(D00A181[00100])", ,"Entity[565497] Report(D00A181[00300])","Entity[565497] Report(D00A181[00400])","Entity[565497] Report(D00A181[00500])","Entity[565497] Report(D00A181[00600])","Entity[565497] Report(D00A181[00700])", , , , , , , , , , , , 
 ,"5387044", ,"5387044","91626","59","35379","2079931", , , , , , , , , , , , 
 ,"1607002", ,"1607002","17179","94","9060","847472", , , , , , , , , , , , 
 ,"409059", ,"409059","2369","173","1416","244501", , , , , , , , , , , , 
 ,"962099", ,"962099","9813","98", , , , , , , , , , , , , , 
 ,"235930", ,"235930","2086","113", , , , , , , , , , , , , , 
 ,"346333", ,"346333","3133","111","1860","205604", , , , , , , , , , , , 
 ,"382454", ,"382454","3263","117","1902","222933", , , , , , , , , , , , 
 ,"672633", ,"672633","8107","83","5504","456667", , , , , , , , , , , , 
 ,"5336", ,"5336","1818","3", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 565497"," Report D00A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[565497] Report(D00A182[00100])","Entity[565497] Report(D00A182[00200])","Entity[565497] Report(D00A182[00300])","Entity[565497] Report(D00A182[00400])","Entity[565497] Report(D00A182[00500])", , , , , , , , , , , , , , 
 ,"7176383","147215626","0","54845764","2673566", , , , , , , , , , , , , , 
 ,"1081288","46355543","0","62333","1454", , , , , , , , , , , , , , 
 ,"732703","44012079","0","10268304","170947", , , , , , , , , , , , , , 
 ,"536648","9995581","0","217823","11695", , , , , , , , , , , , , , 
 ,"602009","84223125","0","28629766","204646", , , , , , , , , , , , , , 
 ,"2592221","84323655","0","17857162","548947", , , , , , , , , , , , , , 
 ,"191754","22157371","0","2599670","22498", , , , , , , , , , , , , , 
 ,"850614","36495266","0","2274658","53018", , , , , , , , , , , , , , 
 ,"711691","123670968","0","23053235","132671", , , , , , , , , , , , , , 
 ,"1527288","68790968","0","8528539","189351", , , , , , , , , , , , , , 
 ,"2036082","74831218","0","17432805","474329", , , , , , , , , , , , , , 
