"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(L00A181)", ,"Entity[565497] Report(L00A181[00100])"
"Line(00100)", ,"7231937"
"Line(00200)", ,"430968"
"Line(00300)", ,"337"
"Line(00400)", ,"320"
"Line(00500)", ,"31"
"Line(00600)", ,"2221651"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"471522"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
