"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[565497] Report(A810000)", ,"Entity[565497] Report(A810000[00100])","Entity[565497] Report(A810000[00200])","Entity[565497] Report(A810000[00300])","Entity[565497] Report(A810000[00400])","Entity[565497] Report(A810000[00500])","Entity[565497] Report(A810000[00600])"
"Line(00100)", ,"5","HOSPITAL ADMINSTRATION","HO ADMIN COST","31248056","33172120","-1924064"
"Line(00200)", ,"5","HOSPITAL ADMINSTRATION","MALPRACTICE INSURANCE","27964405","25087541","2876864"
"Line(00300)", ,"5","HOSPITAL ADMINSTRATION","WORKERS COMP","2793378","3778513","-985135"
"Line(00301)", ,"5","HOSPITAL ADMINSTRATION","EMPLOYEE HEALTH STOP LOSS","314578","929044","-614466"
"Line(00302)", ,"5","HOSPITAL ADMINSTRATION","INTEREST","-2170590", ,"-2170590"
"Line(00304)", ,"5","SYSTEM & COMPUTERS","TIS EXPENSE","4229971", ,"4229971"
"Line(00500)", , , , ,"64379798","62967218","1412580"
"Line(00600)", ,"B","LUMC", ,"LUOC", ,"UNIVERSITY"
"Line(00700)", ,"B","LUMC", ,"LUHS", ,"HEALTHCARE"
"Line(00800)", ,"C","LUMC", ,"RML", ,"HEALTHCARE"
