"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[565497] Report(A000000)","Entity[565497] Report(A000000[00000])","Entity[565497] Report(A000000[00100])","Entity[565497] Report(A000000[00200])","Entity[565497] Report(A000000[00300])","Entity[565497] Report(A000000[00400])","Entity[565497] Report(A000000[00500])","Entity[565497] Report(A000000[00600])","Entity[565497] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"19093762","19093762","-35786","19057976"
"Line(00101)","00101NEW CAPITAL-BLDG INTEREST", , , ,"16804547","16804547","-9020783","7783764"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"23711960","23711960", ,"23711960"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","10442821","75913486","86356307","14671446","101027753","-281666","100746087"
"Line(00501)","01160COMMUNICATION","922073","2823277","3745350","-157887","3587463","-265742","3321721"
"Line(00502)","00550SYSTEM & COMPUTERS","6309581","10504041","16813622","-3877427","12936195","4801934","17738129"
"Line(00503)","00560PURCHASING","1456795","-1197065","259730","2934843","3194573","132058","3326631"
"Line(00504)","00561OPC STORES", ,"42196","42196","-42196"
"Line(00505)","00570PATIENT AFFAIRS","2336366","394477","2730843","-22723","2708120","211792","2919912"
"Line(00506)","01140PATIENT ADMITTING","2298997","228776","2527773","-43324","2484449","208404","2692853"
"Line(00507)","00580PATIENT ACCOUNTS","4844591","5139454","9984045","74969","10059014","439107","10498121"
"Line(00508)","00590ACCOUNTING","1719073","1612178","3331251","-98709","3232542","155834","3388376"
"Line(00509)","00591EMPLOYEE HEALTH SERVICES","335122","822769","1157891","-71532","1086359","-105687","980672"
"Line(00510)","00596PASTORAL CARE","830469","226903","1057372","-187504","869868","72557","942425"
"Line(00511)","00592HOSPITAL ADMINSTRATION","37789622","145119747","182909369","-25466083","157443286","-15321112","142122174"
"Line(00512)","00593AMBULATORY ADMINISTRATION","4556833","4769938","9326771","-1617144","7709627","281643","7991270"
